Key,English,Polish
MMI_0,Dialog,Rozmawiaj
MMI_1,Quest,Misja
MMI_2,Trade,Handluj
MMI_3,Attack,Atakuj
MMI_4,Message,Wiadomość
MMI_5,Add to my list,Dodaj do listy znajomych
MMI_6,Invite to join party,Zaproś do drużyny
MMI_7,Invite to join guild,Zaproś do gildii
MMI_8,Place of Resurrection,Miejsce odrodzenia
MMI_9,Bank,Bank
MMI_10,Duel,Pojedynek
MMI_11,Request party duel,Poproś o pojedynek drużyn
MMI_12,Follow,Śledź
MMI_13,Beauty Shop,Instytut urody
MMI_14,Repair,Napraw
MMI_15,Guild Bank,Magazyn Gildii
MMI_16,Guild Rankings,Ranking gildii
MMI_17,Guild Duel Rankings,Ranking wojny gildii
MMI_18,Guild Statistics Rankings,Ogólny ranking wojny gildii
MMI_21,Register Bounty,Wyznacz nagrodę
MMI_22,Bounty List,Zobacz listę nagród
MMI_24,View equipment,Zobacz ekwipunek
MMI_25,Mailbox,Skrzynka pocztowa
MMI_26,Apply,Zastosuj
MMI_27,Status,Status
MMI_28,Cancel,Anuluj
MMI_29,Enter,Dołącz
MMI_30,Ranking,Ranking
MMI_31,Cheer,Kibicuj
MMI_32,Remove piercing card,Usuń Kartę z Gniazda
MMI_33,Lineup Setup,Skład Zespołu
MMI_34,Claim Guild Penya,Pokwitowanie wygranej i wkładu pieniężnego
MMI_35,Reward Information,Informacja o wygranej
MMI_36,Claim MVP Penya Reward,Otrzymanie wygranej za MVP
MMI_37,Participation Information,Informacje o udziale
MMI_38,Basic Rules,Zasady
MMI_39,Winning Conditions,Warunki Wygranej
MMI_40,Application Fee Information,Informacja o opłatach
MMI_41,The refund of application fee,Zwrot kosztów wkładu
MMI_42,Cosmetic Upgrades,Zmiany Kosmetyczne
MMI_44,Rock-Paper-Scissors,Kamień-Papier-Nożyce
MMI_49,Pet State,Status Zwierzaka
MMI_50,Un-summon pet,Odwołaj Zwierzaka
MMI_51,Create Shining Power Dice,Stwórz lśniące Kości Mocy
MMI_53,Create Jewels,Stwórz Klejnoty
MMI_54,Create Unique Weapon,Stwórz Unikatowe Bronie
MMI_59,Remove Element,Usuń Żywioł
MMI_71,Remove Level Reduction,Usuń Redukcję Poziomu
MMI_74,Get Buffed!,Wzmocnij Się!
MMI_75,Exchange Rare Item Pieces,Wymiana Fragmentów Rzadkich Przedmiotów
MMI_76,Exchange Card Pieces,Wymiana Fragmentów Kart
MMI_79,Remove Premium Item Blessing,Usuń Błogosławieństwo Przedmiotu Premium
MMI_80,Enter Arena,Wejdź na Arenę
MMI_81,Leave Arena,Wyjdź z Areny
MMI_82,Arena Ranking,Ranking Areny
MMI_83,Arena Reward,Nagroda Areny
MMI_91,Lord Ranking,Lord Ranking
MMI_134,Upgrading,Ulepszanie
MMI_136,Piercing,Piercing
MMI_167,Element Upgrading,Nadanie Żywiołu
MMI_142,Store Pet,Schowaj Zwierzaka
MMI_272,Exchange RPS Coupon,Wymień kupon K-P-N
MMI_309,Card Upgrade,Ulepszanie Kart
MMI_310,Weapon Socket Card Reshuffle,Tasowanie Kart Gniazda Broni
MMI_311,Couple proposal,Propozycja Pary
MMI_1000,Drop Filter,Filtr Łupu
MMI_1001,Report,Wyślij Raport
MMI_1002,Inspect,Sprawdzać
MMI_1003,Unbinding,Odwiązanie
MMI_1004,Exchange,Wymiana
MMI_1005,Combat Power Ranking,Ranking Mocy Bojowej
MMI_1006,Giant Hunt Ranking ,Ranking Łowców Gigantów
MMI_1007,Accessory Upgrade,Ulepszenie Akcesoriów
MMI_1008,Mute,Mute
MMI_1009,Unmute,Unmute
MMI_1010,Freeze,Freeze
MMI_1011,Unfreeze,Unfreeze
MMI_1012,Shadow Mute,Shadow Mute
MMI_1013,Pet Candy Crafting,Pet Candy Crafting
MMI_1014,Exchange Dice,Exchange Dice
MMI_1015,Pet Sacrificing,Pet Sacrificing
MMI_1016,Red Chip Shop,Red Chip Shop
MMI_1017,Cosmetic Wardrobe,Cosmetic Wardrobe
MMI_1018,Lv80 GS Apply,Lv80 GS Apply
MMI_1019,Lv80 GS Status,Lv80 GS Status
MMI_1020,Lv80 GS Cancel,Lv80 GS Cancel
MMI_1021,Lv80 GS Enter,Lv80 GS Enter
MMI_1022,Lv80 GS Lineup Setup,Lv80 GS Lineup Setup
MMI_1023,Lv80 GS Ranking,Lv80 GS Ranking
MMI_1024,Lv80 GS Information,Lv80 GS Information
MMI_1025,Lv60 GS Apply,Lv60 GS Apply
MMI_1026,Lv60 GS Status,Lv60 GS Status
MMI_1027,Lv60 GS Cancel,Lv60 GS Cancel
MMI_1028,Lv60 GS Enter,Lv60 GS Enter
MMI_1029,Lv60 GS Lineup Setup,Lv60 GS Lineup Setup
MMI_1030,Lv60 GS Ranking,Lv60 GS Ranking
MMI_1031,Lv60 GS Information,Lv60 GS Information
MMI_1032,Blue Chip Shop,Blue Chip Shop
MMI_1033,Valentine's Letter Exchange,Valentine's Letter Exchange
MMI_1034,Dungeon,Lochy
MMI_1035,PK Chip Shop,PK Chip Shop
MMI_1036,Exchange,Wymiana
MMI_1037,Green Chip Shop,Green Chip Shop
MMI_1038,FWC Gear Exchange,FWC Gear Exchange
MMI_1039,FWC Jewel Exchange,FWC Jewel Exchange
MMI_1040,Use Capsule Coins,Use Capsule Coins
MMI_1041,Music Festival Exchange,Music Festival Exchange
MMI_1042,Fitting Room,Fitting Room
MMI_1043,FWC PVP Registrations Board,FWC PVP Registrations Board
MMI_1047,Join FWC PVP Arena,Join FWC PVP Arena
MMI_1046,FWC PVP Ranking,FWC PVP Ranking
MMI_1048,Spectate FWC PVP Contest,Spectate FWC PVP Contest
MMI_1049,Rock Paper Scissors,Rock Paper Scissors
MMI_1050,W-Token Shop,W-Token Shop
MMI_1051,Costume Box Upgrade,Costume Box Upgrade
MMI_1054,Exchange Rings,Exchange Rings
MMI_1055,Dismantle Item,Dismantle Item
MMI_1056,Purchase Guild Ship,Purchase Guild Ship
MMI_1057,Enter Guild Ship,Enter Guild Ship
MMI_1058,Enter Your House,Enter Your House
MMI_1059,Select House Template,Select House Template
MMI_1060,Visit Friend's House,Visit Friend's House
MMI_1061,Edit,Edit
MMI_1062,Remove,Usuń
MMI_1063,Exchange Earrings,Exchange Earrings
MMI_1064,Exchange Necklaces,Exchange Necklaces
MMI_1065,Rainbow Race,Rainbow Race
MMI_1066,Create Ultimate Weapon,Create Ultimate Weapon
MMI_1069,Open Guest Book,Open Guest Book
MMI_1070,Orphanage Keeper Shop,Orphanage Keeper Shop
MMI_1071,Kalgas Assault Registration,Kalgas Assault Registration
MMI_1072,Kalgas Assault Enter,Kalgas Assault Enter
MMI_1073,Kalgas Assault Rank,Kalgas Assault Rank
MMI_1074,Kalgas Assault Info,Kalgas Assault Info
MMI_1075,Kalgas Chip Shop,Kalgas Chip Shop
MMI_1076,Couple's Storage,Couple's Storage
MMI_1077,Create Ultimate Jewel,Create Ultimate Jewel
MMI_1078,Fuse Ultimate Jewel,Fuse Ultimate Jewel
MMI_1079,Teleport,Teleport
MMI_1080,Sea Shell Upgrading,Sea Shell Upgrading
MMI_1081,Fuse Rainbow Jewel,Fuse Rainbow Jewel
MMI_1082,Dismantle Rainbow Jewel,Dismantle Rainbow Jewel
MMI_1083,Pet Training,Pet Training
MMI_1084,Teleport,Teleport
MMI_1085,Individual Race (Item),Individual Race (Item)
MMI_1086,Individual Race (Speed),Individual Race (Speed)
MMI_1087,Duo Team Race (Item),Duo Team Race (Item)
MMI_1088,Duo Team Race (Speed),Duo Team Race (Speed)
MMI_1089,Sit,Sit
MMI_1090,Sleep,Sleep
MMI_1091,Yellow Chip Shop,Yellow Chip Shop
MMI_1092,Madrigal Tournament Registration,Madrigal Tournament Registration
MMI_1093,Enter Madrigal Tournament,Enter Madrigal Tournament
MMI_1094,Madrigal Tournament Ranking,Madrigal Tournament Ranking
MMI_1095,Madrigal Tournament Reward,Madrigal Tournament Reward
MMI_1096,Madrigal Tournament Bidding,Madrigal Tournament Bidding
MMI_1097,Remove Ultimate Jewel,Remove Ultimate Jewel
MMI_1098,Customize,Customize
MMI_1099,Enter Couple House,Enter Couple House
MMI_1100,Select Couple House Template,Select Couple House Template
MMI_1101,Wandering Shop,Wandering Shop
MMI_1102,Master Chip Shop - Alchemy,Master Chip Shop - Alchemy
MMI_1103,Product Upgrade,Product Upgrade
MMI_1104,Life Mastery Ranking,Life Mastery Ranking
MMI_1105,Life Mastery Ranking Reward,Life Mastery Ranking Reward
MMI_1106,Alchemy,Alchemy
MMI_1107,Cooking,Cooking
MMI_1108,Carpentry,Carpentry
MMI_1109,Smithing,Smithing
MMI_1110,Enter Race,Enter Race
MMI_1111,Master Chip Shop - Cooking,Master Chip Shop - Cooking
MMI_1112,Master Chip Shop - Carpentry,Master Chip Shop - Carpentry
MMI_1113,Master Chip Shop - Smithing,Master Chip Shop - Smithing
MMI_1115,Join Boss Raid,Join Boss Raid
MMI_1120,3rd Anniversary Egg Upgrade Event,3rd Anniversary Egg Upgrade Event
MMI_1121,Champion Coin Exchange,Champion Coin Exchange
MMI_1116,Synthesize Ultimate Jewel,Synthesize Ultimate Jewel
MMI_1117,Convert Ultimate Jewel,Convert Ultimate Jewel
MMI_2025,PTS Exchange (Equipment),PTS Exchange (Equipment)
MMI_2026,Give Feedback,Give Feedback
MMI_2027,PTS Exchange (Materials),PTS Exchange (Materials)
MMI_2028,PTS Exchange (Essentials),PTS Exchange (Essentials)
MMI_2029,PTS Exchange (Jewelry),PTS Exchange (Jewelry)
MMI_2030,PTS Exchange (Other Equipment),PTS Exchange (Other Equipment)
MMI_2031,Reset Cooldowns,Reset Cooldowns
MMI_2032,PTS Exchange (New Equipment),PTS Exchange (New Equipment)
MMI_2033,Item Exchange,Item Exchange
MMI_1122,Lv165 GS Apply,Lv165 GS Apply
MMI_1123,Lv165 GS Status,Lv165 GS Status
MMI_1124,Lv165 GS Cancel,Lv165 GS Cancel
MMI_1125,Lv165 GS Join,Lv165 GS Join
MMI_1126,Lv165 GS Line Up,Lv165 GS Line Up
MMI_1127,Lv165 GS Ranking,Lv165 GS Ranking
MMI_1128,Lv165 GS Information,Lv165 GS Information
MMI_1129,Yellow Chip Shop 2,Yellow Chip Shop 2
MMI_1130,Red Chip Shop 2,Red Chip Shop 2
MMI_1131,Kalgas Chip Shop 2,Kalgas Chip Shop 2
MMI_1132,Mysterious Castle Enter,Mysterious Castle Enter
MMI_1133,Mysterious Castle Reward,Mysterious Castle Reward
MMI_1134,Kebaras 2 Costumes,Kebaras 2 Costumes
