Key,English,Spanish
PROPITEM_TXT_000001,,
PROPITEM_TXT_000002,Hand,Mano
PROPITEM_TXT_000004,Penya,Penya
PROPITEM_TXT_000012,P.K Reward,Recompensa P.K
PROPITEM_TXT_000014,(Practice) Wooden Sword,(Práctica) Espada de Madera
PROPITEM_TXT_000016,Wooden Sword,Espada de Madera
PROPITEM_TXT_000018,Normal Sword,Espada Normal
PROPITEM_TXT_000020,Long Sword,Espada Larga
PROPITEM_TXT_000022,Hand Saw,Serrucho de Mano
PROPITEM_TXT_000024,Hand Claw,Garra de Mano
PROPITEM_TXT_000026,Leaf Sword,Espada Hoja
PROPITEM_TXT_000028,Parmil Sword,Espada Parmil
PROPITEM_TXT_000030,Penel Sword,Espada Penel
PROPITEM_TXT_000032,Crimson Sword,Espada Carmesí
PROPITEM_TXT_000034,Flower Sword,Espada Floral
PROPITEM_TXT_000036,Petal Sword,Espada Pétalo
PROPITEM_TXT_000038,Star Sword,Espada Estelar
PROPITEM_TXT_000040,Blink Sword,Espada Parpadeante
PROPITEM_TXT_000042,Slogger Sword,Espada Trabajadora
PROPITEM_TXT_000044,Outlaw Sword,Espada Forajida
PROPITEM_TXT_000046,Fairlight Sword,Espada Fina
PROPITEM_TXT_000048,Fairslender Sword,Espada Delgada
PROPITEM_TXT_000050,Turtle Sword,Espada Tortuga
PROPITEM_TXT_000052,Clip Sword,Espada Acortada
PROPITEM_TXT_000054,Oval Sword,Espada Oval
PROPITEM_TXT_000056,Tao Sword,Espada Tao
PROPITEM_TXT_000058,Jaim Sword,Espada Cábala
PROPITEM_TXT_000060,Sepal Sword,Espada Sépalo
PROPITEM_TXT_000062,Hansel Sword,Espada Obsequio
PROPITEM_TXT_000064,Cyclos Sword,Espada Cylos
PROPITEM_TXT_000066,Comet Sword,Espada Cometa
PROPITEM_TXT_000068,Invader Sword,Espada Invasora
PROPITEM_TXT_000070,Pricker Sword,Espada Punzón
PROPITEM_TXT_000072,Stitch Sword,Espada Punzada
PROPITEM_TXT_000074,Subblade Sword,Espada Subhoja
PROPITEM_TXT_000076,Multiblade Sword,Espada Multihoja
PROPITEM_TXT_000078,Bigmas Sword,Espada Grandota
PROPITEM_TXT_000080,Panggril Sword,Espada Panggril
PROPITEM_TXT_000082,Savage Sword,Espada Salvaje
PROPITEM_TXT_000084,Carnage Sword,Espada de Carnicería
PROPITEM_TXT_000086,Knocker Sword,Espada Aldaba
PROPITEM_TXT_000088,Janitor Sword,Espada del Conserje
PROPITEM_TXT_000090,Blue Shine Sword,Espada Azul Brillante
PROPITEM_TXT_000092,Blue Jade Sword,Espada Jade Azul
PROPITEM_TXT_000094,Shyer Sword,Espada Tímida
PROPITEM_TXT_000096,Zeroth Sword,Espada Cero
PROPITEM_TXT_000098,Rowbenon Sword,Espada Filabenón
PROPITEM_TXT_000100,Emeryl Sword,Espada Esmeril
PROPITEM_TXT_000102,Khaicator Sword,Espada Khaicator
PROPITEM_TXT_000104,Chainsing Sword,Espada Encadenada
PROPITEM_TXT_000106,Axilow Sword,Espada Axilar
PROPITEM_TXT_000108,Harpion Sword,Espada Arpión
PROPITEM_TXT_000110,Breakest Sword,Espada del Descanso
PROPITEM_TXT_000112,Smiter Sword,Espada Hiriente
PROPITEM_TXT_000114,Runaicing Sword,Espada Rúnica
PROPITEM_TXT_000116,Shadeving Sword,Espada Sombría
PROPITEM_TXT_000118,Fireise Sword,Espada Incendiaria
PROPITEM_TXT_000120,Hotter Sword,Espada Ardiente
PROPITEM_TXT_000122,Curin Axe,Hacha Curin
PROPITEM_TXT_000124,Rodney Axe,Hacha Rodney
PROPITEM_TXT_000126,Steel Axe,Hacha de Acero
PROPITEM_TXT_000128,Morrow Axe,Hacha del Mañana
PROPITEM_TXT_000130,Crenil Axe,Hacha Crenil
PROPITEM_TXT_000132,Curning Axe,Hacha Curvada
PROPITEM_TXT_000134,Sephir Axe,Hacha Sefir
PROPITEM_TXT_000136,Shyadin Axe,Hacha Shyadin
PROPITEM_TXT_000138,Gorn Axe,Hacha Gorn
PROPITEM_TXT_000140,Bronze Axe,Hacha de Bronce
PROPITEM_TXT_000142,Vain Axe,Hacha Vana
PROPITEM_TXT_000144,Grang Axe,Hacha Grang
