Key,English,Thai
NPC_WHOAREYOU,Who are you?,คุณเป็นใคร?
NPC_GOODBYE,Goodbye!,ลาก่อน!
NPC_CARGO,CARGO,CARGO
NPC_WHATSGOINGON,What's going on?,เกิดอะไรขึ้น?
NPC_EXIT,Exit,ออก
NPC_HOWTOFLY,How to Fly,วิธีการบิน
NPC_COMBATFLYING,Combat Flying,แนะนำการต่อสู้กลางอากาศ
NPC_IDCARD,ID CARD,ID CARD
NPC_WHATABOUTTHEMINE,What about the mine?,เกี่ยวกับเหมืองยังไง ?
NPC_MOVE,Move,เคลื่อนที่
NPC_FORHONOR,For Honor!,เพื่อเกียรติยศ!
NPC_FORFUN,For Fun!,เพื่อความสนุก !!
NPC_MEHJUSTBECAUSE,"Meh, just because?",เอ่อ..แค่เพราะ ?
NPC_YES_ENTER,Yes_Enter,Yes_Enter
NPC_NO_ENTER,No_Enter,No_Enter
NPC_WHEREAMI,Where am I?,ฉันอยู่ที่ไหน ?
NPC_MAKEANAPPOINTMENT,Make an appointment,นัดมาเลย
NPC_FINALIZESTATSELECTION,Finalize Stat selection,สรุปการเลือก Stat
NPC_DEKANEMINE,Dekane Mine,Dekane Mine
NPC_CELL,Cell,Cell
NPC_AZRIAMINE,Azria Mine,Azria Mine
NPC_CURSEDSYMBOL,Cursed Symbol,สัญลักษณ์ต้องสาป
NPC_GIVESYMBOL,Give the Symbol,ให้สัญลักษณ์
NPC_HAELLETTER,Hael's Letter,จดหมายของ Hael
NPC_GIVELETTER,Give Letter,ให้จดหมาย
NPC_TREASURE_BOX,Treasure,สมบัติ
NPC_LOSTMEMORIES,Lost Memories,ความทรงจำที่สูญหาย
NPC_BREWINGPOTIONS,Brewing Potions,ปรุงยา
NPC_THECURE,The Cure,การรักษา
NPC_GUIDETOFLYING,Guide to Flying,คู่มือบิน
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,คู่มือบินต่อสู้
NPC_SHOPS,Shops?,ร้านค้า ?
NPC_DEATH,Death?,ตาย ?
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,รับรางวัลเพิ่มเติม
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!","ยินดีต้อนรับสู่ Keakoon, ฉันมีเรื่องจะถาม มานี่สิ"
