Key,English,German
PROPMAP_TXT_000000,,
PROPMAP_TXT_000001,World,Welt
PROPMAP_TXT_000002,Region,Region
PROPMAP_TXT_000003,Town,Stadt
PROPMAP_TXT_000004,Madrigal,Madrigal
PROPMAP_TXT_000005,"Darkon 1, 2","Darkon 1, 2"
PROPMAP_TXT_000006,Darkon 3,Darkon 3
PROPMAP_TXT_000007,Garden of Rhisis,Garten von Rhisis
PROPMAP_TXT_000008,Saint Morning,Saint Morning
PROPMAP_TXT_000009,Flaris,Flaris
PROPMAP_TXT_000012,Flarine,Flaris
PROPMAP_TXT_000013,Saint City,Saint Morning
PROPMAP_TXT_000014,Darken,Darkon
PROPMAP_TXT_000242,Dungeon,Dungeon
PROPMAP_TXT_000263,Mars Dungeon,Mars Dungeon
PROPMAP_TXT_000265,Dekane Mine,Dekane Mine
PROPMAP_TXT_000266,Iblis Temple,Ivillis Tempel
PROPMAP_TXT_000274,Forsaken Tower 1F,Verlassener Turm 1F
PROPMAP_TXT_000275,Forsaken Tower 2F,Verlassener Turm 2F
PROPMAP_TXT_000276,Forsaken Tower 3F,Verlassener Turm 3F
PROPMAP_TXT_000277,Forsaken Tower 4F,Verlassener Turm 4F
PROPMAP_TXT_000278,Forsaken Tower 5F,Verlassener Turm 5F
PROPMAP_TXT_000279,Forsaken Tower 6F,Forsaken Tower 6F
PROPMAP_TXT_000280,Forsaken Tower 7F,Forsaken Tower 7F
PROPMAP_TXT_000281,Forsaken Tower 8F,Forsaken Tower 8F
PROPMAP_TXT_000282,Forsaken Tower 9F,Forsaken Tower 9F
PROPMAP_TXT_000283,Forsaken Tower 10F,Forsaken Tower 10F
PROPMAP_TXT_100000,Kebaras,Kebaras
PROPMAP_TXT_100001,North-Fl,Nord-Flaris
PROPMAP_TXT_100002,Cen Flarine,Zentral-Flaris
PROPMAP_TXT_100003,East-Fla,Ost-Flaris
PROPMAP_TXT_100004,Darkon,Darkon
PROPMAP_TXT_100005,The North of Leren Mountains,Der Norden des Leren Gebirges
PROPMAP_TXT_100006,The River of Weeping,Der Fluss der Tränen
PROPMAP_TXT_100007,Saint Hall,Saint Rathaus
PROPMAP_TXT_100008,Pumpkin Town,Kürbisdorf
PROPMAP_TXT_100009,Plateau of Silence,Hochebene der Stille
PROPMAP_TXT_100010,The North of Hillid Mountains,Nördliches Gebirge des Hillid
PROPMAP_TXT_100011,The Middle of Hillid Mountains,Mittleres Gebirge des Hillid
PROPMAP_TXT_100012,The South of Hillid Mountains,Südliches Gebirge des Hillid
PROPMAP_TXT_100013,Guardian's Room,Raum des Wächters
PROPMAP_TXT_100014,Heret,Heret
PROPMAP_TXT_100015,Cendil,Cendil
PROPMAP_TXT_100016,Aniceknight,Aniceknight
PROPMAP_TXT_100017,Arians,Arians
PROPMAP_TXT_100018,Deadwallderness,Tote Wüste
PROPMAP_TXT_100019,Brekin,Brekin
PROPMAP_TXT_100020,Guardiane,Guardiane
PROPMAP_TXT_100021,Darkon 2 (Cave of Envy),Darkon 2 (Eienble Höhle)
PROPMAP_TXT_100022,Clockworks' Cage,Clockworks' Käfig
PROPMAP_TXT_100023,Erons Factories,Erons Fabrik
PROPMAP_TXT_100024,Gouthan Mountains,Gouthan Mountains
PROPMAP_TXT_100025,Darkon 1 (KhipRa),Darkon 1 (KhipRa)
PROPMAP_TXT_100026,Unknown,Unknown
PROPMAP_TXT_100029,Armory,Rüstungskammer
PROPMAP_TXT_100030,Center for Guild Combat,Anmeldungszentrum für die Gildenschlacht
PROPMAP_TXT_100031,Arena Manager,Arena Manager
PROPMAP_TXT_100032,Azria,Azria
PROPMAP_TXT_100033,Guild Siege,Gildenkrieg
PROPMAP_TXT_100034,Quiz,Quiz
PROPMAP_TXT_100035,Village of Kan,Dorf von Kan
PROPMAP_TXT_100036,Area,Gebiet
PROPMAP_TXT_100037,Saint Morning Station,Saint Morning Bahnhof
PROPMAP_TXT_100038,Garden of Rhisis II,Garten von Rhisis II
PROPMAP_TXT_100039,Cave of Envy,Höhle des Neids
PROPMAP_TXT_100040,Darkon 2,Darkon 2
PROPMAP_TXT_100041,Volkane,Volkane
PROPMAP_TXT_100042,Abandoned Erons Factory,Verlassene Erons-Fabrik
PROPMAP_TXT_100043,Frozen Forest,Gefrorener Wald
PROPMAP_TXT_100044,Forgotten Bridge,Vergessene Brücke
PROPMAP_TXT_100045,Azria Village,Das Dorf Azria
PROPMAP_TXT_100046,Frozen Lakes,Frostseen
PROPMAP_TXT_100047,Castle Ruins,Schlossruinen
PROPMAP_TXT_100048,High Mountains,Die hohen Berge
PROPMAP_TXT_100049,Redchip Dealer,Red Chip Händler
PROPMAP_TXT_100050,Storm Peak,Sturmgipfel
PROPMAP_TXT_100051,Envy Depths,Neidische Tiefen
