Key,English,Vietnamese
LANGUAGE_CODE,EN,VI
UI_HOME_TITLE,Home,Ngôi nhà
UI_HOME_GUESTCHAR,Guest Character,Nhiệm vụ nhân vật
UI_HOME_NEWCHAR,New Character,Nhân vật mới
UI_HOME_NEWCHAR_TIP,Create a new character without an account,Tạo một nhân vật mới mà không cần tài khoản.
UI_HOME_LOGIN,Sign In,Đăng nhập
UI_HOME_REGISTER,Sign Up,Đăng ký
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.","Nhập ID & Mật khẩu, và nhấn OK để kết nối vào trò chơi"
UI_HOME_ALREADYACCOUNT,Already have an account?,Bạn đã có tài khoản?
UI_HOME_WEBSITE,Website,Trang Web
UI_HOME_CREDITS,Credits,Tín dụng
UI_HOME_OR,Or,Hoặc
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,Mật khẩu:
UI_HOME_RECOVER,Forgot password?,Quên mật khẩu?
UI_SELECTSERVER_TITLE,Select Server,Chọn Server
UI_SELECTSERVER_BACK,Back,Quay về
UI_SELECTSERVER_NEXT,Next,Tiếp theo
UI_SELECTSERVER_FULL,full,Đầy
UI_SELECTSERVER_BUSY,busy,bận
UI_SELECTSERVER_BEST,best,tốt nhất
UI_SELECTSERVER_NEWNAME,Please enter another name:,Vui lòng nhập 1 tên khác:
UI_SELECTSERVER_NAMETITLE,Character Name,Tên nhân vật
UI_CHARLIST_TITLE,Characters,Các nhân vật
UI_CHARLIST_PLAY,Play,Chơi
UI_CHARLIST_NEW,New,Mới
UI_CHARLIST_DELETE,Delete,Xóa
UI_DELETECHAR_TITLE,Delete Character,Xóa nhân vật
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,Mật khẩu để xóa nhân vật\nNhập mật khẩu
UI_DELETECHAR_NOPASS,Confirm Deletion?,Bạn xác nhận?
UI_DELETECHAR_NOTICE,"If you delete this character, its name cannot be used again for one week.","Nếu bạn xóa nhân vật, bạn không thể sử dụng tên nhân vật trong suốt 1 tuần"
UI_NEWCHAR_NAME,Name:,Tên:
UI_NEWCHAR_GIRL,Girl,Con gái
UI_NEWCHAR_BOY,Boy,Con trai
UI_MSGBOX_START,Start,Bắt đầu
UI_MSGBOX_OK,Ok,Ok
UI_MSGBOX_RETRY,Retry,Thử lại
UI_MSGBOX_CANCEL,Cancel,Hủy
UI_MSGBOX_YES,Yes,Đúng
UI_MSGBOX_NO,No,Không
UI_LOADINGSCREEN,"Loading, please wait...","Đang tải, vui lòng chờ..."
UI_OPTION_TITLE,Options,Lựa chọn
UI_OPTION_MUSIC,Music,Âm nhạc
UI_OPTION_SOUND,Sound,Âm thanh
UI_OPTION_TEXQUALITY,Textures,Kết cấu
UI_OPTION_TEXTOON,Cartoon,Hoạt hình
UI_OPTION_TEXHIGH,High,Cao
UI_OPTION_TEXMID,Medium,Trung bình
UI_OPTION_TEXLOW,Low,Thấp
UI_OPTION_WEATHER,Weather,Thời tiết
UI_OPTION_LANGUAGE,Language,Ngôn ngữ
UI_OPTION_SAVE,Save,Lưu
UI_NAVIGATOR_PLAYER,Player,Người chơi
UI_NAVIGATOR_PARTY,Party,Nhóm
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,Quái vật
UI_PRIVACY_NOTICE,Privacy Policy,Chính sách bảo mật
UI_MSGBOX_ACCEPT,Accept,Chấp nhận
UI_MSGBOX_DECLINE,Decline,Từ chối
UI_MSGBOX_CLOSE,Close,Đóng
UI_OPTION_SHADOWS,Shadows,Bóng
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,Khoảng cách tối đa
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,Chất lượng tối đa
UI_OPTION_FULLSCREEN,Fullscreen,Toàn màn hình
UI_MOTION_TAB_MOT,Emotes,Chuyển động
UI_MOTION_TAB_EMO,Emoticons,Biểu tượng cảm xúc
UI_REVIVAL_TITLE,Resurrection,Hồi sinh
UI_REVIVAL_LODESTAR,Lodestar,Lodestar
UI_REVIVAL_LODESTAR_TIP,Revive at the nearest town,Hồi sinh đến Lodestar
UI_REVIVAL_LODELIGHT,Lodelight,Lodelight
UI_REVIVAL_LODELIGHT_TIP,Revive at your chosen Lodelight,Hồi sinh đến Lodelight
UI_CHARINFO_BASE,Base,Cơ sở
UI_CHARINFO_NAME,Name,Name
UI_CHARINFO_LOGIN,Login,Đăng nhập
UI_CHARINFO_JOB,Job,Chức nghiệp
UI_CHARINFO_LEVEL,Level,Cấp độ
UI_CHARINFO_SERVER,Server,Máy chủ
UI_CHARINFO_CHANNEL,Channel,Kênh
UI_CHARINFO_DETAIL,Detail,Chi tiết
UI_CHARINFO_STR,STR,STR
UI_CHARINFO_STA,STA,STA
UI_CHARINFO_DEX,DEX,DEX
UI_CHARINFO_INT,INT,INT
UI_CHARINFO_STATPOINTS,Stat Points,Điểm chỉ số
UI_CHARINFO_APPLY,Confirm,Áp dụng
UI_CHARINFO_RESET,Revert,Cài đặt lại
UI_CHARINFO_CHANGESTATE,Change State,Thay đổi trạng thái
UI_CHARINFO_CURRENTPAGE,Current Stat Page: %d,Current Stat Page: %d
UI_CHARINFO_CHANGEPAGE_TITLE,Switch Stat Page,Switch Stat Page
UI_CHARINFO_APPLY_TOOLTIP,Confirm stat allocation,Áp dụng chỉ số mới
UI_CHARINFO_RESET_TOOLTIP,Revert allocation and return to previous stats,Quay lại chỉ số trước đó
UI_CHARINFO_CHANGEPAGE_TOOLTIP,Switch to a different stat page,Switch to a different stat page
UI_CHARINFO_PLUSMINUS_TOOLTIP,"After allocating your stat points, press Confirm.",Chọn Áp Dụng sau khi bạn thay đổi điểm chỉ số của bạn
UI_CHARINFO_STR_TOOLTIP,Increases the weapon's Attack Power (#cffb40000except wands and bows#nc).,Tăng cường sức tấn công của vũ khí (# cffb40000 Ngoại trừ đối với đũa phép # nc)
UI_CHARINFO_STA_TOOLTIP,"Increases Defense, Max HP, and Max FP.\nIncreases HP and FP recovery rate.","Tăng cường khả năng phòng thủ, Max. HP, Max. FP\nTăng tỷ lệ hồi phục HP, FP"
UI_CHARINFO_DEX_TOOLTIP,"Increases Attack Speed, Parry, Block and Critical Chance.\n#cffb40000Increases bow damage.#nc","Tốc độ đánh tăng\nTỷ lệ né tránh, Tỷ lệ chặn tăng\nTăng cơ hội sát thương chí mạng.\n# cffb40000 Sức mạnh của cung được tăng lên. # nc"
UI_CHARINFO_INT_TOOLTIP,Increases Max MP.\nIncreases Magic Attack Power.,Số lượng Max. MP được tăng lên.\nSức mạnh tấn công phép thuật
UI_CHARINFO_GP_TOOLTIP,"After allocating your stat points, press Confirm.",Chọn Áp Dụng sau khi bạn thay đổi điểm chỉ số của bạn
UI_CHARINFO_PVP_DUELFAME,Duel Fame,Danh tiếng đấu tay đôi
UI_CHARINFO_PVP_DUELPOINT,Duel Points,Điểm đấu tay đôi
UI_CHARINFO_PVP_KILLPOINT,Killing Points,Điểm giết người
UI_CHARINFO_PVP_KARMALEVEL,Karma Level,Mức độ Karma
UI_CHARINFO_PVP_KARMAPOINT,Karma Points,Điểm Karma
UI_CHARINFO_PVPPK,PvP/PK,PvP/PK
UI_TOOLTIP_SEX_MALE,Sex: Male,Giới tính: Nam
UI_TOOLTIP_SEX_FEMALE,Sex: Female,Giới tính: Nữ
UI_TOOLTIP_HARVEST_TIMEREDUC,Time Reduction Level,Mức giảm thời gian
UI_TOOLTIP_HARVEST_YIELDBONUS,Yield Bonus Level,Mức tiền thưởng năng suất
UI_TOOLTIP_HARVEST_SPAWNBONUS,Carrier Chance Bonus Level,Mức thưởng cơ hội của nhà cung cấp dịch vụ
UI_TOOLTIP_ONEHAND,One-handed weapon.,Vũ khí sử dụng 1 tay
UI_TOOLTIP_TWOHAND,Two-handed weapon.,Vũ khí sử dụng được cả 2 tay
UI_TOOLTIP_ATTACK_BASE,Base Attack:,Tấn công cơ bản:
UI_TOOLTIP_DEF_BASE,Base Defense:,Phòng thủ cơ bản:
