Key,English,Finnish
PROPMOTION_TXT_000000,,
PROPMOTION_TXT_000001,Combat Stance,Taistelu Asento
PROPMOTION_TXT_000002,,
PROPMOTION_TXT_000003,Sit Down,Istu Alas
PROPMOTION_TXT_000004,,
PROPMOTION_TXT_000005,Pick Up Nearby Item,Poimi Läheinen Esine
PROPMOTION_TXT_000006,,
PROPMOTION_TXT_000007,Shake Hands,Kättele
PROPMOTION_TXT_000008,,
PROPMOTION_TXT_000009,Tilt Head,Käännä Päätä
PROPMOTION_TXT_000010,,
PROPMOTION_TXT_000011,Nod Head,Nyökkää
PROPMOTION_TXT_000012,,
PROPMOTION_TXT_000013,Shake Head,Pudista Päätä
PROPMOTION_TXT_000014,,
PROPMOTION_TXT_000015,Run in Place,Juokse paikallaan
PROPMOTION_TXT_000016,,
PROPMOTION_TXT_000017,Parade Rest,Lepoasento
PROPMOTION_TXT_000018,,
PROPMOTION_TXT_000019,Attention,Huomio
PROPMOTION_TXT_000020,Scissors,Sakset
PROPMOTION_TXT_000021,Scissors,Sakset
PROPMOTION_TXT_000022,Rock,Kivi
PROPMOTION_TXT_000023,Rock,Kivi
PROPMOTION_TXT_000024,Paper,Paperi
PROPMOTION_TXT_000025,Paper,Paperi
PROPMOTION_TXT_000026,North,Pohjoinen
PROPMOTION_TXT_000027,Point North,Osoita Pohjoiseen
PROPMOTION_TXT_000028,South,Etelä
PROPMOTION_TXT_000029,Point South,Osoita Etelään
PROPMOTION_TXT_000030,East,Itä
PROPMOTION_TXT_000031,Point East,Osoita Itään
PROPMOTION_TXT_000032,West,Länsi
PROPMOTION_TXT_000033,Point West,Osoita Länteen
PROPMOTION_TXT_000034,,
PROPMOTION_TXT_000035,Kneel,Polvistu
PROPMOTION_TXT_000036,,
PROPMOTION_TXT_000037,Push-Ups,Punnerrus
PROPMOTION_TXT_000038,,
PROPMOTION_TXT_000039,Shake Butt,Heiluta peppua
PROPMOTION_TXT_000040,Pow!,Pow!
PROPMOTION_TXT_000041,Punch,Lyö
PROPMOTION_TXT_000042,,
PROPMOTION_TXT_000043,Put Head to the Ground,Laita pää maahan
