Key,English
MMI_0,Dialog
MMI_1,Quest
MMI_2,Trade
MMI_3,Attack
MMI_4,Message
MMI_5,Add to my list
MMI_6,Invite to join party
MMI_7,Invite to join guild
MMI_8,Place of Resurrection
MMI_9,Bank
MMI_10,Duel
MMI_11,Request party duel
MMI_12,Follow
MMI_13,Beauty Shop
MMI_14,Repair
MMI_15,Guild Bank
MMI_16,Guild Rankings
MMI_17,Guild Duel Rankings
MMI_18,Guild Statistics Rankings
MMI_21,Register Bounty
MMI_22,Bounty List
MMI_24,View equipment
MMI_25,Mailbox
MMI_26,Apply
MMI_27,Status
MMI_28,Cancel
MMI_29,Enter
MMI_30,Ranking
MMI_31,Cheer
MMI_32,Remove piercing card
MMI_33,Lineup Setup
MMI_34,Claim Guild Penya
MMI_35,Reward Information
MMI_36,Claim MVP Penya Reward
MMI_37,Participation Information
MMI_38,Basic Rules
MMI_39,Winning Conditions
MMI_40,Application Fee Information
MMI_41,The refund of application fee
MMI_42,Cosmetic Upgrades
MMI_44,Rock-Paper-Scissors
MMI_49,Pet State
MMI_50,Un-summon pet
MMI_51,Create Shining Power Dice
MMI_53,Create Jewels
MMI_54,Create Unique Weapon
MMI_59,Remove Element
MMI_71,Remove Level Reduction
MMI_74,Get Buffed!
MMI_75,Exchange Rare Item Pieces
MMI_76,Exchange Card Pieces
MMI_79,Remove Premium Item Blessing
MMI_80,Enter Arena
MMI_81,Leave Arena
MMI_82,Arena Ranking
MMI_83,Arena Reward
MMI_91,Lord Ranking
MMI_134,Upgrading
MMI_136,Piercing
MMI_167,Element Upgrading
MMI_142,Store Pet
MMI_272,Exchange RPS Coupon
MMI_309,Card Upgrade
MMI_310,Weapon Socket Card Reshuffle
MMI_311,Couple proposal
MMI_1000,Drop Filter
MMI_1001,Report
MMI_1002,Inspect
MMI_1003,Unbinding
MMI_1004,Exchange
MMI_1005,Combat Power Ranking
MMI_1006,Giant Hunt Ranking 
MMI_1007,Accessory Upgrade
MMI_1008,Mute
MMI_1009,Unmute
MMI_1010,Freeze
MMI_1011,Unfreeze
MMI_1012,Shadow Mute
MMI_1013,Pet Candy Crafting
MMI_1014,Exchange Dice
MMI_1015,Pet Sacrificing
MMI_1016,Red Chip Shop
MMI_1017,Cosmetic Wardrobe
MMI_1018,Lv80 GS Apply
MMI_1019,Lv80 GS Status
MMI_1020,Lv80 GS Cancel
MMI_1021,Lv80 GS Enter
MMI_1022,Lv80 GS Lineup Setup
MMI_1023,Lv80 GS Ranking
MMI_1024,Lv80 GS Information
MMI_1025,Lv60 GS Apply
MMI_1026,Lv60 GS Status
MMI_1027,Lv60 GS Cancel
MMI_1028,Lv60 GS Enter
MMI_1029,Lv60 GS Lineup Setup
MMI_1030,Lv60 GS Ranking
MMI_1031,Lv60 GS Information
MMI_1032,Blue Chip Shop
MMI_1033,Valentine's Letter Exchange
MMI_1034,Dungeon
MMI_1035,PK Chip Shop
MMI_1036,Exchange
MMI_1037,Green Chip Shop
MMI_1038,FWC Gear Exchange
MMI_1039,FWC Jewel Exchange
MMI_1040,Use Capsule Coins
MMI_1041,Music Festival Exchange
MMI_1042,Fitting Room
MMI_1043,FWC PVP Registrations Board
MMI_1047,Join FWC PVP Arena
MMI_1046,FWC PVP Ranking
MMI_1048,Spectate FWC PVP Contest
MMI_1049,Rock Paper Scissors
MMI_1050,W-Token Shop
MMI_1051,Costume Box Upgrade
MMI_1054,Exchange Rings
MMI_1055,Dismantle Item
MMI_1056,Purchase Guild Ship
MMI_1057,Enter Guild Ship
MMI_1058,Enter Your House
MMI_1059,Select House Template
MMI_1060,Visit Friend's House
MMI_1061,Edit
MMI_1062,Remove
MMI_1063,Exchange Earrings
MMI_1064,Exchange Necklaces
MMI_1065,Rainbow Race
MMI_1066,Create Ultimate Weapon
MMI_1069,Open Guest Book
MMI_1070,Orphanage Keeper Shop
MMI_1071,Kalgas Assault Registration
MMI_1072,Kalgas Assault Enter
MMI_1073,Kalgas Assault Rank
MMI_1074,Kalgas Assault Info
MMI_1075,Kalgas Chip Shop
MMI_1076,Couple's Storage
MMI_1077,Create Ultimate Jewel
MMI_1078,Fuse Ultimate Jewel
MMI_1079,Teleport
MMI_1080,Sea Shell Upgrading
MMI_1081,Fuse Rainbow Jewel
MMI_1082,Dismantle Rainbow Jewel
MMI_1083,Pet Training
MMI_1084,Teleport
MMI_1085,Individual Race (Item)
MMI_1086,Individual Race (Speed)
MMI_1087,Duo Team Race (Item)
MMI_1088,Duo Team Race (Speed)
MMI_1089,Sit
MMI_1090,Sleep
MMI_1091,Yellow Chip Shop
MMI_1092,Madrigal Tournament Registration
MMI_1093,Enter Madrigal Tournament
MMI_1094,Madrigal Tournament Ranking
MMI_1095,Madrigal Tournament Reward
MMI_1096,Madrigal Tournament Bidding
MMI_1097,Remove Ultimate Jewel
MMI_1098,Customize
MMI_1099,Enter Couple House
MMI_1100,Select Couple House Template
MMI_1101,Wandering Shop
MMI_1102,Master Chip Shop - Alchemy
MMI_1103,Product Upgrade
MMI_1104,Life Mastery Ranking
MMI_1105,Life Mastery Ranking Reward
MMI_1106,Alchemy
MMI_1107,Cooking
MMI_1108,Carpentry
MMI_1109,Smithing
MMI_1110,Enter Race
MMI_1111,Master Chip Shop - Cooking
MMI_1112,Master Chip Shop - Carpentry
MMI_1113,Master Chip Shop - Smithing
MMI_1115,Join Boss Raid
MMI_1120,3rd Anniversary Egg Upgrade Event
MMI_1121,Champion Coin Exchange
MMI_1116,Synthesize Ultimate Jewel
MMI_1117,Convert Ultimate Jewel
MMI_2025,PTS Exchange (Equipment)
MMI_2026,Give Feedback
MMI_2027,PTS Exchange (Materials)
MMI_2028,PTS Exchange (Essentials)
MMI_2029,PTS Exchange (Jewelry)
MMI_2030,PTS Exchange (Other Equipment)
MMI_2031,Reset Cooldowns
MMI_2032,PTS Exchange (New Equipment)
MMI_2033,Item Exchange
MMI_1122,Lv165 GS Apply
MMI_1123,Lv165 GS Status
MMI_1124,Lv165 GS Cancel
MMI_1125,Lv165 GS Join
MMI_1126,Lv165 GS Line Up
MMI_1127,Lv165 GS Ranking
MMI_1128,Lv165 GS Information
MMI_1129,Yellow Chip Shop 2
MMI_1130,Red Chip Shop 2
MMI_1131,Kalgas Chip Shop 2
MMI_1132,Mysterious Castle Enter
MMI_1133,Mysterious Castle Reward
MMI_1134,Kebaras 2 Costumes
