Key,English,German
PROPSKILL_TXT_000309,,
PROPSKILL_TXT_000000,Clean Hit,Clean Hit
PROPSKILL_TXT_000001,"A powerful, downward strike.","Benutze diesen Skill, um mit einem mächtigen Schwerthieb Schaden zu verursachen."
PROPSKILL_TXT_000002,Flurry,Brandish
PROPSKILL_TXT_000003,A rapid stabbing attack.,"Ein Rundumhieb, um den Feind schnell mehrfach mit dem Schwert zu durchlöchern."
PROPSKILL_TXT_000004,Over Cutter,Over Cutter
PROPSKILL_TXT_000005,A powerful upward finishing move.,"Ein Abschluss Skill, um einen starken Schlag nach vorne auszuführen."
PROPSKILL_TXT_000006,Slash,Splash
PROPSKILL_TXT_000007,Strikes the enemy twice in rapid succession.,"Ein Skill, um den Feind 2x mit konzentrierter Energie zu schlagen."
PROPSKILL_TXT_000008,Keenwheel,Keenwheel
PROPSKILL_TXT_000009,A continuous spinning attack.,"Ein Kreiselskill, um den Feind mehrmals schnell hintereinander zu treffen. "
PROPSKILL_TXT_000010,Blindside,Blindside
PROPSKILL_TXT_000011,A spinning finishing move that may stun the enemy.,"Ein Abschluss Skill, um den Feind mit deiner ganzen Kraft zu schlagen."
PROPSKILL_TXT_000012,Protection,Protection
PROPSKILL_TXT_000013,Draws out the wielded shield's power to increase defense against physical attacks and significantly increase Ranged Block.,"Erhöht die Verteidigung, in dem man dem Schild etwas seiner Kraft leiht."
PROPSKILL_TXT_000014,Pan Barrier,Pan Barrier
PROPSKILL_TXT_000015,Significantly increases Ranged Block.,Erhöht die Widerstandskraft gegenüber Fernattacken beim Benutzen eines Schildes.
PROPSKILL_TXT_000016,Blazing Sword,Blazing Sword
PROPSKILL_TXT_000017,Increases accuracy and enhances the power of the wielded sword.,Erhöht die Angriffsstärke und die Treffsicherheit deines Schwertes.
PROPSKILL_TXT_000018,Smite Axe,Smite Axe
PROPSKILL_TXT_000019,Increases accuracy and enhances the power of the wielded axe.,Erhöht die Angriffstärke und die Verteidigungsstärke deiner Axt.
PROPSKILL_TXT_000020,Empower Weapon,Empower Weapon
PROPSKILL_TXT_000021,Enhances the weapon's elemental power.,Nutzt das Element einer Waffe um deine Angriffskraft zu stärken.
PROPSKILL_TXT_000022,Bloody Strike,Bloody Strike
PROPSKILL_TXT_000024,Sword Mastery,Sword Mastery
PROPSKILL_TXT_000025,Enhances the power of the wielded sword.,Zur Erhöhung der Angriffsstärke bei Erhebung der Schwertfähigkeiten.
PROPSKILL_TXT_000026,Axe Mastery,Axe Mastery
PROPSKILL_TXT_000027,Enhances the power of the wielded axe.,Zur Erhöhung der Angriffsstärke bei Erhebung der Axtfähigkeiten.
PROPSKILL_TXT_000028,Special Hit,Special Hit
PROPSKILL_TXT_000029,A single powerful strike that hits all enemies around you.,"Ein einzelner, mächtiger Schlag, der alle Feinde um dich herum angreift."
PROPSKILL_TXT_000030,Guillotine,Guillotine
PROPSKILL_TXT_000031,A powerful ranged attack.,"Ein Hieb gegen den Gegner mit der Waffe, geladen mit Geisteskraft. "
PROPSKILL_TXT_000032,Sneaker,Sneaker
PROPSKILL_TXT_000033,"Traps the enemy in a net, immobilizing them.","Ein Netz wird ausgeworfen, um den Gegner zu verlangsamen."
PROPSKILL_TXT_000034,Reflex Hit,Reflex Hit
PROPSKILL_TXT_000035,Absorbs an incoming attack and strikes an enemy with the absorbed damage.,"Ein Hieb gegen den Gegner, der den Schaden des Angreifers reflektiert."
PROPSKILL_TXT_000036,Guard,Guard
PROPSKILL_TXT_000037,Reduces all incoming damage from enemies at the cost of attack power.,Der Schaden den man nimmt verringert sich bei Senkung der Angriffsstärke. Benötigt eine ausgerüstete Waffe.
PROPSKILL_TXT_000038,Pain Reflection,Pain Reflection
PROPSKILL_TXT_000039,Reflects a portion of the damage received back at the enemy.,"Reflektiert einen Teil des Schadens, welcher dir vom Gegner zufügt wird."
PROPSKILL_TXT_000040,Rage,Rage
PROPSKILL_TXT_000041,Increases striking power but makes you more vulnerable to all incoming attacks.,Erhöht die Angriffsstärke durch die Konzentration auf den Angriff. Die Verteidigung wird währenddessen gesenkt.
PROPSKILL_TXT_000042,Power Swing,Powerswing
PROPSKILL_TXT_000043,Swings the weapon to strike surrounding enemies and push them back. Requires a two-handed weapon.,"Ein Hieb gegen den Gegner, indem man mit der Waffe weit ausholt."
PROPSKILL_TXT_000044,Earth Divider,Earth Divider
PROPSKILL_TXT_000045,A powerful downward strike that may reduce HP Restoration on the target. Requires a two-handed weapon.,"Mächtiger, nach unten gerichteter Schlag. Hat eine Chance, die eingehende Heilung des Ziels zu verringern. Erfordert eine zweihändige Waffe."
PROPSKILL_TXT_000046,Charge,Charge
PROPSKILL_TXT_000047,A powerful upward strike that stuns the enemy. Requires a two-handed weapon.,"Kraftvoller, nach oben gerichteter Schlag. Betäubt den Feind. Erfordert eine zweihändige Waffe."
PROPSKILL_TXT_000048,Pain Dealer,Pain Dealer
PROPSKILL_TXT_000049,A powerful downward strike that lowers the defense of the target. Requires a two-handed weapon.,"Mächtiger, nach unten gerichteter Schlag, der die gegnerische Verteidigung verringert. Erfordert eine Zweihandwaffe."
PROPSKILL_TXT_000050,Power Stomp,Power Stump
PROPSKILL_TXT_000051,"Pounds the ground, hitting surrounding enemies with a chance to stun them. Requires a two-handed weapon.","Kräftiger Schlag auf den Boden, betäubt Gegner in der Nähe. Erfordert eine Zweihandwaffe."
PROPSKILL_TXT_000052,Cross Strike,Cross Strike
PROPSKILL_TXT_000053,A powerful dual-weapon strike that knocks down the enemy.,Den Gegner mit zwei Einhandwaffen angreifen.
PROPSKILL_TXT_000054,Armor Penetrate,Armor Penetrate
PROPSKILL_TXT_000055,Strikes the enemy and lowers their block rate.,Die Blockrate des Gegners wird geschwächt.
PROPSKILL_TXT_000056,Silent Strike,Silent Strike
PROPSKILL_TXT_000057,"Pounces on the enemy from afar, stunning them. Requires two weapons.",Stürzt sich aus der Ferne auf den Feind. Betäubt das Ziel. Benötigt zwei Waffen.
PROPSKILL_TXT_000058,Blade Dance,Blade Dance
