Key,English,German
DUASYLUM_WLD_000000,Ankou's Asylum,Ankou's Zuflucht
DUASYLUM_WLD_000001,Ankou's Cell,Ankou's Kerker
DUCAVERN_WLD_000000,Leren Chasm (Instance Dungeon),Lerenkluft (Instanzierter Dungeon)
DUHERNEOS_WLD_000000,Herneos (Dungeon),Herneos (Dungeon)
DUDADK_WLD_000000,Dekane Mine (Dungeon),Dekane Mine (Dungeon)
WORLD_DUFLMAS_DUFLMAS_RGN_000000,Mars Mine (Dungeon),Mars Dungeon
DUGUARDIANE_WLD_000000,Guardiane Sanctuary (Instance Dungeon),Guardiane Heiligtum (Instanzierter Dungeon)
DURUINS_WLD_000000,Rhisis Catacombs (Instance Dungeon),Katakomben von Rhisis (Instanzierter Dungeon) 
DURUSTIA_WLD_000000,The Wilds,Die Wildnis
DUSATEMPLE_WLD_000000,Iblis Temple (Dungeon),Ivillis Tempel (Dungeon)
DUSTORM_WLD_000000,Storm Peak (Instance Dungeon),Sturmgipfel (Instanzierter Dungeon)
DUUNDERWATER_WLD_000000,Envy Depths (Instance Dungeon),Neidische Tiefe (Instanzierter Dungeon)
DUUPRESIA_WLD_000000,Euphresia,Euphresia
DUVOLKANE_WLD_000000,Volkane,Volkane
DUVOLKANE_WLD_000001,Volkane (Dungeon),Volkane (Dungeon)
WDARENA_WLD_000000,Arena,Arena
WDARENA_WLD_000001,You can PvP in the Arena.,Hier ist PvP erlaubt.
WDARENA_WLD_000002,Training Center,Training Center
WDARENA_WLD_000003,Test your capabilities against dummies!,Teste deine Fähigkeiten an den Übungspuppen!
WDARENA_WLD_000004,,
WDARENA_WLD_000005,,
WDARENA_WLD_000006,The Bronze Vagrant,Der Bronze Vagrant
WDARENA_WLD_000007,The Bronze Elementor,Der Bronze Elementor
WDARENA_WLD_000008,The Bronze Knight,Der Bronze Knight
WDARENA_WLD_000009,The Bronze Psykeeper,Der Bronze Psykeeper
WDARENA_WLD_000010,The Bronze Billposter,Der Bronze Billposter
WDARENA_WLD_000011,The Bronze Blade,Der Bronze Blade
WDARENA_WLD_000012,The Bronze Jester,Der Bronze Jester
WDARENA_WLD_000013,The Bronze Ranger,Der Bronze Ranger
WDARENA_WLD_000014,The Bronze Ringmaster,Der Bronze Ringmaster
WDCOLOSSEUM_WLD_000001,The Colosseum,Das Kolosseum
WDCOLOSSEUM_WLD_000002,Colosseum Stadium,Kolosseum Stadion
WDCOLOSSEUM_WLD_000003,The Cage of Clockworks,Der Käfig des Clockworks
WDCOLOSSEUM_WLD_000004,Clockworks was sealed here after the Clockworks War.,"Dies ist der Käfig, in dem Clockworks nach dem Clockwork War versiegelt wurde."
WDEVENT_WLD_000000,Duel Zone,Arena
WORLD_WDGUILDWAR_WDGUILDWAR_RGN_000000,Prove yourself!\nShow them that you are the best!,Du willst ein starker Kämpfer sein? \n Zeig uns deinen Siegeswillen!
WDGUILDWARBIG_WLD_000000,Prove yourself!\nShow them that you are the best!,Du willst ein starker Kämpfer sein? \n Zeig uns deinen Siegeswillen!
WORLD_WDGUILDWAR_CAVERN_RGN_000000,Prove yourself!\nShow them that you are the best!,Du willst ein starker Kämpfer sein? \n Zeig uns deinen Siegeswillen!
WORLD_WDGUILDWAR_CORAL_RGN_000000,Prove yourself!\nShow them that you are the best!,Du willst ein starker Kämpfer sein? \n Zeig uns deinen Siegeswillen!
WORLD_WDGUILDWAR_GUARDIANE_RGN_000000,Prove yourself!\nShow them that you are the best!,Du willst ein starker Kämpfer sein? \n Zeig uns deinen Siegeswillen!
WORLD_WDGUILDWAR_KAILLUN_RGN_000000,Prove yourself!\nShow them that you are the best!,Du willst ein starker Kämpfer sein? \n Zeig uns deinen Siegeswillen!
WORLD_WDGUILDWAR_SNOW_RGN_000000,Prove yourself!\nShow them that you are the best!,Du willst ein starker Kämpfer sein? \n Zeig uns deinen Siegeswillen!
WORLD_WDGUILDWAR_UNDERWATER_RGN_000000,Prove yourself!\nShow them that you are the best!,Du willst ein starker Kämpfer sein? \n Zeig uns deinen Siegeswillen!
WORLD_WDGUILDWAR_VOLCANO_RGN_000000,Prove yourself!\nShow them that you are the best!,"Beweise dich!\nZeig ihnen, dass du die Nummer eins bist!"
WDKEBARAS_WLD_000000,Lodelight,Lodelight
WDKEBARAS_WLD_000001,This is a safe place.,Dies ist ein sicherer Ort.
WORLD_WDKEBARAS_WDKEBARAS_RGN_000000,Kebaras,Kebaras
WORLD_WDKEBARAS_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras!\nLong ago, this place served as a prison for criminals...",Willkommen in der Stadt von Kebaras!\nDieser Ort war einst ein Gefängnis für Kriminelle...
WDKEBARAS2_WLD_000000,Lodelight,Lodelight
WDKEBARAS2_WLD_000001,This is a safe place.,This is a safe place.
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000000,Kebaras 2,Kebaras 2
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals...","Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals..."
WDMADRIGAL_WLD_000000,Mysterious Castle,Mysteriöses Schloss
WDMADRIGAL_WLD_000001,This place is not marked on the map. No one knows how to enter it...,"Dieser Ort wurde auf keiner Karte festgehalten. Niemand weißt, wie man diesen Ort betritt..."
WDMADRIGAL_WLD_000002,Refuge of Middle Leren Mountains,Flüchtlingslager im Mittleren Gebirge des Leren
WDMADRIGAL_WLD_000003,Line Flarine ↔ Saint City,Fluglinie Flaris ↔ Saint Morning
WDMADRIGAL_WLD_000004,Line Flarine ↔ Darkon 1,Fluglinie Flaris ↔ Darkon 1
WDMADRIGAL_WLD_000005,Line Flarine ↔ Mars Mine,Fluglinie Flaris ↔ Mas Dungeon
WDMADRIGAL_WLD_000006,Line Saint City ↔ Garden of Rhisis,Fluglinie Saint Morning ↔ Garten von Rhisis
WDMADRIGAL_WLD_000007,Line Saint City ↔ Fantasy Desert,Fluglinie Saint Morning ↔ Fantasy Desert
WDMADRIGAL_WLD_000008,Line Darkon 1 ↔ Darken,Fluglinie Darkon 1 ↔ Darkon City
WDMADRIGAL_WLD_000009,Line Darken ↔ Arians,Fluglinie Darkon City ↔ Arians
WDMADRIGAL_WLD_000010,Line Arians ↔ Guardiane,Fluglinie Arians ↔ Guardiane
WDMADRIGAL_WLD_000011,Line Arians ↔ Deadwallderness,Fluglinie Arians ↔ Tote Wüste
WDMADRIGAL_WLD_000012,Azria\nAbandoned Erons Factory,Azria\nVerlassene Erons Fabrik
WDMADRIGAL_WLD_000013,Azria\nVillage,Azria\nDorf
WDMADRIGAL_WLD_000014,Line Deadwallderness ↔ Azria,Fluglinie Deadwallderness ↔ Azria
WDMADRIGAL_WLD_000015,Storm Peak Entrance,Eingang des Sturmgipfels
WDMADRIGAL_WLD_000017,Envy Depths Entrance,Eingang der Neidischen Tiefen
WDMADRIGAL_WLD_000019,Guardiane Sanctuary Entrance,Eingang des Guardiane Heiligtum
WDMADRIGAL_WLD_000021,Leren Chasm Entrance,Eingang der Lerenkluft
WDMADRIGAL_WLD_000022,Wilds Entrance,Eingang der Wildnis
WDMADRIGAL_WLD_000023,Rhisis Catacombs,Katakomben von Rhisis
WDMADRIGAL_WLD_000024,This is a safe place.,Dies ist ein sicherer Ort.
WDMADRIGAL_WLD_000025,The Wilds Entrance,Eingang der Wildnis
WDMADRIGAL_WLD_000026,Coral Village,Korallen Dorf
WDMADRIGAL_WLD_000028,Coral Island,Koralleninsel
WDMADRIGAL_WLD_000029,Welcome to Coral!,Willkommen auf der Koralleninsel!
WDMADRIGAL_WLD_000030,Red Sea,Rotes Meer
WDMADRIGAL_WLD_000032,Deep Sea,Tiefsee
WDMADRIGAL_WLD_000034,Swamp,Sumpf
WDMADRIGAL_WLD_000035,Saint City Arena,Saint City Arena
