Key,English,Traditional_Chinese
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K.
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,狩獵怪物以讓紅人狀態消失
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,你的紅人狀態可以被贖回，你準備好為你的罪付出代價了嗎？
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,獵殺$QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,你還沒有為你的罪付出代價…
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,你的任務已經完成，你的罪已被赦免。
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.",如果你真的不願意為寬恕而戰，那麼你就沒有希望了。
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,狩獵 $QUEST_END_KILL_NAME$ 將會恢復你的惡名點數。
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,獲得逃離卡巴拉斯島入出境鑰匙
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,你可以在扭曲區從這裡出去，但你需要鑰匙。你準備好要贏得它了嗎？
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,如果你能給我帶來 $QUEST_END_ITEM_COUNT$ 解脫罪過的晶球，我將會給你鑰匙。你可在露營地旁邊的空地上獲得晶球。
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,不知道你何時可以逃脫這個陰暗的罪過…
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,鑰匙在這裡。現在去，永遠不要回來。
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,只需 $QUEST_END_ITEM_COUNT$ 顆晶球，我就可以給你自由。你要怎麼能通過這樣的要求？
PROPQUEST_DUNGEONANDPK_INC_000382,Keep gathering your beads.,繼續收集你的晶球。
PROPQUEST_DUNGEONANDPK_INC_000390,You are welcome to stay for as long as you would like.,難道你這麼喜歡這個島嶼嗎？那~你就繼續留下來吧！
PROPQUEST_DUNGEONANDPK_INC_000420,Entering the Dekane Mine,尋找迪坎礦坑
PROPQUEST_DUNGEONANDPK_INC_000421,You are really willing to enter the Dekane Mine?,難道你想進入迪坎礦坑嗎？
PROPQUEST_DUNGEONANDPK_INC_000422,"Then visit the Dwarpet, Rankashu, in front of the Dekane Mine.",幫我去找『小草兒』詢問一下關於礦坑的事情好嗎？你去迪坎礦坑前面就會找到他了。
PROPQUEST_DUNGEONANDPK_INC_000423,Ha ha ha. Of course not. It is far too frightening.,噗！我就知道你會這樣。你覺得很恐怖吧！
PROPQUEST_DUNGEONANDPK_INC_000424,Here is the Mine Entrance Card. It is up to you to enter but I advise against it. You may die.,謝謝你啦～這是可以進入礦坑的通行卡到時候.變成靈魂出來也不要埋怨我喔～
