Key,English,Simplified_Chinese
DUASYLUM_WLD_000000,Ankou's Asylum,安库的庇护所
DUASYLUM_WLD_000001,Ankou's Cell,安库的囚牢
DUCAVERN_WLD_000000,Leren Chasm (Instance Dungeon),乐雅裂痕（副本）
DUHERNEOS_WLD_000000,Herneos (Dungeon),赫涅奥斯 (地牢)
DUDADK_WLD_000000,Dekane Mine (Dungeon),达肯矿洞 (地牢)
WORLD_DUFLMAS_DUFLMAS_RGN_000000,Mars Mine (Dungeon),魔域密殿 (地牢)
DUGUARDIANE_WLD_000000,Guardiane Sanctuary (Instance Dungeon),堕落圣域（副本）
DURUINS_WLD_000000,Rhisis Catacombs (Instance Dungeon),莱斯神之墓（副本）
DURUSTIA_WLD_000000,The Wilds,荒野
DUSATEMPLE_WLD_000000,Iblis Temple (Dungeon),幻魔依普利神殿 (地牢)
DUSTORM_WLD_000000,Storm Peak (Instance Dungeon),风暴之巅 (副本)
DUUNDERWATER_WLD_000000,Envy Depths (Instance Dungeon),渴望深渊 (副本)
DUUPRESIA_WLD_000000,Euphresia,Euphresia
DUVOLKANE_WLD_000000,Volkane,熔岩秘境
DUVOLKANE_WLD_000001,Volkane (Dungeon),熔岩秘境 (地牢)
WDARENA_WLD_000000,Arena,竞技场
WDARENA_WLD_000001,You can PvP in the Arena.,你可以在竞技场中与其他玩家对战。
WDARENA_WLD_000002,Training Center,训练中心
WDARENA_WLD_000003,Test your capabilities against dummies!,攻击训练稻草人检验你的实力吧！
WDARENA_WLD_000004,,
WDARENA_WLD_000005,,
WDARENA_WLD_000006,The Bronze Vagrant,The Bronze Vagrant
WDARENA_WLD_000007,The Bronze Elementor,The Bronze Elementor
WDARENA_WLD_000008,The Bronze Knight,The Bronze Knight
WDARENA_WLD_000009,The Bronze Psykeeper,The Bronze Psykeeper
WDARENA_WLD_000010,The Bronze Billposter,The Bronze Billposter
WDARENA_WLD_000011,The Bronze Blade,The Bronze Blade
WDARENA_WLD_000012,The Bronze Jester,The Bronze Jester
WDARENA_WLD_000013,The Bronze Ranger,The Bronze Ranger
WDARENA_WLD_000014,The Bronze Ringmaster,The Bronze Ringmaster
WDCOLOSSEUM_WLD_000001,The Colosseum,The Colosseum
WDCOLOSSEUM_WLD_000002,Colosseum Stadium,斗兽运动场
WDCOLOSSEUM_WLD_000003,The Cage of Clockworks,时空毁灭者巢穴
WDCOLOSSEUM_WLD_000004,Clockworks was sealed here after the Clockworks War.,时空毁灭战争之后，时空毁灭者便被囚禁于此。
WDEVENT_WLD_000000,Duel Zone,这里是对战区域
WORLD_WDGUILDWAR_WDGUILDWAR_RGN_000000,Prove yourself!\nShow them that you are the best!,证明自己！\n向他们证明你是最强的！
WDGUILDWARBIG_WLD_000000,Prove yourself!\nShow them that you are the best!,证明自己！\n向他们证明你是最强的！
WORLD_WDGUILDWAR_CAVERN_RGN_000000,Prove yourself!\nShow them that you are the best!,证明自己！\n向他们证明你是最强的！
WORLD_WDGUILDWAR_CORAL_RGN_000000,Prove yourself!\nShow them that you are the best!,证明自己！\n向他们证明你是最强的！
WORLD_WDGUILDWAR_GUARDIANE_RGN_000000,Prove yourself!\nShow them that you are the best!,证明自己！\n向他们证明你是最强的！
WORLD_WDGUILDWAR_KAILLUN_RGN_000000,Prove yourself!\nShow them that you are the best!,证明自己！\n向他们证明你是最强的！
WORLD_WDGUILDWAR_SNOW_RGN_000000,Prove yourself!\nShow them that you are the best!,证明自己！\n向他们证明你是最强的！
WORLD_WDGUILDWAR_UNDERWATER_RGN_000000,Prove yourself!\nShow them that you are the best!,证明自己！\n向他们证明你是最强的！
WORLD_WDGUILDWAR_VOLCANO_RGN_000000,Prove yourself!\nShow them that you are the best!,证明你自己！\n向他们展示你是最强的！
WDKEBARAS_WLD_000000,Lodelight,生命之塔
WDKEBARAS_WLD_000001,This is a safe place.,这里是安全区，可以避开敌人的攻击。
WORLD_WDKEBARAS_WDKEBARAS_RGN_000000,Kebaras,卡巴拉斯
WORLD_WDKEBARAS_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras!\nLong ago, this place served as a prison for criminals...",这里是卡巴拉斯镇。\n很久之前，这里曾是关押罪犯的监狱。
WDKEBARAS2_WLD_000000,Lodelight,Lodelight
WDKEBARAS2_WLD_000001,This is a safe place.,This is a safe place.
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000000,Kebaras 2,Kebaras 2
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals...","Welcome to the town of Kebaras 2!\nLong ago, this place served as a prison for criminals..."
WDMADRIGAL_WLD_000000,Mysterious Castle,神秘城堡
WDMADRIGAL_WLD_000001,This place is not marked on the map. No one knows how to enter it...,地图上未标注此地点。没人知道怎么进去……
WDMADRIGAL_WLD_000002,Refuge of Middle Leren Mountains,乐雅山脉中部的避难所
WDMADRIGAL_WLD_000003,Line Flarine ↔ Saint City,帕里 ↔ 晨光
WDMADRIGAL_WLD_000004,Line Flarine ↔ Darkon 1,帕里 ↔ 达肯1区
WDMADRIGAL_WLD_000005,Line Flarine ↔ Mars Mine,帕里 ↔ 魔域密殿
WDMADRIGAL_WLD_000006,Line Saint City ↔ Garden of Rhisis,晨光 ↔ 莱斯庭院
WDMADRIGAL_WLD_000007,Line Saint City ↔ Fantasy Desert,晨光 ↔ 梦幻沙漠
WDMADRIGAL_WLD_000008,Line Darkon 1 ↔ Darken,达肯1 ↔ 达肯
WDMADRIGAL_WLD_000009,Line Darken ↔ Arians,达肯 ↔ 千泪湖
WDMADRIGAL_WLD_000010,Line Arians ↔ Guardiane,千泪湖 ↔ 守护之室
WDMADRIGAL_WLD_000011,Line Arians ↔ Deadwallderness,千泪湖 ↔ 龙息荒野
WDMADRIGAL_WLD_000012,Azria\nAbandoned Erons Factory,阿兹利亚\n废弃的绿磷石工厂
WDMADRIGAL_WLD_000013,Azria\nVillage,阿兹利亚\n雪橇村
WDMADRIGAL_WLD_000014,Line Deadwallderness ↔ Azria,Line Deadwalderness ↔ 阿兹利亚
WDMADRIGAL_WLD_000015,Storm Peak Entrance,风暴之巅入口
WDMADRIGAL_WLD_000017,Envy Depths Entrance,渴望深渊入口
WDMADRIGAL_WLD_000019,Guardiane Sanctuary Entrance,堕落圣域入口
WDMADRIGAL_WLD_000021,Leren Chasm Entrance,乐雅裂痕入口
WDMADRIGAL_WLD_000022,Wilds Entrance,荒野入口
WDMADRIGAL_WLD_000023,Rhisis Catacombs,莱斯神之墓
WDMADRIGAL_WLD_000024,This is a safe place.,这里很安全。
WDMADRIGAL_WLD_000025,The Wilds Entrance,荒野入口
WDMADRIGAL_WLD_000026,Coral Village,珊瑚村
WDMADRIGAL_WLD_000028,Coral Island,珊瑚岛
WDMADRIGAL_WLD_000029,Welcome to Coral!,欢迎来到珊瑚岛！
WDMADRIGAL_WLD_000030,Red Sea,红海
WDMADRIGAL_WLD_000032,Deep Sea,深海
WDMADRIGAL_WLD_000034,Swamp,湿地
WDMADRIGAL_WLD_000035,Saint City Arena,晨光竞技场
WDMADRIGAL_WLD_000036,This place was famous long ago...,这里昔日曾闻名一时…
WDMADRIGAL_WLD_000037,Kaillun,凯伦
WDMADRIGAL_WLD_000038,Welcome to Kaillun!,欢迎来到凯伦！
WDMADRIGAL_WLD_000039,Orbalune Port,奥巴伦港
WDMADRIGAL_WLD_000040,This is a safe place.,这里很安全。
WDMADRIGAL_WLD_000041,Kaillun Grassland,凯伦草原
WDMADRIGAL_WLD_000042,Dreknir Ridge,德雷克尼尔山脊
WDMADRIGAL_WLD_000043,Lionrath Falls,莱昂拉斯瀑布
WDMADRIGAL_WLD_000044,Velora Cliffs,维洛拉峭壁
WDMADRIGAL_WLD_000045,Dreknir Forest,德雷克尼尔森林
WDMADRIGAL_WLD_000046,Ankou's Asylum Entrance,安库的庇护所入口
WDMADRIGAL_WLD_000047,This is a safe place.,这里很安全。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000000,Darkon 1\nErons Factory 2,达肯的第一地区\n绿磷石工厂第2区
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000001,Erons Factory 2. Used to produce Erons.,这里是绿磷石的生产工厂的第2区。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000002,The Middle of Leren Mountains,乐雅山脉中部
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000003,The middle district of Leren Mountains in Flaris.\nThere is Billeting Place of the High-Dwarpets and the Plain of Bubble.,乐雅山脉的中部地区\n高阶矮人族的居住地。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000004,Flarine\nCentral Flarine,帕里\n春之城帕里
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000005,The main hub of activity for Flaris is in the middle of Flarine.\nThere is a station and a public office.\nThere are stores for armor and weapons.,欢迎您来到春之城帕里镇。\n这里有港口设施、政府办事处、武器店及杂货店。\n第一次来的游客请找政府办事处的茱丽亚。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000006,Flarine\nEastern Flarine,帕里\n东广场
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000007,"The eastern part of Flarine.\nHere you can get food, magic materials, and job training.",这里有魔法商店和食品店。\n这里是帕里镇的东部。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000008,Flarine\nNorthern Flarine,帕里\n北广场
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000009,The northern part of Flarine.\nThe Job Masters and Lodestar are here.,帕里北广场\n城镇之星位于此地
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000010,Someone is watching you.,上面好像有人注视着你。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000011,Plain of Bubble,波布尔平原
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000012,This area was created by the Clown God Bubble.,此地是一个叫波布尔的小丑神创造的。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000013,The South of Leren Mountains,乐雅山脉南部
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000014,The southern district of the Leren Mountains.,乐雅山脉的南部地区
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000015,The Center for Guild Combat,公会对战中心
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000016,Guild combat is managed here.,管理公会战的所有事项。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000017,The South of Leren Mountains\nAltar of Dreadpet,乐雅山脉的南部\n矮人族祭团
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000018,Dreadpet is kept here.\nHis keepers control great magic.,德莱德祭团守卫着这里。\n他的守卫们掌控着神秘的力量。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000019,Darkon 1\nErons Factory 1,达肯一\n绿磷石工厂第1区
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000020,The First Erons Factory.\nThis factory produces 80% of all Erons.,生产绿磷石的第一个工厂\n80%的绿磷石都在此地生产。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000021,Darkon\nAltar of Violet,达肯\n紫色的祭团
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000022,There is evidence here of a major event.,这里似乎有着重要事件的端倪。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000023,The Middle of Leren Mountains,乐雅山脉中部
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000024,The middle of the Leren Mountains.\nThere is Billeting Place of the High-Dwarpets and the Plain of Bubble.,乐雅山脉的中部地区\n高阶矮人族与波布尔的居住地。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000025,Billeting Place of High-Dwarpets,高阶矮人族居住地
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000026,The High-Dwarpets have created Billeting place.\n A certain High-Dwarpet once stored the Book of Technique here.,高阶矮人族们建造的营地。\n 几个高阶矮人族曾在这存放着相关的技术书籍。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000027,Northern River of Weeping,雨之河北部
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000028,Haunt of Nyangnyang,彩冠翎猫栖息地
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000029,Haunt of Nyangnyang.,这里是彩冠翎猫的栖息地。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000030,The bridge was repaired!\n You used to have to jump across a gap.,桥修好了！\n据说人们曾经不得不跳过一个缺口。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000031,Lodelight,光明之塔
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000032,This is a safe place.,这里是安全区，可以避开敌人的攻击。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000033,Madren Town,迪米村
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000034,This is a small town for Demian.\nCast-off Demian live here.,小淘气迪米的居住地。\n虽然是小孩子，但他的脾气暴躁的不得了。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000035,Middle of River of Weeping,雨之河中部
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000036,This river overflows when it rains every once in a while.\nHigh-Dwarpet can sometimes be seen bathing here.,因过去下了一场大雨而形成的江。\n高阶矮人族偶尔会来此沐浴。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000037,Madren Town\nAltar of Dreadpet,迪米村\n德莱德祭团
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000038,Another place for controlling the Dreadpet.\nThere are supervisors here that use strong magic.,另一个控制着祭坛的地方。\n居住在此地的守卫们拥有着神秘的力量。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000039,Fountain of Dead Person,亡者之泉
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000040,"It is known that souls gather together in this place.\nAccording to tradition, the water in this place gives perennial youth and long life.",传说亡者的灵魂会聚集在这里。\n喝过这里的水，据说会长生不老。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000041,Northern Leren Mountains,乐雅山脉北部
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000042,The northern district of the Leren Mountains.\nThe Mars Mine and the Fountain of Dead Person are here.,乐雅山脉的北部地区\n魔域密殿与亡者之泉就在此地。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000043,Mars Mine,魔域密殿
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000044,"This Mine was found and developed by mining merchants long ago.\n However, the place is overrun with Masquerpets now.",很久以前被采矿人发现的地方，是一个已开发的矿山\n现在有很多魔域怪兽居住在此地。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000045,The residence of Ludviehill,萝特的豪宅
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000046,The rich of Flaris live in Ludviehill.,帕里的富豪-萝特居住于此地
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000049,Saint Tree,晨光神木
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000050,Saint Tree is really old\n This tree is one of the symbols of Saint Morning.,守护晨光的象征\n不知道生存了多久的时间，是一颗很老久的古木。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000051,Saint Morning\nAltar of Violet,晨光\n紫色的祭团
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000052,"Here, as in other places, there is evidence of a major event.",这里同其他地方一样，也似乎也有着重要事件的迹象。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000053,Northern Hillid Mountains,龙脊山脉北部
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000054,The Northern district of the Hillid Mountains,龙脊山脉山脉的北部地区
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000055,Eastern River of Weeping,雨之河东部
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000056,The Eastern part of the River of Weeping\nAltar of Dreadpet,雨之河东部\n德莱德祭团
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000057,Another Altar to the Dreadpet.\nThe magic of the Dreadpet tamers electrifies the air.,德莱德的另一个祭团\n拥有神秘力量的法师居住在此地。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000058,Saint Morning\nSaint Hall,晨光\n晨光大厅
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000059,Saint Hall is the oldest building. It has been standing longer than anyone in town has been alive.\nPublic offices and the laboratory are located in this building.,圣教堂是这儿最古老的建筑。它屹立在这比小镇上的所有人都要久远。\n晨光办公厅和实验室便位于此。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000060,Saint Morning,晨光
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000061,Saint Morning has gained independence from Flaris.\nThey have made a fortune from commerce.,晨光已从帕里那分离，成为了一座独立的城市。\n他们通过经商获得了不少财富。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000062,Saint Morning\nStation,晨光\n航空站
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000063,This is the biggest station on Madrigal.\nSaint Morning could become the center of commerce for Madrigal by using this station.,瑞加中最大的航空站\n此航空站使得晨光成为瑞加大陆中商业交易最频繁的地区。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000064,Saint Morning square,晨光广场
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000065,Saint Morning square is a local hang out.\nThere is lots of space to open stores.,晨光市立广场，人民的休息处\n市民们喜欢聚在这里。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000066,Saint Morning\nThe Madrigal History Society.,晨光\n瑞加历史协会
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000067,Research in the History of Madrigal is being made here.,关于瑞加大陆的历史研究都是在这展开的。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000068,Flaris\nAltar of Violet,帕里\n紫色的祭团
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000069,"There is a certain smell in the air and stones litter the landscape, evidence of a major event.",空气中弥漫着某种气味，石头散落在大地上，这些都是发生过重大事件的证据。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000070,The Garden of Rhisis,莱斯庭院
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000071,The Garden of Rhisis.\nThis once used to be a beautiful place but was ruined in the war with Clockworks.,被称为莱斯庭院的地区。\n曾经是繁华美丽的都市，但自从时空毁灭者战争后就变成了废墟。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000072,Fantasy Desert,梦幻沙漠
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000073,"You can see stone pillars around the desert.\nAccording to rumor, there are temples that lie buried under this desert.",有着石造建筑物的沙漠。\n据说此沙漠的下面，有着一座地牢。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000074,You can hear the sound of digging close by.,附近传来铲子的声音。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000075,The Entrance to Fantasy Desert,梦幻沙漠入口
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000076,"A desert with a lot of unknown, unexplained, buildings.",不知是谁建造的石造入口。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000077,Southern Hillid Mountains,龙脊山脉南部
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000078,The southern Hillid Mountains.\nThe Entrance to the Fantasy Desert and Plateau of Silence is here.,龙脊山脉的南部地区。\n梦幻沙漠的入口与寂静高原就位于此地。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000079,Plateau of Silence\nGravity Disorder Area,寂静高原\n重力异常区域
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000080,"It is impossible to fly in this area of Madrigal. According to a research group, gravity is stronger here than anywhere else in the world.",在瑞加大陆唯一无法飞行的区域。根据一个研究团队所说，这里的重力比世界上的其他任何一个地方都要大。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000081,Hill of Shade,谢莉德之丘
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000082,"Shade, the Clown Goddess was here.\nShe created this place in the time it takes to blink an eye.",据说一个叫做谢莉德的人，在一天内创造出来的地方。\n传说中小丑女王的栖息地。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000083,This is a safe place.,这里是安全地区，您在这里可以得到保护！
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000084,Pumpkin Town\nThe Home of Mr. Pumpkin.,南瓜村\n(南瓜精居住地)
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000085,"This town was made by people who dislike the city life of Saint Morning.\nHowever, this town was ruined because of an invasion of Mr. Pumpkins.",袭击农家的南瓜精将这里变成了自己的隐身处。\n这里是南瓜精的居住地。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000086,Central Hillid Mountains,龙脊山脉中部
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000087,The central area of the Hillid Mountains.,龙脊山脉的中部地区
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000088,Darkon 3\nMagmient,达肯第3区\n熔岩火海
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000089,The molten terrain of Darkon 3 makes for hard travel.\nOrdinary people do not enter because of the danger.,巨大的溶炎地带，是达肯第三地区中，最危险的地区！\n此地区充满着强大的能量，普通人进入此地区会有生命的危险，因此禁止让一般人出入。
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000090,Altar of Jester,暗杀者祭坛
