Key,English,German
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.","Hallo, ich bin Info Pang.\n\nIch werde dir ein paar Tipps geben, damit du in Madrigal überlebst.\n\nBist du für die Lektionen bereit?\n\nDu kannst die gelernten Informationen jederzeit im Menü nachlesen."
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]","Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]"
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,Bewegen
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.","#b#cff0000ff■ Bewegen [[ mit der Maus |]]#nb#nc\n[[Klicke mit der linken Maustaste an die|Berühre den Bildschirm an der]] Stelle, an die du dich bewegen möchtest.[[\n\n#b#cff0000ff■ Bewegen mit der Tastatur#nb#nc\nNutze die folgenden Tasten um deinen Charakter zu bewegen:\nVorwärts : W\nRückwärts : S\nLinks : A\nRechts : D\n\n#b#cff0000ff■ Laufen#nb#nc\nDrücke X. Wenn du wieder rennen möchtest, drücke die Taste erneut.|]]\n\n#b#cff0000ff■ Springen#nb#nc\n[[Drücke die Leertaste|Drücke lange auf den Bildschirm]] wenn du springen möchtest."
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)","Bewege deinen Charakter mit der Tastatur folgendermaßen:\n\nVorwärts: W\nRückwärts: S\nnach links drehen: A\nnach rechts drehen: D\n\nEinfach, oder? Bewege jetzt deinen Charakter.\n\n#cffff0000Aufgabe: Charakter bewegen (Tastatur)"
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]","Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]"
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]",Machen wir mit dem Springen weiter. Das ist wirklich einfach.\n\n[[Drücke die Leertaste|Halte den Finger auf dem Bildschirm]] um zu springen.\n\n#cffff0000Aufgabe: Springe[[ (Leertaste)|]]
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],Lass uns nun anschauen wie die Kamera funktioniert.\n\n[[Die Kamera kann sowohl mit der Maus als auch der Tastatur bedient werden. Beginnen wir mit der Maus.\n\nHalte die rechte Maustaste gedrückt und bewege die Maus|Wische mit dem Finger über den Bildschirm]] um die Kamera zu drehen.\n\n#cffff0000Aufgabe: Kamera drehen[[ (Maus)|]]
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,Kameraverwaltung
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].","#b#cff0000ff■ Kamera [[mit der Maus |]]drehen#nb#nc\nDu kannst durch [[Halten der rechten Maustaste und Bewegung der Maus|Streichen mittels Finger über den Bildschirm]] in jede Richtung schauen.[[\n\n#b#cff0000ff■ Kamera drehen mit der Tastatur#nb#nc\nDu kannst mit folgenden Tasten die Kamera drehen.\nHoch : ↑\nRunter : ↓\nLinks : ←\nRechts : →|]]\n\n#b#cff0000ff■ Rein-/Rauszoomen#nb#nc\n[[Du kannst das Mausrad oder die Bild hoch/runter Tasten verwenden, um zu zoomen|Berühre den Bildschirm mit 2 Fingern und bringe diese zusammen/auseinander um zu zoomen]]."
TUTORIAL_ROTATE_CAMERA_KEYBOARD_TEXT,"Let's go through how the camera works with the Keyboard. Here are the keys to press to rotate the camera:\n\nUp: Up Arrow #b↑#nb\nDown: Down Arrow #b↓#nb\nLeft: Left Arrow #b←#nb\nRight: Right Arrow #b→#nb\n\nPretty easy, huh?\n\n#cffff0000Clear Condition: Press an Arrow Key #b↑↓←→#nb","Schauen wir uns an, wie die Kamera mit der Tastatur funktioniert. Hier sind die Tasten, die zum Drehen der Kamera gedrückt werden müssen.\n\n Hoch: Up Arrow #b↑#nb\n Runter: Down Arrow #b↓#nb\n Links: Left Arrow #b←#nb\n Rechts: Right Arrow #b→#nb\n\nZiemlich einfach, oder?\n\n#cffff0000Clear Condition: Pfeiltaste drücken #b↑↓←→#nb"
TUTORIAL_ZOOM_CAMERA_TEXT,"How's that? Simple, right? Now, let's tackle zooming.\n\n[[Zooming in and out is possible with the Mouse wheel. It is also possible with the Page Up and Page Down Keys|Pinch to #bzoom out#nb and spread your fingers to #bzoom in#nb]].\n\n#cffff0000Clearing requirement: Adjust the camera zoom","How's that? Simple, right? Now, let's tackle zooming.\n\n[[Zooming in and out is possible with the Mouse wheel. It is also possible with the Page Up and Page Down Keys|Pinch to #bzoom out#nb and spread your fingers to #bzoom in#nb]].\n\n#cffff0000Clearing requirement: Adjust the camera zoom"
TUTORIAL_ROTATE_PHONE_TITLE,Viewing,Viewing
TUTORIAL_ROTATE_PHONE_CONTENT,[[|#b#cff0000ff■ Portrait and landscape #nb#nc\nRotate your phone to switch between portrait and landscape mode. ]],[[|#b#cff0000ff■ Portrait and landscape #nb#nc\nRotate your phone to switch between portrait and landscape mode. ]]
TUTORIAL_ROTATE_PHONE_TEXT,Awesome!\n\n[[|You can also #brotate#nb your phone to switch between portrait and landscape mode.]],Awesome!\n\n[[|You can also #brotate#nb your phone to switch between portrait and landscape mode.]]
TUTORIAL_OPEN_MENU_TEXT,"Great! [[It's time to learn how to change settings to enjoy the game the best as possible.\n\nSettings are available from the main game menu.\n\nClick on the #bbutton on bottom left#nb of the screen to open the main menu|Next, let's open the #bmain menu#nb.\n\nJust tap the button at the bottom left of the screen]].\n\n#cffff0000Clearing requirement: Open the main menu","Perfekt! [[Jetzt ist es Zeit zu lernen wie man Optionen einstellt, damit du das Spiel so gut wie möglich erleben kannst.\n\nDie Optionen findest du im #bHauptmenü#nb.\n\nKlicke auf|Es ist Zeit um zu lernen, wie man das #bHauptmenü#nb öffnet.\n\nBerühre]] den #bKnopf ganz unten links#nb um das Hauptmenü zu öffnen.\n\n#cffff0000Aufgabe: Öffne das Hauptmenü"
TUTORIAL_OPEN_OPTION_TEXT,"Now [[click on|tap]] #bOption#nb to access the settings.\n\nHere, you can adjust the #btexture quality, shadows, music volume, language, and more#nb.\n\nOnce finished, hit the #b'Save'#nb button to apply your changes.\n\n#cffff0000Clearing requirement: Open the options window","Now [[click on|tap]] #bOption#nb to access the settings.\n\nHere, you can adjust the #btexture quality, shadows, music volume, language, and more#nb.\n\nOnce finished, hit the #b'Save'#nb button to apply your changes.\n\n#cffff0000Clearing requirement: Open the options window"
TUTORIAL_OPEN_OPTION_TITLE,Settings,Einstellungen
TUTORIAL_OPEN_OPTION_CONTENT,"#b#cff0000ff■ Video / Audio tab#nb#nc\nYou can configure texture quality, shadows quality and many other graphical options. Use Save button or your changes will be reset when you close the window. Texture quality and Antialiasing are only applied when saving changes. Antialiasing[[|, Vibrations]] and Fullscreen options are not supported on all devices. All advanced options and high quality settings will consume more energy and Internet bandwidth so consider disabling them if you have a limited Internet connection or experiencing a slow framerate.\n\n#b#cff0000ff■ Game tab#nb#nc\nYou can select the interface language and enable or disable some options relative to your character. Don't forget to save your changes.","#b#cff0000ff■ Video / Audio#nb#nc\nDu kannst die Texturenqualität, Schattenqualität und viele andere grafischen Einstellungen anpassen. Nutze den Speichern Knopf oder deine Änderungen werden zurückgesetzt, wenn du das Fenster schließt. Texturenqualität und Antialiasing werden erst nach dem Speichern angewandt. Antialiasing[[|, Vibrationen]] und Vollbild werden nicht auf allen Geräten unterstützt. Alle erweiterten Einstellungen und Einstellungen auf hoher Qualität werden mehr Energie und Internet-Bandbreite benötigen, also überlege diese zu deaktivieren wenn du eine schlechte oder begrenzte Internetverbindung, oder Leistungsprobleme hast.\n\n#b#cff0000ff■ Spiel#nb#nc\nDu kannst die Sprache ändern und einige Einstellungen für deinen Charakter vornehmen. Vergiss nicht, deine Änderungen zu speichern!"
TUTORIAL_OPEN_MAP_TEXT,"Your adventure takes place in #bMadrigal#nb.\n\n[[Press M key|Tap the #bmini-map#nb]] to check your current location or to view maps of other areas.\n\nTo return to the game, [[press M again|tap the cross button at the top right of the map]].\n\n#cffff0000Clearing requirement: [[Hot Key 'M'|Open the map]]","Your adventure takes place in #bMadrigal#nb.\n\n[[Press M key|Tap the #bmini-map#nb]] to check your current location or to view maps of other areas.\n\nTo return to the game, [[press M again|tap the cross button at the top right of the map]].\n\n#cffff0000Clearing requirement: [[Hot Key 'M'|Open the map]]"
TUTORIAL_OPEN_MAP_TITLE,Map,Karte
TUTORIAL_OPEN_MAP_CONTENT,"#b#cff0000ff■ Whole map#nb#nc\n[[Press M key|Touch World Map in main menu]] to see the continent of Madrigal.\n\n#b#cff0000ff■ Mini-Map#nb#nc\n[[Press N key|Touch cross button]] to hide navigator on right corner. If you want to see it again, [[press N key again|touch Navigator in main menu]].","#b#cff0000ff■ Weltkarte#nb#nc\n[[Drücke M|Berühre Weltkarte im Hauptmenü]] um dir die ganze Welt von Madrigal anzuschauen.\n\n#b#cff0000ff■ Minimap#nb#nc\n[[Drücke N|Berühre das Kreuz]] um die Minimap zu verstecken. Um sie wieder anzuzeigen, [[drücke N|berühre Minimap im Hauptmenü]]."
TUTORIAL_OPEN_NAVIGATOR_TEXT,Let's go through the Navigator.\nYou can check your location and the surrounding area with the navigator that’s in the upper right part of the screen.\n[[Activate and deactivate the Navigator by pressing 'N'|Use Navigator in main menu to toggle the mini-map]].\n\n#cffff0000Clear Condition: [[Hot Key 'N'|Open the navigator]],Lass uns die Minimap anschauen.\nDu kannst mit der Minimap oben rechts deine Position und die Umgebung einsehen.\n[[Blende die Minimap durch Drücken von 'N' ein oder aus|Drücke Minimap im Hauptmenü um sie ein- oder auszublenden]].\n\n#cffff0000Aufgabe: Öffne die Minimap[[ mit der Taste 'N'|]]
TUTORIAL_TALK_LUI_TEXT,Navigating #bMadrigal#nb just got easier!\n\nGo talk to #b#cffa0a0ff[General] Lui#nc#nb in Central Flarine by following the #barrow above your head#nb.\n\nHe seems to have important information for you. Best of luck!,Navigating #bMadrigal#nb just got easier!\n\nGo talk to #b#cffa0a0ff[General] Lui#nc#nb in Central Flarine by following the #barrow above your head#nb.\n\nHe seems to have important information for you. Best of luck!
TUTORIAL_START_QUEST_TEXT,"Congratulations on your first quest! Time to explore the #bQuest Diary#nb.\n\nThis diary keeps track of completed quests and those you're currently on.\n\nTo view deatils, [[press 'Q'|tap the #b'Quests'#nb button at the top of the screen]].\n\n#cffff0000Clearing requirement: [[Hot Key 'Q'|Open the Quest Diary]]","Congratulations on your first quest! Time to explore the #bQuest Diary#nb.\n\nThis diary keeps track of completed quests and those you're currently on.\n\nTo view deatils, [[press 'Q'|tap the #b'Quests'#nb button at the top of the screen]].\n\n#cffff0000Clearing requirement: [[Hot Key 'Q'|Open the Quest Diary]]"
TUTORIAL_START_QUEST_TITLE,Quest Window,Questtagebuch
TUTORIAL_START_QUEST_CONTENT,#b#cff0000ff■ Quest Window#nb#nc\nThis is where you can see current quest information and the completed quests.[[\nShortcut key is L.|]],#b#cff0000ff■ Quest Fenster#nb#nc\nHier kannst du Informationen zu laufenden und abgeschlossenen Quests finden.[[\nDie Taste hierfür ist L.|]]
TUTORIAL_MOTION_TEXT,Looking to express yourself?\n\n[[Press 'O'|Tap the Emotes button on the left]] to unveil a range of #bemoticons and expressions#nb. Give it a go.\n\n#cffff0000Clearing requirement: [[Press 'O'|Open the Emotes window]],Looking to express yourself?\n\n[[Press 'O'|Tap the Emotes button on the left]] to unveil a range of #bemoticons and expressions#nb. Give it a go.\n\n#cffff0000Clearing requirement: [[Press 'O'|Open the Emotes window]]
TUTORIAL_MOTION_TITLE,Emotion Expression,Emoticons
