Key,English,Filipino
DUASYLUM_WLD_000000,Ankou's Asylum,Asilo ni Ankou
DUASYLUM_WLD_000001,Ankou's Cell,Selda ni Ankou
DUCAVERN_WLD_000000,Leren Chasm (Instance Dungeon),Bangin ng Leren (Instance Dungeon)
DUHERNEOS_WLD_000000,Herneos (Dungeon),Herneos (Dungeon)
DUDADK_WLD_000000,Dekane Mine (Dungeon),Minahan ng Dekane (Dungeon)
WORLD_DUFLMAS_DUFLMAS_RGN_000000,Mars Mine (Dungeon),Minahan ng Mars (Dungeon)
DUGUARDIANE_WLD_000000,Guardiane Sanctuary (Instance Dungeon),Santuwaryo ng Guardiane (Instance Dungeon)
DURUINS_WLD_000000,Rhisis Catacombs (Instance Dungeon),Katakumba ni Rhisis (Instance Dungeon)
DURUSTIA_WLD_000000,The Wilds,Ang Gubat
DUSATEMPLE_WLD_000000,Iblis Temple (Dungeon),Templo ni Iblis (Dungeon)
DUSTORM_WLD_000000,Storm Peak (Instance Dungeon),Tuktok ng Bagyo (Instance Dungeon)
DUUNDERWATER_WLD_000000,Envy Depths (Instance Dungeon),Kalaliman ng Inggit (Instance Dungeon)
DUUPRESIA_WLD_000000,Euphresia,Euphresia
DUVOLKANE_WLD_000000,Volkane,Volkane
DUVOLKANE_WLD_000001,Volkane (Dungeon),Volkane (Dungeon)
WDARENA_WLD_000000,Arena,Arena
WDARENA_WLD_000001,You can PvP in the Arena.,Pwede kang mag-PvP sa Arena.
WDARENA_WLD_000002,Training Center,Sentro ng Pagsasanay
WDARENA_WLD_000003,Test your capabilities against dummies!,Subukan ang galing mo laban sa mga dummy!
WDARENA_WLD_000004,,
WDARENA_WLD_000005,,
WDARENA_WLD_000006,The Bronze Vagrant,Ang Bronze Vagrant
WDARENA_WLD_000007,The Bronze Elementor,Ang Bronze Elementor
WDARENA_WLD_000008,The Bronze Knight,Ang Bronze Knight
WDARENA_WLD_000009,The Bronze Psykeeper,Ang Bronze Psykeeper
WDARENA_WLD_000010,The Bronze Billposter,Ang Bronze Billposter
WDARENA_WLD_000011,The Bronze Blade,Ang Bronze Blade
WDARENA_WLD_000012,The Bronze Jester,Ang Bronze Jester
WDARENA_WLD_000013,The Bronze Ranger,Ang Bronze Ranger
WDARENA_WLD_000014,The Bronze Ringmaster,Ang Bronze Ringmaster
WDCOLOSSEUM_WLD_000001,The Colosseum,Ang Colosseum
WDCOLOSSEUM_WLD_000002,Colosseum Stadium,Stadyo ng Colosseum
WDCOLOSSEUM_WLD_000003,The Cage of Clockworks,Ang Kulungan ng Clockworks
WDCOLOSSEUM_WLD_000004,Clockworks was sealed here after the Clockworks War.,Ang Clockworks ay nakulong dito pagkatapos ng Clockworks War.
WDEVENT_WLD_000000,Duel Zone,Sonang Duelo
WORLD_WDGUILDWAR_WDGUILDWAR_RGN_000000,Prove yourself!\nShow them that you are the best!,Patunayan ang iyong sarili!\nIpakita sa kanila na ikaw ang pinakamahusay!
WDGUILDWARBIG_WLD_000000,Prove yourself!\nShow them that you are the best!,Patunayan ang iyong sarili!\nIpakita sa kanila na ikaw ang pinakamahusay!
WORLD_WDGUILDWAR_CAVERN_RGN_000000,Prove yourself!\nShow them that you are the best!,Patunayan ang iyong sarili!\nIpakita sa kanila na ikaw ang pinakamahusay!
WORLD_WDGUILDWAR_CORAL_RGN_000000,Prove yourself!\nShow them that you are the best!,Patunayan ang iyong sarili!\nIpakita sa kanila na ikaw ang pinakamahusay!
WORLD_WDGUILDWAR_GUARDIANE_RGN_000000,Prove yourself!\nShow them that you are the best!,Patunayan ang iyong sarili!\nIpakita sa kanila na ikaw ang pinakamahusay!
WORLD_WDGUILDWAR_KAILLUN_RGN_000000,Prove yourself!\nShow them that you are the best!,Patunayan ang iyong sarili!\nIpakita sa kanila na ikaw ang pinakamahusay!
WORLD_WDGUILDWAR_SNOW_RGN_000000,Prove yourself!\nShow them that you are the best!,Patunayan ang iyong sarili!\nIpakita sa kanila na ikaw ang pinakamahusay!
WORLD_WDGUILDWAR_UNDERWATER_RGN_000000,Prove yourself!\nShow them that you are the best!,Patunayan ang iyong sarili!\nIpakita sa kanila na ikaw ang pinakamahusay!
WORLD_WDGUILDWAR_VOLCANO_RGN_000000,Prove yourself!\nShow them that you are the best!,Patunayan ang iyong sarili!\nIpakita sa kanila na ikaw ang pinakamahusay!
WDKEBARAS_WLD_000000,Lodelight,Lodelight
WDKEBARAS_WLD_000001,This is a safe place.,Ito ay ligtas na lugar.
WORLD_WDKEBARAS_WDKEBARAS_RGN_000000,Kebaras,Kebaras
WORLD_WDKEBARAS_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras!\nLong ago, this place served as a prison for criminals...",Maligayang pagdating sa bayan ng Kebaras!\nAng lugar na ito ay kulungan ng mga kriminal noong unang panahon...
WDKEBARAS2_WLD_000000,Lodelight,Lodelight
