Key,English,Spanish
PROPITEMETC_INC_000001,Leaf Set,Equipo Leaf
PROPITEMETC_INC_000002,Parmil Set,Equipo Parmil
PROPITEMETC_INC_000003,Flower Set,Equipo Flower
PROPITEMETC_INC_000004,Petal Set,Equipo Petal
PROPITEMETC_INC_000005,Stinger Set,Equipo Stinger
PROPITEMETC_INC_000006,Slepint Set,Equipo Slepint
PROPITEMETC_INC_000007,Curus Set,Equipo Curus
PROPITEMETC_INC_000008,Sardine Set,Equipo Sardine
PROPITEMETC_INC_000009,Niz Set,Equipo Niz
PROPITEMETC_INC_000010,Seer Set,Equipo Seer
PROPITEMETC_INC_000011,Cylos Set,Equipo Cylos
PROPITEMETC_INC_000012,Comet Set,Equipo Cometa
PROPITEMETC_INC_000013,Miracle Set,Equipo Miracle
PROPITEMETC_INC_000014,Layered Set,Equipo Layered
PROPITEMETC_INC_000015,Sayram Set,Equipo Sayram
PROPITEMETC_INC_000016,Talin Set,Equipo Talin
PROPITEMETC_INC_000017,Merr Set,Equipo Merr
PROPITEMETC_INC_000018,Sorain Set,Equipo Sorain
PROPITEMETC_INC_000019,Stitch Set,Equipo Stitch
PROPITEMETC_INC_000020,Panggril Set,Equipo Panggril
PROPITEMETC_INC_000021,Hyper Set,Equipo Hyper
PROPITEMETC_INC_000022,Cruiser Set,Equipo Cruiser
PROPITEMETC_INC_000023,Flury Set,Equipo Flury
PROPITEMETC_INC_000024,Wedge Set,Equipo Wedge
PROPITEMETC_INC_000025,Misty Set,Equipo Misty
PROPITEMETC_INC_000026,Teba Set,Equipo Teba
PROPITEMETC_INC_000027,Recorn Set,Equipo Recorn
PROPITEMETC_INC_000028,Rescorn Set,Equipo Rescorn
PROPITEMETC_INC_000029,Rebron Set,Equipo Rebron
PROPITEMETC_INC_000030,Restron Set,Equipo Restron
PROPITEMETC_INC_000031,Shurand Set,Equipo Shurand
PROPITEMETC_INC_000032,Shuran Set,Equipo Shuran
PROPITEMETC_INC_000033,Ahes Set,Equipo Ahes
PROPITEMETC_INC_000034,Anoos Set,Equipo Anoos
PROPITEMETC_INC_000035,Warpon Set,Equipo Warpon
PROPITEMETC_INC_000036,Warspon Set,Equipo Warspon
PROPITEMETC_INC_000037,Wees Set,Equipo Wees
PROPITEMETC_INC_000038,Weeshian Set,Equipo Weeshian
PROPITEMETC_INC_000039,Ectro Set,Equipo Extro
PROPITEMETC_INC_000040,Extro Set,Equipo Extro
PROPITEMETC_INC_000041,Einy Set,Equipo Einy
PROPITEMETC_INC_000042,Akan Set,Equipo Akan
PROPITEMETC_INC_000043,Dayst Set,Equipo Dayst
PROPITEMETC_INC_000044,Dest Set,Equipo Dest
PROPITEMETC_INC_000045,Hanes Set,Equipo Hanes
PROPITEMETC_INC_000046,Haganes Set,Equipo Haganes
PROPITEMETC_INC_000047,Katria Set,Equipo Katria
PROPITEMETC_INC_000048,Kanarin Set,Equipo Kanarin
PROPITEMETC_INC_000049,Restra Set,Equipo Restra
PROPITEMETC_INC_000050,Rasra Set,Equipo Rasra
PROPITEMETC_INC_000051,Neis Set,Equipo Neis
PROPITEMETC_INC_000052,Neition Set,Equipo Neition
PROPITEMETC_INC_000053,Oska Set,Equipo Oska
PROPITEMETC_INC_000054,Okas Set,Equipo Okas
PROPITEMETC_INC_000055,Asren Set,Equipo Asren
PROPITEMETC_INC_000056,Aren Set,Equipo Aren
PROPITEMETC_INC_000057,Tyrent Set,Equipo Tyrent
PROPITEMETC_INC_000058,Tight Set,Equipo Tight
PROPITEMETC_INC_000059,Pact Set,Equipo Pact
PROPITEMETC_INC_000060,Paxt Set,Equipo Paxt
PROPITEMETC_INC_000061,Shupon Set,Equipo Shupon
PROPITEMETC_INC_000062,Shrian Set,Equipo Shrian
PROPITEMETC_INC_000063,Navil Set,Equipo Navil
PROPITEMETC_INC_000064,Neclus Set,Equipo Neclus
PROPITEMETC_INC_000065,Alext Set,Equipo Alext
PROPITEMETC_INC_000066,Ales Set,Equipo Ales
PROPITEMETC_INC_000067,Akent Set,Equipo Akent
PROPITEMETC_INC_000068,Aken Set,Equipo Aken
PROPITEMETC_INC_000069,Rody Set,Equipo Rody
PROPITEMETC_INC_000070,Rodey Set,Equipo Rodey
PROPITEMETC_INC_000071,Ropang Set,Equipo Ropang
PROPITEMETC_INC_000072,Roshel Set,Equipo Roshel
PROPITEMETC_INC_000073,Geniun Set,Equipo Geniun
PROPITEMETC_INC_000074,Gynas Set,Equipo Gynas
PROPITEMETC_INC_000075,Mekatro Set,Equipo Mekatro
PROPITEMETC_INC_000076,Mekaron Set,Equipo Mekaron
PROPITEMETC_INC_000077,Myuran Set,Equipo Myuran
PROPITEMETC_INC_000078,Myurian Set,Equipo Myurian
PROPITEMETC_INC_000079,Elder Set,Equipo Elder
PROPITEMETC_INC_000080,Ellean Set,Equipo Ellean
PROPITEMETC_INC_000081,Shabel Set,Equipo Shabel
PROPITEMETC_INC_000082,Shurian Set,Equipo Shurian
PROPITEMETC_INC_000131,Knighert Set,Equipo Knighert
PROPITEMETC_INC_000132,Knighz Set,Equipo Knighz
PROPITEMETC_INC_000133,Blain Set,Equipo Blain
PROPITEMETC_INC_000134,Virain Set,Equipo Virain
PROPITEMETC_INC_000135,Jesis Set,Equipo Jesis
PROPITEMETC_INC_000136,Jenes Set,Equipo Jenes
PROPITEMETC_INC_000137,Ranerz Set,Equipo Ranerz
PROPITEMETC_INC_000138,Raze Set,Equipo Raze
PROPITEMETC_INC_000139,Rimyth Set,Equipo Rimyth
PROPITEMETC_INC_000140,Remingster Set,Equipo Remingster
PROPITEMETC_INC_000141,Billst Set,Equipo Billst
PROPITEMETC_INC_000142,Billporon Set,Equipo Billporon
PROPITEMETC_INC_000143,Psykon Set,Equipo Psykon
PROPITEMETC_INC_000144,Psyuniper Set,Equipo Psyuniper
PROPITEMETC_INC_000145,Ellis Set,Equipo Ellis
PROPITEMETC_INC_000146,Ellsis Set,Equipo Ellsis
PROPITEMETC_INC_000147,PvE Cruentus Set,Equipo Cruentus (M)
PROPITEMETC_INC_000148,PvE Cruenta Set,Equipo Cruento (F)
PROPITEMETC_INC_000149,PvE Noctis Set,Equipo Nox (M)
PROPITEMETC_INC_000150,PvE Nox Set,Equipo Nox (F)
PROPITEMETC_INC_000151,PvE Velox Set,Equipo Velox (M)
PROPITEMETC_INC_000152,PvE Valentis Set,Equipo Velox (F)
PROPITEMETC_INC_000153,PvE Acer Set,Equipo Acer (M)
PROPITEMETC_INC_000154,PvE Acris Set,Equipo Acer (F)
PROPITEMETC_INC_000155,PvE Revenio Set,Equipo Revenio (M)
PROPITEMETC_INC_000156,PvE Revenis Set,Equipo Revenio (F)
PROPITEMETC_INC_000157,PvE Grim Set,Equipo Grim (M)
PROPITEMETC_INC_000158,PvE Gravis Set,Equipo Grim (F)
PROPITEMETC_INC_000159,PvE Twilight Set,Equipo Crepúsculo (M)
PROPITEMETC_INC_000160,PvE Eclipse Set,Equipo Crepúsculo (F)
PROPITEMETC_INC_000161,PvE Nanemvis Set,Equipo Nanemvis (M)
PROPITEMETC_INC_000162,PvE Namavis Set,Equipo Nanemvis (F)
