Key,English,Japanese
PROPMAP_TXT_000000,,
PROPMAP_TXT_000001,World,ワールドマップ
PROPMAP_TXT_000002,Region,地域マップ
PROPMAP_TXT_000003,Town,街マップ
PROPMAP_TXT_000004,Madrigal,マドリガル
PROPMAP_TXT_000005,"Darkon 1, 2",ダーコン第1、2地区
PROPMAP_TXT_000006,Darkon 3,ダーコン第3地区
PROPMAP_TXT_000007,Garden of Rhisis,リシスの庭
PROPMAP_TXT_000008,Saint Morning,セイントモーニング
PROPMAP_TXT_000009,Flaris,フラリス
PROPMAP_TXT_000012,Flarine,フラリス
PROPMAP_TXT_000013,Saint City,セイントモーニング
PROPMAP_TXT_000014,Darken,ダーコン
PROPMAP_TXT_000242,Dungeon,ダンジョン
PROPMAP_TXT_000263,Mars Dungeon,フラリスダンジョン
PROPMAP_TXT_000265,Dekane Mine,デェカネスダンジョン
PROPMAP_TXT_000266,Iblis Temple,イブリス神殿
PROPMAP_TXT_000274,Forsaken Tower 1F,忘却の塔1階
PROPMAP_TXT_000275,Forsaken Tower 2F,忘却の塔2階
PROPMAP_TXT_000276,Forsaken Tower 3F,忘却の塔3階
PROPMAP_TXT_000277,Forsaken Tower 4F,忘却の塔4階
PROPMAP_TXT_000278,Forsaken Tower 5F,忘却の塔5階
PROPMAP_TXT_000279,Forsaken Tower 6F,忘却の塔6階
PROPMAP_TXT_000280,Forsaken Tower 7F,忘却の塔7階
PROPMAP_TXT_000281,Forsaken Tower 8F,Forsaken Tower 8F
PROPMAP_TXT_000282,Forsaken Tower 9F,Forsaken Tower 9F
PROPMAP_TXT_000283,Forsaken Tower 10F,Forsaken Tower 10F
PROPMAP_TXT_100000,Kebaras,ケバラス
PROPMAP_TXT_100001,North-Fl,フラリス 北広場
PROPMAP_TXT_100002,Cen Flarine,フラリス 中央広場
PROPMAP_TXT_100003,East-Fla,フラリス 東広場
PROPMAP_TXT_100004,Darkon,ダーコン
PROPMAP_TXT_100005,The North of Leren Mountains,レルエン山脈の北部
PROPMAP_TXT_100006,The River of Weeping,勇気の谷の中部
PROPMAP_TXT_100007,Saint Hall,セイントホール
PROPMAP_TXT_100008,Pumpkin Town,カボチャ男爵の居住地
PROPMAP_TXT_100009,Plateau of Silence,沈黙の高原
PROPMAP_TXT_100010,The North of Hillid Mountains,ヒルリド山脈の北部
PROPMAP_TXT_100011,The Middle of Hillid Mountains,ヒルリド山脈の中部
PROPMAP_TXT_100012,The South of Hillid Mountains,ヒルリド山脈の南部
PROPMAP_TXT_100013,Guardian's Room,守護者の部屋
PROPMAP_TXT_100014,Heret,ヘルエット
PROPMAP_TXT_100015,Cendil,センディル
PROPMAP_TXT_100016,Aniceknight,エンシェントナイト
PROPMAP_TXT_100017,Arians,アリアンス
PROPMAP_TXT_100018,Deadwallderness,デッドウィルダニス砂漠
PROPMAP_TXT_100019,Brekin,ブレッキン
PROPMAP_TXT_100020,Guardiane,ガルディア
PROPMAP_TXT_100021,Darkon 2 (Cave of Envy),ダーコン2 （エイエンブルケーブ）
PROPMAP_TXT_100022,Clockworks' Cage,クロックワークスの永久牢獄
PROPMAP_TXT_100023,Erons Factories,エランス生産公団
PROPMAP_TXT_100024,Gouthan Mountains,ゴウダン山脈
