Key,English,Portuguese
PROPMOVER_TXT_000002,Male,Masculino
PROPMOVER_TXT_000004,Female,Feminino
PROPMOVER_TXT_000006,Small Aibatt,Aibatt Pequeno
PROPMOVER_TXT_000008,Aibatt,Aibatt
PROPMOVER_TXT_000010,Captain Aibatt,Aibatt Capitão
PROPMOVER_TXT_000012,Giant Aibatt,Aibatt Gigante
PROPMOVER_TXT_000014,Small Mushpang,Mushpang Pequeno
PROPMOVER_TXT_000016,Mushpang,Mushpang
PROPMOVER_TXT_000018,Captain Mushpang,Mushpang Capitão
PROPMOVER_TXT_000020,Giant Mushpang,Mushpang Gigante
PROPMOVER_TXT_000022,Small Burudeng,Burudeng Pequeno
PROPMOVER_TXT_000024,Burudeng,Burudeng
PROPMOVER_TXT_000026,Captain Burudeng,Burudeng Capitão
PROPMOVER_TXT_000028,Giant Burudeng,Burudeng Gigante
PROPMOVER_TXT_000030,Small Pukepuke,Pukepuke Pequeno
PROPMOVER_TXT_000032,Pukepuke,Pukepuke
PROPMOVER_TXT_000034,Captain Pukepuke,Pukepuke Capitão
PROPMOVER_TXT_000036,Giant Pukepuke,Pukepuke Gigante
PROPMOVER_TXT_000038,Small Peakyturtle,Peakyturtle Pequeno
PROPMOVER_TXT_000040,Peakyturtle,Peakyturtle
PROPMOVER_TXT_000042,Captain Peakyturtle,Peakyturtle Capitão
PROPMOVER_TXT_000044,Giant Peakyturtle,Peakyturtle Gigante
PROPMOVER_TXT_000046,Urchin Demian,Demian Calmo
PROPMOVER_TXT_000048,Demian,Demian
PROPMOVER_TXT_000050,Bad Demian,Demian Mau
PROPMOVER_TXT_000052,Giant Demian,Demian Gigante
PROPMOVER_TXT_000054,Small Doridoma,Doridoma Pequena
PROPMOVER_TXT_000056,Doridoma,Doridoma
PROPMOVER_TXT_000058,Captain Doridoma,Doridoma Capitã
PROPMOVER_TXT_000060,Giant Doridoma,Doridoma Gigante
PROPMOVER_TXT_000062,Young Lawolf,Lawolf Jovem
PROPMOVER_TXT_000064,Lawolf,Lawolf
PROPMOVER_TXT_000066,Grownup Lawolf,Lawolf Adulto
PROPMOVER_TXT_000068,Giant Lawolf,Lawolf Gigante
PROPMOVER_TXT_000070,1st Class Fefern,Fefern 1ª Classe
PROPMOVER_TXT_000072,Fefern,Fefern
PROPMOVER_TXT_000074,2nd Class Fefern,Fefern 2ª Classe
PROPMOVER_TXT_000076,Giant Fefern,Fefern Gigante
PROPMOVER_TXT_000078,Cute Nyangnyang,Nyangnyang Bonitinha
PROPMOVER_TXT_000080,Nyangnyang,Nyangnyang
PROPMOVER_TXT_000082,Creep Nyangnyang,Nyangnyang Assustadora
PROPMOVER_TXT_000084,Giant Nyangnyang,Nyangnyang Gigante
PROPMOVER_TXT_000086,Bang,Bang
PROPMOVER_TXT_000088,Captain Bang,Bang Capitão
PROPMOVER_TXT_000090,Boss Bang,Bang Chefe
PROPMOVER_TXT_000092,Giant Bang,Bang Gigante
PROPMOVER_TXT_000094,Small Wagsaac,Wagsaac Pequeno
PROPMOVER_TXT_000096,Wagsaac,Wagsaac
PROPMOVER_TXT_000098,Captain Wagsaac,Wagsaac Capitão
PROPMOVER_TXT_000100,Giant Wagsaac,Wagsaac Gigante
PROPMOVER_TXT_000102,Small Mia,Pequena Mia
PROPMOVER_TXT_000104,Mia,Mia
PROPMOVER_TXT_000106,Captain Mia,Mia Capitã
PROPMOVER_TXT_000108,Giant Mia,Mia Gigante
PROPMOVER_TXT_000110,Stale Mr. Pumpkin,Sr. Abóbora Fedorento
PROPMOVER_TXT_000112,Mr. Pumpkin,Sr. Abóbora
PROPMOVER_TXT_000114,Rotten Mr Pumpkin,Sr. Abóbora Podre
PROPMOVER_TXT_000116,Giant Mr. Pumpkin,Sr. Abóbora Gigante
PROPMOVER_TXT_000118,Red Mantis C,Louva-deus Vermelho C
PROPMOVER_TXT_000120,Red Mantis B,Louva-deus Vermelho B
PROPMOVER_TXT_000122,Red Mantis A,Louva-deus Vermelho A
PROPMOVER_TXT_000124,Giant Red Mantis,Louva-deus Vermelho Gigante
PROPMOVER_TXT_000126,Small Jack the Hammer,"Pequeno Jack, o Martelo"
PROPMOVER_TXT_000128,Jack the Hammer,"Jack, o Martelo"
PROPMOVER_TXT_000130,Captain Jack the Hammer,"Capitão Jack, o Martelo"
PROPMOVER_TXT_000132,Giant Jack the Hammer,"Gigante Jack, o Martelo"
PROPMOVER_TXT_000134,Small Giggle Box,Baú Risonho Pequeno
PROPMOVER_TXT_000136,Giggle Box,Baú Risonho
PROPMOVER_TXT_000138,Captain Giggle Box,Baú Risonho Capitão
PROPMOVER_TXT_000140,Giant Giggle Box,Baú Risonho Gigante
PROPMOVER_TXT_000142,Small Rock Muscle,Rock Muscle Pequeno
PROPMOVER_TXT_000144,Rock Muscle,Rock Muscle
PROPMOVER_TXT_000146,Captain Rock Muscle,Rock Muscle Capitão
PROPMOVER_TXT_000148,Giant Rock Muscle,Rock Muscle Gigante
PROPMOVER_TXT_000150,Small Hobo,Hobo Pequeno
PROPMOVER_TXT_000152,Hobo,Hobo
PROPMOVER_TXT_000154,Captain Hobo,Hobo Capitão
PROPMOVER_TXT_000156,Giant Hobo,Hobo Gigante
PROPMOVER_TXT_000158,Small Dumb Bull,Touro Tolo Pequeno
PROPMOVER_TXT_000160,Dumb Bull,Touro Tolo
PROPMOVER_TXT_000162,Captain Dumb Bull,Touro Tolo Capitão
PROPMOVER_TXT_000164,Giant Dumb Bull,Touro Tolo Gigante
PROPMOVER_TXT_000166,Small Totemia,Totemia Pequena
PROPMOVER_TXT_000168,Totemia,Totemia
PROPMOVER_TXT_000170,Captain Totemia,Totemia Capitã
PROPMOVER_TXT_000172,Giant Totemia,Totemia Gigante
PROPMOVER_TXT_000174,Maid Cardpuppet,Cardpuppet Serviçal
PROPMOVER_TXT_000176,Cardpuppet,Cardpuppet
PROPMOVER_TXT_000178,Manager Cardpuppet,Cardpuppet Supervisora
