Key,English,Indonesian
PROPQUEST_INC_000000,,
PROPQUEST_INC_010000,Daily,Daily
PROPQUEST_INC_000291,Save the Garden! (Part 1),Save the Garden! (Bagian 1)
PROPQUEST_INC_000292,The Garden of Rhisis is dying! Could you help me?,Garden of Rhisis sedang sekarat! Bisakah kamu membantuku?
PROPQUEST_INC_000293,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.,Kamu membutuhkan 10 Bearer Hearts dari Tombstone Bearers untuk menyelamatkan Garden of Rhisis.
PROPQUEST_INC_000294,Thank you!,Terima kasih!
PROPQUEST_INC_000295,"If you change your mind later, please come back to me!","Jika nanti kamu berubah pikiran, tolong kembali padaku!"
PROPQUEST_INC_000296,Thank you! You should really talk to Janne.,Terima kasih! Kamu harus berbicara dengan Janne.
PROPQUEST_INC_000297,Come back when you have the Bearer Hearts.,Kembalilah ketika kamu sudah mempunyai Bearer Hearts.
PROPQUEST_INC_000298,Save the Garden! (Part 2),Save the Garden! (Bagian 2)
PROPQUEST_INC_000299,You have a message from my sister!,Kamu mempunyai pesan dari adikku!
PROPQUEST_INC_000300,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?,Aku mengerti. Garden of Rhisis sedang sekarat... Bisakah kamu memberi tahu adikku Kimberley?
PROPQUEST_INC_000302,The problem with the Garden of Rhisis can wait. I guess...,Masalah dengan Garden of Rhisis bisa menunggu. Kukira...
PROPQUEST_INC_000303,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.,Terima kasih telah membawakanku pesan ini. Aku pikir kamu harus berbicara dengan Marche di Eastern Flarine.
PROPQUEST_INC_000304,You still haven't found Kimberley? She is in Saint City.,Kamu masih belum menemukan Kimberley? Dia berada di Kota Saint.
PROPQUEST_INC_000308,Save the Garden! (Part 3),Save the Garden! (Bagian 3)
PROPQUEST_INC_000309,The Saint City sisters say that the Garden of Rhisis is dying.,Para suster Kota Saint mengatakan bahwa Garden of Rhisis sedang sekarat.
PROPQUEST_INC_000310,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.,Bisakah kamu membawakan Live Tea untuk Ann? Kamu dapat menemukannya di sebelah timur Leren Mountains.
PROPQUEST_INC_000311,Thank you! If you help her she will give you an Earring.,"Terima kasih! Jika kamu membantunya, dia akan memberimu sebuah Anting."
PROPQUEST_INC_000313,I will save the Garden of Rhisis with this tea! Here is an Earring to thank you.,Aku akan menyelamatkan Garden of Rhisis dengan teh ini! Ini Anting-anting untuk rasa terima kasih.
PROPQUEST_INC_000314,Bring a Live Tea to Ann at Saint City.,Bawa Live Tea ke Ann di Saint City.
PROPQUEST_INC_000422,Find Santa's Socks!,Temukan Santa's Socks!
PROPQUEST_INC_000423,It is a sad Christmas here in Madrigal. Santa Claus has lost all of the stockings that hold the children's presents! We must find the red stockings!,Ini adalah Natal yang menyedihkan di Madrigal. Santa Claus telah kehilangan semua stoking yang menyimpan hadiah untuk anak-anak! Kita harus menemukan stoking merah!
PROPQUEST_INC_000461,A Favor for the Pastor,A Favor for the Pastor
PROPQUEST_INC_000462,The pastor would like me to deliver 20 bouquets! I wonder what the reward will be!,Pendeta ingin aku mengantarkan 20 karangan bunga! Aku ingin tahu apa hadiahnya!
