Key,English,German
PROPMOVER_TXT_000002,Male,Männlich
PROPMOVER_TXT_000004,Female,Weiblich
PROPMOVER_TXT_000006,Small Aibatt,Small Aibatt
PROPMOVER_TXT_000008,Aibatt,Aibatt
PROPMOVER_TXT_000010,Captain Aibatt,Captain Aibatt
PROPMOVER_TXT_000012,Giant Aibatt,Giant Aibatt
PROPMOVER_TXT_000014,Small Mushpang,Small Mushpang
PROPMOVER_TXT_000016,Mushpang,Mushpang
PROPMOVER_TXT_000018,Captain Mushpang,Captain Mushpang
PROPMOVER_TXT_000020,Giant Mushpang,Giant Mushpang
PROPMOVER_TXT_000022,Small Burudeng,Small Burudeng
PROPMOVER_TXT_000024,Burudeng,Burudeng
PROPMOVER_TXT_000026,Captain Burudeng,Captain Burudeng
PROPMOVER_TXT_000028,Giant Burudeng,Giant Burudeng
PROPMOVER_TXT_000030,Small Pukepuke,Small Pukepuke
PROPMOVER_TXT_000032,Pukepuke,Pukepuke
PROPMOVER_TXT_000034,Captain Pukepuke,Captain Pukepuke
PROPMOVER_TXT_000036,Giant Pukepuke,Giant Pukepuke
PROPMOVER_TXT_000038,Small Peakyturtle,Small Peakyturtle
PROPMOVER_TXT_000040,Peakyturtle,Peakyturtle
PROPMOVER_TXT_000042,Captain Peakyturtle,Captain Peakyturtle
PROPMOVER_TXT_000044,Giant Peakyturtle,Giant Peakyturtle
PROPMOVER_TXT_000046,Urchin Demian,Urchin Demian
PROPMOVER_TXT_000048,Demian,Demian
PROPMOVER_TXT_000050,Bad Demian,Bad Demian
PROPMOVER_TXT_000052,Giant Demian,Giant Demian
PROPMOVER_TXT_000054,Small Doridoma,Small Doridoma
PROPMOVER_TXT_000056,Doridoma,Doridoma
PROPMOVER_TXT_000058,Captain Doridoma,Captain Doridoma
PROPMOVER_TXT_000060,Giant Doridoma,Giant Doridoma
PROPMOVER_TXT_000062,Young Lawolf,Young Lawolf
PROPMOVER_TXT_000064,Lawolf,Lawolf
PROPMOVER_TXT_000066,Grownup Lawolf,Grownup Lawolf
PROPMOVER_TXT_000068,Giant Lawolf,Giant Lawolf
PROPMOVER_TXT_000070,1st Class Fefern,1st Class Fefern
PROPMOVER_TXT_000072,Fefern,Fefern
PROPMOVER_TXT_000074,2nd Class Fefern,2nd Class Fefern
PROPMOVER_TXT_000076,Giant Fefern,Giant Fefern
PROPMOVER_TXT_000078,Cute Nyangnyang,Cute Nyangnyang
PROPMOVER_TXT_000080,Nyangnyang,Nyangnyang
PROPMOVER_TXT_000082,Creep Nyangnyang,Creep Nyangnyang
PROPMOVER_TXT_000084,Giant Nyangnyang,Giant Nyangnyang
PROPMOVER_TXT_000086,Bang,Bang
PROPMOVER_TXT_000088,Captain Bang,Captain Bang
PROPMOVER_TXT_000090,Boss Bang,Boss Bang
PROPMOVER_TXT_000092,Giant Bang,Giant Bang
PROPMOVER_TXT_000094,Small Wagsaac,Small Wagsaac
PROPMOVER_TXT_000096,Wagsaac,Wagsaac
PROPMOVER_TXT_000098,Captain Wagsaac,Captain Wagsaac
PROPMOVER_TXT_000100,Giant Wagsaac,Giant Wagsaac
PROPMOVER_TXT_000102,Small Mia,Little Mia
PROPMOVER_TXT_000104,Mia,Mia
PROPMOVER_TXT_000106,Captain Mia,Captain Mia
PROPMOVER_TXT_000108,Giant Mia,Giant Mia
PROPMOVER_TXT_000110,Stale Mr. Pumpkin,Stale Mr Pumpkin
PROPMOVER_TXT_000112,Mr. Pumpkin,Mr Pumpkin
PROPMOVER_TXT_000114,Rotten Mr Pumpkin,Rotten Mr Pumpkin
PROPMOVER_TXT_000116,Giant Mr. Pumpkin,Giant Mr Pumpkin
PROPMOVER_TXT_000118,Red Mantis C,Red Mantis C
PROPMOVER_TXT_000120,Red Mantis B,Red Mantis B
PROPMOVER_TXT_000122,Red Mantis A,Red Mantis A
PROPMOVER_TXT_000124,Giant Red Mantis,Giant Red Mantis
PROPMOVER_TXT_000126,Small Jack the Hammer,Small Jack The Hammer
PROPMOVER_TXT_000128,Jack the Hammer,Jack The Hammer
PROPMOVER_TXT_000130,Captain Jack the Hammer,Captain Jack The Hammer
PROPMOVER_TXT_000132,Giant Jack the Hammer,Giant Jack The Hammer
PROPMOVER_TXT_000134,Small Giggle Box,Small Giggle Box
PROPMOVER_TXT_000136,Giggle Box,Giggle Box
PROPMOVER_TXT_000138,Captain Giggle Box,Captain Giggle Box
PROPMOVER_TXT_000140,Giant Giggle Box,Giant Giggle Box
PROPMOVER_TXT_000142,Small Rock Muscle,Small Rock Muscle
PROPMOVER_TXT_000144,Rock Muscle,Rock Muscle
PROPMOVER_TXT_000146,Captain Rock Muscle,Captain Rock Muscle
PROPMOVER_TXT_000148,Giant Rock Muscle,Giant Rock Muscle
PROPMOVER_TXT_000150,Small Hobo,Small Hobo
PROPMOVER_TXT_000152,Hobo,Hobo
PROPMOVER_TXT_000154,Captain Hobo,Captain Hobo
PROPMOVER_TXT_000156,Giant Hobo,Giant Hobo
PROPMOVER_TXT_000158,Small Dumb Bull,Small DumbBull
PROPMOVER_TXT_000160,Dumb Bull,DumbBull
PROPMOVER_TXT_000162,Captain Dumb Bull,Captain DumbBull
