Key,English,Simplified_Chinese
PROPQUEST_INC_000000,,
PROPQUEST_INC_010000,Daily,日常
PROPQUEST_INC_000291,Save the Garden! (Part 1),拯救遗址大作战 一
PROPQUEST_INC_000292,The Garden of Rhisis is dying! Could you help me?,莱斯庭院快要荒废掉了，为了拯救莱斯庭院，需要找到生命之茶，但之前必须要收集10个碑石工匠的匠人之心。
PROPQUEST_INC_000293,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.,你需要从碑石工匠那里获得 10 个匠人之心来拯救莱斯庭院。
PROPQUEST_INC_000294,Thank you!,谢谢你！
PROPQUEST_INC_000295,"If you change your mind later, please come back to me!",好不容易才帮她弄到了匠人之心，还以为事情就结束了，没想到她还让我去找珍妮，看来想拯救遗址也不是件容易的事。
PROPQUEST_INC_000296,Thank you! You should really talk to Janne.,谢谢你！你真的应该和珍妮聊聊！
PROPQUEST_INC_000297,Come back when you have the Bearer Hearts.,当你得到匠人之心后，再回来找我。
PROPQUEST_INC_000298,Save the Garden! (Part 2),拯救遗址大作战 二
PROPQUEST_INC_000299,You have a message from my sister!,听说有一个神秘的装饰品叫做骨质御碗，它的来历也非常奇特，据说是怪物和人类爱情的结晶。听说现在由金贝利来保管。
PROPQUEST_INC_000300,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?,我知道了。瑞希思的花园快要枯萎了，能请你去告诉我的姐姐金伯利吗
PROPQUEST_INC_000302,The problem with the Garden of Rhisis can wait. I guess...,我认为，莱斯庭院的问题可以往后稍稍
PROPQUEST_INC_000303,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.,谢谢你告诉了我这个消息。我认为你应该去帕里镇东边的玛尔琪聊聊。
PROPQUEST_INC_000304,You still haven't found Kimberley? She is in Saint City.,你还没有找到金伯利吗？她在晨光镇
PROPQUEST_INC_000308,Save the Garden! (Part 3),拯救遗址大作战 三
PROPQUEST_INC_000309,The Saint City sisters say that the Garden of Rhisis is dying.,将匠人之心和骨质御碗送给了玛尔琪，她就把散发着奇妙香味的生命之茶拿给了我，并让我回送给安妮。真是很香啊～不知道这东西可不可以吃呢？
PROPQUEST_INC_000310,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.,你能给安带来一杯生命之茶吗？你可以在乐雅山脉的东边找到安。
PROPQUEST_INC_000311,Thank you! If you help her she will give you an Earring.,谢谢！如果你帮助了她，她会送给你一副耳环
PROPQUEST_INC_000313,I will save the Garden of Rhisis with this tea! Here is an Earring to thank you.,我会用这杯茶来拯救莱斯花园！送给你一副耳环，来表达我对你的感谢。
PROPQUEST_INC_000314,Bring a Live Tea to Ann at Saint City.,将生命之茶带给晨光的安。
PROPQUEST_INC_000422,Find Santa's Socks!,寻找圣诞袜
PROPQUEST_INC_000423,It is a sad Christmas here in Madrigal. Santa Claus has lost all of the stockings that hold the children's presents! We must find the red stockings!,可怜的圣诞老公公，找不到遗失的圣诞袜…我来努力帮他找找吧！我想那些袜子应该是被怪物拿走了…
PROPQUEST_INC_000461,A Favor for the Pastor,给牧师的爱心
PROPQUEST_INC_000462,The pastor would like me to deliver 20 bouquets! I wonder what the reward will be!,华伦泰神父说，收集20束玫瑰花束给他，就会给我一个惊喜的礼盒！不知道开出来的东西是什么呢？
PROPQUEST_INC_000465,Give Back the Love.,归还爱情
PROPQUEST_INC_000466,I have to gather 10 pieces of hearts. It's time to hunt some masquerpets.,要搜集10个爱心碎片，去打猎吧。
PROPQUEST_INC_000469,Vagrant Master (Acrobat),初心者大师(弓箭手)
PROPQUEST_INC_000470,"So you want to be an Acrobat, huh? You won't regret it! I have a simple test for you before starting the training. Are you ready? …hic!",所以你想成为一名弓箭手喔？我发誓你绝对不会后悔的！在开始训练之前我有一个小测验给你，你准备好了吗？…嗝
PROPQUEST_INC_000472,Good luck! You'll need it!,祝你一路顺风。
PROPQUEST_INC_000473,"What are you afraid of? The path to become an Acrobat may be difficult for some, but it's so worth it! Come back if you change your mind, friend.",你在害怕什么？在成为一名弓箭手的道路上的确有一些东西很困难，但是它值得呀！朋友如果你回心转意了请回来找我。
PROPQUEST_INC_000474,Well done. You've passed the first test!,很好！你已经通过了测试。
PROPQUEST_INC_000475,"I'm still waiting for you to hunt $QUEST_END_KILL_COUNT$ Small Aibatts. If you want to become an Acrobat, you must complete this simple task.",一定要猎杀$QUEST_END_KILL_COUNT$只独眼蝠才可以，不然你无法成为弓箭手！
PROPQUEST_INC_000476,You have already chosen to pursue another path. I cannot help you any further. You can still cancel the other job quest in the Quest Window and come back to me.,您已经选择了走另一条道路。我不能再帮助你了。你仍然可以在任务窗口取消其他职业任务然后在回到我这里。
PROPQUEST_INC_000477,"For starters, let's go with something easy. I would like you to hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$s.","For starters, let's go with something easy. I would like you to hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$s."
PROPQUEST_INC_000479,Acrobat Weaponry,弓箭手的武器
PROPQUEST_INC_000480,Now it's time for the next step on your path to becoming an Acrobat.,你已经通过第一个测试了，辛苦你了！好，现在开始要进行第2个测试了！
PROPQUEST_INC_000481,"I want you to return to collect 10 Twinkle Stones from Aibatts in the area, 5 Peakyrinds from Peakyturtles and 1 Slain from Lawolf.","I want you to return to collect 10 Twinkle Stones from Aibatts in the area, 5 Peakyrinds from Peakyturtles and 1 Slain from Lawolf."
PROPQUEST_INC_000482,"Once you've gathered the Twinkle Stones, bring them to Pyre in the north of Flarine.",收集完足够的发光石就把它们带给飞蕊吧，他就在帕里北广场。
PROPQUEST_INC_000483,Good luck! You're going to need it!,祝你一路顺风喔～
