Key,English,Thai
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,ล่ามอนสเตอร์เพื่อฟื้นค่า Karma
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,ค่า Karma ของคุณสามารถนำมาแลกได้ พร้อมที่ชดใช้บาปของคุณรึยัง?
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,ล่า $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,คุณยังไม้ได้ชดใช้บาปของคุณ...
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,ภารกิจเสร็จสิ้น บาปของคุณได้รับการอภัยแล้ว
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.",ถ้าคุณไม่เต็มใจจะสู้ เพื่อให้ได้รับการให้อภัย เช่นนั้นก็ไม่มีความหวังสำหรับคุณ
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,การล่า $QUEST_END_KILL_NAME$ จะกู้คืนคะแนน Karma ของคุณ
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,รับกุญแจเพื่อหนีจากเกาะ Kebaras
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,คุณสามารถวาร์ปออกไปจากที่นี่ได้ที่ Warp Zone แต่คุณต้องมีกุญแจ คุณพร้อมที่จะรับมันหรือไม่?
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,ฉันจะให้กุญแจคุณ ถ้าคุณนำ Beads of Sin มา $QUEST_END_ITEM_COUNT$ คุณจะหา Beads of Sin ได้ในพื้นที่ว่างข้างแคมป์
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,ิเมื่อไหร่คุณจะพร้อมไปจากที่นี่สักที
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,นี่กุญแจ ทีนี้ก็ไปซะ แล้วไม่ต้องกลับมาอีกนะ
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,ฉันจะให้อิสระคุณในราคาแค่ $QUEST_END_ITEM_COUNT$ เม็ด คุณบอกปัดข้อเสนอแบบนั้นได้งั้นเหรอ?
PROPQUEST_DUNGEONANDPK_INC_000382,Keep gathering your beads.,ไปเก็บลูกปัดของคุณต่อไป
PROPQUEST_DUNGEONANDPK_INC_000390,You are welcome to stay for as long as you would like.,คุณจะอยู่นานเท่าไหร่ก็ได้
PROPQUEST_DUNGEONANDPK_INC_000420,Entering the Dekane Mine,เข้าสู่ Dekane Mine
PROPQUEST_DUNGEONANDPK_INC_000421,You are really willing to enter the Dekane Mine?,คุณยินดีจะเข้า Dekane Mine งั้นเรอะ?
PROPQUEST_DUNGEONANDPK_INC_000422,"Then visit the Dwarpet, Rankashu, in front of the Dekane Mine.",จากนั้นไปเยี่ยม Dwarpet Rankashu หน้า Dekane Mine
PROPQUEST_DUNGEONANDPK_INC_000423,Ha ha ha. Of course not. It is far too frightening.,ฮ่าๆ แน่นอน มันน่ากลัวสุดๆ
PROPQUEST_DUNGEONANDPK_INC_000424,Here is the Mine Entrance Card. It is up to you to enter but I advise against it. You may die.,นี่ Mine Entrance Card มันขึ้นอยู่กับว่าคุณจะเข้ามาไปไหม แต่แนะนำว่าอย่าเลย คุณอาจตายได้นะ
PROPQUEST_DUNGEONANDPK_INC_000425,Is it so hard to tell me what I want to know? Leave quickly.,มันยากนะที่ฉันจะบอกว่าฉันอยากรู้อะไรบ้าง รีบไปดีกว่า
PROPQUEST_DUNGEONANDPK_INC_000426,Visit the Dwarpet Rankashu and get the information Cell wanted.,ไปที่ Dwarpet Rankashu และรับ Cell information ที่ต้องการ
PROPQUEST_DUNGEONANDPK_INC_000429,You have the Mine Entrance Card. Now to find out what everyone is so afraid of.,คุณมี Mine Entrance Card ตอนนี้ก็ตามหาสิ่งที่ทุกคนกลัว
PROPQUEST_DUNGEONANDPK_INC_000431,Keakoon in Mine (1),Keakoon in Mine (1)
PROPQUEST_DUNGEONANDPK_INC_000432,"I am Drian son of Nevil, great chief of the original Keakoon. We were once friendly with the humans.",ฉันคือ Drian บุตรของ Nevil หัวหน้าผู้ยิ่งใหญ่ของ Keakoon ดั้งเดิม ครั้งหนึ่งเราเคยเป็นมิตรกับมนุษย์
PROPQUEST_DUNGEONANDPK_INC_000433,We helped humans develop the mine long ago but when they left some of us were locked up by a new breed of Keakoons.,เมื่อนานมาแล้วเราช่วยพวกมนุษย์พัฒนาเหมือง แต่พอพวกเขาจากไป พวกเราบางคนก็ถูกกักขังโดย Keakoons สายพันธุ์ใหม่
PROPQUEST_DUNGEONANDPK_INC_000434,My father is old and cannot last much longer in his prison. Please help me rescue him.,พ่อฉันแก่แล้ว ท่านอยู่ในคุกต่อไปไม่ไหวแล้ว ช่วยฉันช่วยพ่อด้วยเถอะ
PROPQUEST_DUNGEONANDPK_INC_000435,"The key to the cell where my father is being kept has three pieces. These false Keakoons are inside, keeping them hidden. Go and bring them to me.",กุญแจไปห้องขังพ่อฉันที่ถูกเก็บไว้มี 3 ชิ้น Keakoon พวกนี้เอาไปซ่อนไว้ข้างใน หาให้เจอ แล้วเอามาให้ฉัน
