Key,English,Russian
MMI_0,Dialog,Диалог
MMI_1,Quest,Квесты
MMI_2,Trade,Обмен
MMI_3,Attack,Атака
MMI_4,Message,Сообщение
MMI_5,Add to my list,Добавить в коммуникатор
MMI_6,Invite to join party,Пригласить в труппу
MMI_7,Invite to join guild,Пригласить в гильдию
MMI_8,Place of Resurrection,Место воскрешения
MMI_9,Bank,Банк
MMI_10,Duel,Поединки
MMI_11,Request party duel,Вызвать на командный поединок
MMI_12,Follow,Следовать
MMI_13,Beauty Shop,Салон красоты
MMI_14,Repair,Чинить
MMI_15,Guild Bank,Сейф гильдии
MMI_16,Guild Rankings,Рейтинг гильдий
MMI_17,Guild Duel Rankings,Рейтинг войны гильдий
MMI_18,Guild Statistics Rankings,Общий рейтинг войны гильдий
MMI_21,Register Bounty,Назначить награду
MMI_22,Bounty List,Посмотреть объявленные награды
MMI_24,View equipment,Посмотреть снаряжение
MMI_25,Mailbox,Почтовый ящик
MMI_26,Apply,Применить
MMI_27,Status,Статус
MMI_28,Cancel,Отмена
MMI_29,Enter,Приём
MMI_30,Ranking,Место
MMI_31,Cheer,Ободрение
MMI_32,Remove piercing card,Убрать карту инкрустации
MMI_33,Lineup Setup,Формирование команды
MMI_34,Claim Guild Penya,Claim Guild Penya
MMI_35,Reward Information,Информация о призовых деньгах
MMI_36,Claim MVP Penya Reward,Приз для чемпиона
MMI_37,Participation Information,Правила подачи заявок
MMI_38,Basic Rules,Правила поединков
MMI_39,Winning Conditions,Условия победы
MMI_40,Application Fee Information,Информация о комиссии
MMI_41,The refund of application fee,Возврат регистрационного взноса
MMI_42,Cosmetic Upgrades,Изменение внешности
MMI_44,Rock-Paper-Scissors,Камень-ножницы-бумага
MMI_49,Pet State,Состояние питомца
MMI_50,Un-summon pet,Спрятать питомца
MMI_51,Create Shining Power Dice,Create Shining Power Dice
MMI_53,Create Jewels,Create Jewels
MMI_54,Create Unique Weapon,Создание Уникального оружия
MMI_59,Remove Element,Remove Element
MMI_71,Remove Level Reduction,Возвращение уровня предмета
MMI_74,Get Buffed!,"Усиль меня, Пингвид!"
MMI_75,Exchange Rare Item Pieces,Обмен осколков редких вещей
MMI_76,Exchange Card Pieces,Обмен клочков карт
MMI_79,Remove Premium Item Blessing,"Рассеивание ""Касания Богини"""
MMI_80,Enter Arena,Войти на арену
MMI_81,Leave Arena,Покинуть арену
MMI_82,Arena Ranking,Рейтинг Арены
MMI_83,Arena Reward,Награда Арены
MMI_91,Lord Ranking,Lord Ranking
MMI_134,Upgrading,Upgrading
MMI_136,Piercing,Piercing
MMI_167,Element Upgrading,Element Upgrading
MMI_142,Store Pet,Магазин Питомцев
MMI_272,Exchange RPS Coupon,"Не расслабляемся, а то вон сколько мусора накопилось за год!"
MMI_309,Card Upgrade,Улучшение арканов
MMI_310,Weapon Socket Card Reshuffle,Weapon Socket Card Reshuffle
MMI_311,Couple proposal,Couple proposal
MMI_1000,Drop Filter,Фильтр подбора
MMI_1001,Report,Пожаловаться
MMI_1002,Inspect,Изучить
MMI_1003,Unbinding,Отвязывание
MMI_1004,Exchange,Обмен
MMI_1005,Combat Power Ranking,Combat Power Ranking
MMI_1006,Giant Hunt Ranking ,Giant Hunt Ranking 
MMI_1007,Accessory Upgrade,Усиление бижутерии
MMI_1008,Mute,Mute
MMI_1009,Unmute,Unmute
MMI_1010,Freeze,Freeze
MMI_1011,Unfreeze,Unfreeze
MMI_1012,Shadow Mute,Shadow Mute
MMI_1013,Pet Candy Crafting,Pet Candy Crafting
MMI_1014,Exchange Dice,Exchange Dice
MMI_1015,Pet Sacrificing,Pet Sacrificing
MMI_1016,Red Chip Shop,Red Chip Shop
MMI_1017,Cosmetic Wardrobe,Cosmetic Wardrobe
MMI_1018,Lv80 GS Apply,Lv80 GS Apply
MMI_1019,Lv80 GS Status,Lv80 GS Status
MMI_1020,Lv80 GS Cancel,Lv80 GS Cancel
MMI_1021,Lv80 GS Enter,Lv80 GS Enter
MMI_1022,Lv80 GS Lineup Setup,Lv80 GS Lineup Setup
MMI_1023,Lv80 GS Ranking,Lv80 GS Ranking
MMI_1024,Lv80 GS Information,Lv80 GS Information
MMI_1025,Lv60 GS Apply,Lv60 GS Apply
MMI_1026,Lv60 GS Status,Lv60 GS Status
