Key,English,Traditional_Chinese
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,$QUEST_END_ITEM_NAME$s 的請求已發出。你會接受這個任務嗎？
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,醫料神官為了製造繃帶，委託了蒐集咕噥繃帶。
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,杜爾沛為了製造手電筒，委託了蒐集製作手電筒材料的『電光球』。
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,醫料神官為了製造麻醉藥，委託了蒐集麻醉藥的材料『毒花觸手』，您要接受委託嗎？
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,$QUEST_END_ITEM_NAME$ 的請求已發出。
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,木工所的材料極度缺發，木工所的員工委託了蒐集『樹精的根』，您要接受委託嗎？
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,你可以從任何類型的 $QUEST_END_ITEM_MON$ 中獲得 $QUEST_END_ITEM_NAME$。
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,你可以從所有類型的 $QUEST_END_ITEM_MON$ 中收集 $QUEST_END_ITEM_NAME$。
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,你可以在北部的一座橋附近收集 $QUEST_END_ITEM_NAME$。
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,詭異的證件可以在崩崩附近尋獲喔。
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,娘娘果可以在喵娘女王出沒的地方搜尋喔！娘娘果是喵娘女王愛吃的食物呢～
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,『城鎮服務處的文件』可以在米兒地區尋獲喔！
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,你不想收集它們嗎？好的。
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,您需要更多 $QUEST_END_ITEM_NAME$。
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,你沒有足夠的 $QUEST_END_ITEM_NAME$。
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,做得好！你已成功完成任務。
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,做得好！你成功完成了任務。拿這個來解決你的麻煩。
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$ 很高興任務完成。
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$ 很高興看到任務完成。
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,$QUEST_END_NPC_NAME$ 非常感謝你完成了這個任務。
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,艾絲的肉派對
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,艾絲委託我收集烤肉派對時要用的生果實，請問您要接受這個委託嗎？
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,艾絲為了舉辦烤肉派對，所以請委託中心幫忙收集生果實！
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),未知情況 (1)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,布拉里胖胖委託本中心收集『詭異的信件』，您要接受嗎？
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,布拉里胖胖請委託中心幫忙收集 $QUEST_END_ITEM_NAME$。
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,布拉里胖胖委託本中心去收集『詭異的證件』，您要接受委託嗎？
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,滑板～飛吧～
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,寶雅為了大量的製造飛行滑板，所以委託本中心去收集『尖刺犰狳硬皮』，您要接受委託嗎？
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,寶雅為了大量製造滑板而拜託委託中心收集滑板的材料『尖刺犰狳硬皮』
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,熊娃娃新生活
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,瑪德利賈唯一的孤兒院『遺失的天使』想要準備一些禮物送給院童，因此委託本中心去收集丹丹的娃娃。您要接受嗎？
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,孤兒院『遺失的天使』請委託中心收集 3 個熊娃娃
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,法杖的寶石
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,瑪德利賈世界的魔法使協會為了製造新法杖，所以請委託中心去收集紫寶石。您要接受嗎？
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,瑪德利賈的魔法使協會為了製造新法杖，特別請委託中心收集 4 個紫寶石
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget",餅乾製造器
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,巴陵為了製造麵包，需要一些餅乾製造機的燃料，所以委託本中心去收集『賤狼指甲』。您要接受嗎？
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,巴陵需要餅乾製造器的燃料，所以請委託中心收集賤狼指甲
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,神秘的魔法筆
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,謬為了寫一本小說，所以需要一支魔法筆，他委託本中心去收集『蜥蜴草根』，您要接受嗎？
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,謬為了寫小說，需要用蜥蜴草根來製作魔法筆。
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,娘娘果濃湯
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,魯尼想要為哥哥煮一鍋娘娘果濃湯，所以請本中心去收集娘娘果。您要接受委託嗎？
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,魯尼需要用娘娘果煮一鍋娘娘濃湯給哥哥喝。
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,開店 10 週年慶的贈品
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,魔力夢夢為了慶祝開店 10 週年慶，想要準備一些紀念品！因此委託本中心去收集星石，您要接受任務嗎？
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,魔力夢夢需要一些星石。
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,多肯的釀酒日記
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,多肯想要釀新酒，所以請委託本中心去收集新酒的材料『黃金翅膀』，您要接受嗎？
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,多肯要用黃金翅膀釀新品酒。
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,甜美的點心－藍蜜派
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,頑童丹丹想要製作美味點心，所以請委託本中心去收集點心材料『藍色蜂蜜』。您要接受嗎？
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,頑童丹丹需要藍色蜂蜜製作美味的點心。
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,得到祝福的娃娃
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,孤兒院『遺失的天使』需要一些可以送給院童的禮物，因此委託本中心去收集米兒的娃娃。您要接受嗎？
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,孤兒院『遺失的天使』請委託中心收集米兒的娃娃。
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,遺失的文件
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,喬艾倫委託本中心去收集被米兒偷走的文件，您要接受嗎？
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,喬艾倫請委託中心去米兒姊姊的棲息地尋找被偷的文件
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,燃燒吧～火柴！
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,巴曼為了繼續使用鎔爐，所以委託本中心去收集『強化火柴』。您要接受嗎？
PROPQUEST_REQUESTBOX_INC_000161,Bozman wants furious matches,巴曼為了持續使用鎔爐，所以請委託中心收集『強化火柴』。
PROPQUEST_REQUESTBOX_INC_000166,Unknown Situation (2),詭異的現象 (2)
PROPQUEST_REQUESTBOX_INC_000167,Flaris Pang needs you to collect unknown letters.,布拉里胖胖委託本中心去收集『詭異的信件』，您要接受嗎？
PROPQUEST_REQUESTBOX_INC_000172,Flaris Pang needs unknown letters again.,布拉里胖胖請委託中心收集『詭異的信件』。
PROPQUEST_REQUESTBOX_INC_000177,Delicious Sauce,美味的螳螂調味料
PROPQUEST_REQUESTBOX_INC_000178,Kalin needs you to collect Cardrin to make delicious sauce.,卡琳為了製作最美味的螳螂調味料，特別請委託中心收集磨刃石。請問您要接受委託嗎？
PROPQUEST_REQUESTBOX_INC_000183,Kalin wants Cardrin.,卡琳為了製作最美味的螳螂調味料，所以請委託中心收集磨刃石。
PROPQUEST_REQUESTBOX_INC_000188,Magic Orb,魔法珠珠
PROPQUEST_REQUESTBOX_INC_000189,Martin needs Hammarble to make a Magic Orb. Will you help?,馬丁為了製作魔法千里眼珠珠，所以請我們委託中心去收集傑克石。您要接受本次委託事項嗎？
PROPQUEST_REQUESTBOX_INC_000194,Martin wants Hammarbles.,馬丁為了製作魔法千里眼珠珠，所以請委託中心去收集傑克石。
PROPQUEST_REQUESTBOX_INC_000199,Mark of Bill,比爾的成功時代 ─比爾的紋章─
PROPQUEST_REQUESTBOX_INC_000200,Bill needs you to collect Gigglande so that he can make his mark. Will you help?,比爾為了製作自己品牌的紋章，特別請我們委託中心去收集寶箱石。您要接受這項委託事項嗎？
PROPQUEST_REQUESTBOX_INC_000205,Bill wants Gigglande.,比爾想要用寶箱石製作自己的紋章，所以請委託中心收集。
PROPQUEST_REQUESTBOX_INC_000210,Repair Work on Saint Hall,聖音特教堂修護工程
PROPQUEST_REQUESTBOX_INC_000211,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?,海蓮娜為了聖音特教堂的維護工程，特別請我們委託中心去收集弦月寶石。
PROPQUEST_REQUESTBOX_INC_000216,Helena wants $QUEST_END_ITEM_NAME$.,海蓮娜希望委託中心能夠幫她收集 $QUEST_END_ITEM_NAME$。
PROPQUEST_REQUESTBOX_INC_000221,Helping injured animals,關懷殘障犬活動
PROPQUEST_REQUESTBOX_INC_000222,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?,瑪德利賈的殘障犬保護團體想要舉行愛心救助活動，因此請我們委託中心去幫忙收集獨刀眼罩。您要接受這委託嗎？
