Key,English,Japanese
TEXTCLIENT_CONNECTING,Connecting. Please wait.,接続中です。しばらくお待ちください。
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,接続できません。何度か試しても接続できない場合は、ネットワークの状態をご確認ください。
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,ゲームがアップデートされました。一度ページを閉じてから、再度開いてください。
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,サーバーの識別子が間違っています。
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.",不明なエラーです。もう一度お試しください。
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,このアカウントは既に接続されています。
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,接続中のキャラクターを解除しますか？
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,接続中のキャラクターを解除しました。再ログインまで10秒お待ちください。
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.",このチャンネルは現在満員です。しばらく待つか、別のチャンネルを選択してください。
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,すでに使われているキャラクター名です。
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,ボス級モンスターが出現！
TEXTCLIENT_APP_MAP,World Map,ワールドマップ
TEXTCLIENT_APP_OPTION,Options,オプション
TEXTCLIENT_APP_LOGOUT,Log Out,接続終了
TEXTCLIENT_APP_QUIT,Quit,ゲーム終了
TEXTCLIENT_APP_SUPPORT,Support,サポート
TEXTCLIENT_APP_PRIVACY,Privacy,プライバシー
TEXTCLIENT_APP_NAVIGATOR,Navigator,ナビゲーター
TEXTCLIENT_APP_DEBUG,Debug,デバッグ
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,%d秒後、終了します。
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,キャラクター切り替え中 %d秒
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,アカウントへリンク中...残り %d 秒
TEXTCLIENT_LOGOUT,Do you want to disconnect?,接続を終了しますか?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000ゲストキャラクターが消えてしまいます。#ncアカウントのリンクをお勧めします。
TEXTCLIENT_EXIT,Do you want to exit the program?,プログラムを終了しますか?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,サーバから接続が解除されました。Flyff Universeを再起動してください。
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,このサーバーではキャラクターの作成が無効になっています。
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,該当エリアは闇に覆われていてMAPを確認することができません。
TEXTCLIENT_ITEM_DESC,Description:,説明：
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,この名前には使用できない文字が含まれています。
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,この名前には使用できない単語が含まれています。
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,このIPアドレスはBANされています。詳細については、管理者にお問い合わせください。
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,このゲームは現在、お住まいの国ではご利用になれません。
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,お使いのグローバルIPアドレスで重要なアクティビティが検出されました。%s 待ってから再試行してください。　
TEXTCLIENT_SECS,second(s),秒
TEXTCLIENT_MINS,minute(s),分
TEXTCLIENT_HOURS,hour(s),時間
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.",セッションの有効期限が切れています。再度パスワードを入力してログインしてください。
TEXTCLIENT_ADMIN,Admin,Admin
TEXTCLIENT_DEVELOPER,Dev,開発者
TEXTCLIENT_GAMEMASTER,Game Master,Game Master
TEXTCLIENT_MODERATOR,MOD,MOD
TEXTCLIENT_VENDOR_NPC,[Vendor],[売り子]
TEXTCLIENT_APP_CHAT,Chat Window,チャット
TEXTCLIENT_INVALIDLOGIN,Your login or password is invalid.,IDまたはパスワードが無効です。
TEXTCLIENT_INVALIDAUTHTOKEN,Authentication failed. Please try again.,認証に失敗しました。もう一度お試しください。
