Key,English,Portuguese
NPC_WHOAREYOU,Who are you?,Quem é você?
NPC_GOODBYE,Goodbye!,Até mais!
NPC_CARGO,CARGO,CARGA
NPC_WHATSGOINGON,What's going on?,O que está acontecendo?
NPC_EXIT,Exit,Sair
NPC_HOWTOFLY,How to Fly,Como Voar
NPC_COMBATFLYING,Combat Flying,Combate aéreo
NPC_IDCARD,ID CARD,CARTÃO DE INDENTIFICAÇÃO
NPC_WHATABOUTTHEMINE,What about the mine?,E quanto a mina?
NPC_MOVE,Move,Mover
NPC_FORHONOR,For Honor!,Por honra!
NPC_FORFUN,For Fun!,Por diversão!
NPC_MEHJUSTBECAUSE,"Meh, just because?","Eeh, só porque eu quero?"
NPC_YES_ENTER,Yes_Enter,Sim_Entrar
NPC_NO_ENTER,No_Enter,Não_Entrar
NPC_WHEREAMI,Where am I?,Onde estou?
NPC_MAKEANAPPOINTMENT,Make an appointment,Faça uma consulta
NPC_FINALIZESTATSELECTION,Finalize Stat selection,Finalizar seleção de atributo
NPC_DEKANEMINE,Dekane Mine,Mina Dekane
NPC_CELL,Cell,Cell
NPC_AZRIAMINE,Azria Mine,Mina de Azria
NPC_CURSEDSYMBOL,Cursed Symbol,Símbolo Amaldiçoado
NPC_GIVESYMBOL,Give the Symbol,Entregar o Símbolo
NPC_HAELLETTER,Hael's Letter,Carta de Hael
NPC_GIVELETTER,Give Letter,Entregar Carta
NPC_TREASURE_BOX,Treasure,Tesouro
NPC_LOSTMEMORIES,Lost Memories,Memórias Perdidas
NPC_BREWINGPOTIONS,Brewing Potions,Preparando Poções
NPC_THECURE,The Cure,A Cura
NPC_GUIDETOFLYING,Guide to Flying,Guia de Voo
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,Guia de Combate Aéreo
NPC_SHOPS,Shops?,Lojas?
NPC_DEATH,Death?,Morte?
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,Receber recompensas adicionais
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!","Bem-vindo(a) a Keakoon, humano! Preciso de um favor... Venha aqui!"
NPC_000045,Fathers Package,Pacote deixado pelo pai
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?","Hrrmf! Que estranho... Como um humano como você conseguiu entrar aqui, afinal?"
NPC_000047,"Thank you for saving my father, human. So what brings you here?","Obrigado por salvar meu pai, humano. Então, o que veio fazer aqui?"
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!","Por favor, salve meu pai. Ele está preso a leste daqui! Depressa!"
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.","Hrrmf, escute... Eu não sei como você encontrou este lugar, e eu não me importo. Saia agora! Este lugar é muito perigoso para sua espécie."
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!","Hrrmf! Eu sou Drian - Filho de Nevil, o Patriarca de Keakoon. Seu povo nos desprezam, mas vocês que são os inferiores!"
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!","Este lugar é muito perigoso para gente como você, humano tolo. Volte para casa!"
NPC_000052,Here is the package my father left me... Hrrmph!,Aqui está o pacote que meu pai me entregou... Hrrmph!
NPC_000053,*Sigh* this might take a while...,*Suspira* isso pode levar um tempo...
NPC_000054,"What? A human?! Here?!? Muahahahah!!! You're either brave or not all there in the head, buddy.","Que? Um humano?! Aqui?!? Muahahahah!!! Ou você é corajoso ou não bate bem da cabeça, camarada."
NPC_000055,"Ewww!! A hew-mann... Your kind is not welcome here. Get out of my sight, vermin!","Que nojo!! Um humano... Sua espécie não é bem-vinda aqui. Saia da minha frente, verme!"
NPC_000056,Who am I? Hah! Liked I'd consort with the likes of a human. Get lost!,Quem sou eu? Hah! Como se eu fosse interagir com um humano. Cai fora!
NPC_000057,"Beat it, human! You're not welcome here!","Se manda, humano! Você não é bem vindo aqui!"
NPC_000058,*Whistles*,*Assobios*
NPC_000059,"Gwarrll! You just gonna stand there, or are you gonna get me out of here? You know, people don't necessarily like to be stared at...","Birrll! Você só vai ficar parado aí ou vai me tirar daqui? Sabe, as pessoas não gostam necessariamente de ser encaradas..."
NPC_000060,"Garr!! I've not seen a human in years! I am Nevil, the honorable Patriarch of Keakoon.","Garr!! Não vejo um humano há anos! Eu sou Nevil, o Honorável Patriarca de Keakoon."
NPC_000061,"*Snort!* A human, eh? Very interesting... I haven't seen one of you weirdos in years! See ya later!",Humf! Um humano é? Muito interessante... Não tenho visto esquisitos como vocês há anos! Até mais!
NPC_000062,Feel free to come see me whenever you are in need of magical goods.,Sinta-se à vontade para me visitar sempre que precisar de produtos mágicos.
NPC_000063,Nice to meet you. Have you also come to research the magical fields surrounding the islands?,Prazer em te conhecer. Você também veio pesquisar os campos mágicos que cercam as ilhas?
NPC_000064,My name is Ciel and I am doing research on the various magical phenomena in the area.,Meu nome é Ciel e estou fazendo pesquisas sobre os vários fenômenos mágicos na área.
NPC_000065,Farewell!,Adeus!
NPC_000066,Come to me if you seek absolution.,Venha a mim se você busca a absolvição.
NPC_000067,Are you here for confession?,Você está aqui para se confessar?
NPC_000068,Your aura shines brightly. May it never again lose its brilliance.,Sua aura brilha intensamente. Que nunca mais perca seu brilho.
NPC_000069,I am a shepherd who helps sinners find their way back to the path of righteousness. Come to me if you wish to be cleansed.,Sou um pastor que ajuda pecadores a encontrar o caminho de volta ao caminho da justiça. Venha até mim se deseja ser purificado.
NPC_000070,Get the key from one of the criminal Masquerpets. Once you get the key you can enter the Warp Zone in the mountains.,"Consiga a chave de um dos Masquerpets criminosos. Depois de obter a chave, você poderá entrar na Zona de Escape nas montanhas."
NPC_000071,"Good luck to you, stranger. Try not to get caught again, okay?","Boa sorte para você, estranho. Tente não ser pego de novo, beleza?"
NPC_000072,"You will not survive here without a shield, friend.","Você não irá sobreviver aqui sem um escudo, amigo(a)."
NPC_000073,Huh? Do you want something from me? Then speak up!,Hã? Você quer algo de mim? Então fale logo!
NPC_000074,"My name is Rocbin and I came here for a number of reasons, none of which I would like to discuss with you at this time. Now shoo!","Meu nome é Rocbin e vim aqui por vários motivos, nenhum dos quais gostaria de discutir com você neste momento. Agora, xô!"
NPC_000075,Take care! ,Se cuida!
NPC_000076,Looking to work on your terrible equipment? Allow me to assist you!,Está buscando melhorar seu péssimo equipamento? Permita-me ajudá-lo(a)!
NPC_000077,Hahaha! You look like the rest of those felons. What brings you here?,Hahaha! Você se parece com o resto daqueles criminosos. O que te traz aqui?
NPC_000078,"Greetings, adventurer! I am Shun, your friendly neighborhood arms dealer. I don't care who you are, a customer is a customer. Come right over and buy my gear!","Saudações, aventureiro(a)! Eu sou Shun, seu simpático comerciante de armas na vizinhança. Não me importa quem você seja, um cliente é um cliente. Venha e compre meu equipamento!"
NPC_000079,Hehehe! Alright I hope we can hang out together someday.,"Hehehe! Tudo bem, espero que possamos sair pra um rolêzinho algum dia."
NPC_000080,I sell supplies to the weary adventurer. I've got everything you need!,Eu vendo suprimentos para aventureiros exaustos. Eu tenho tudo que você precisa!
NPC_000081,You look like you have something to tell me...,Parece que você tem algo para me dizer...
NPC_000082,My name is Yuna. I believe you will find my food and medicine reasonably priced.,Meu nome é Yuna. Acredito que você encontrará minha comida e remédios a preços razoáveis.
NPC_000083,"Come one, come all! Visit Achaben's General Shop for your adventuring needs! *cough*","Venham, venham todos! Visite a Loja Geral de Achaben para suprimentos para suas aventuras! *Cof cof*"
NPC_000084,May I help you?,Posso te ajudar?
NPC_000085,"*Cough* I am happy to have a *wheeez* customer! If you need it, we have it... *cough* *huck* You wouldn't happen to have some cough medicine, would you?","*Cof Cof* Estou feliz por ter um *assoa* cliente! Se precisar, nós temos... *Cof* *soluço*, Por acaso você não teria um remédio para tosse, teria?"
NPC_000086,"*Ha-CHEW!* Sorry about that, allow me to clear my throat. *AHEM* My name is Achaben, and I run the General Shop here in Darken City. *cough*","*ATCHIN!* Desculpe por isso, deixe-me limpar minha garganta. *AHEM* Meu nome é Achaben, e eu administro a Loja Geral da Cidade de Darken. *tosse*"
NPC_000087,Thank you for your patronage! Come back and visit sometime! Bring some cough medicine!,Obrigado pela preferência! Volte e faça uma visita algum dia! E traga um remédio para tosse!
NPC_000088,#b#cff0001ffFlying Information#nc#nb is available here! I also have #b#cffff0000flying boards and brooms#nc#nb in stock!,#b#cff0001ffInformações de Voo#nc#nb estão disponíveis aqui! Também tenho #b#cffff0000pranchas e vassouras voadoras#nc#nb em estoque!
NPC_000089,What do you want to do?,O que você quer fazer?
NPC_000090,"Flying through the clouds high above Madrigal is my favorite dream come true. I would be flying right now, but I'm having some family trouble and I need to pay the bills!","Voar pelas nuvens acima de Madrigal é meu sonho favorito se tornando realidade. Eu estaria voando agora, mas estou tendo alguns problemas familiares e preciso pagar as contas!"
NPC_000091,"My name is Almani, and I run the Station here in Darken city. I sell flying boards and brooms in addition to teaching the basics of flying.","Meu nome é Almani, e eu dirijo a Estação aqui na cidade de Darken. Eu vendo pranchas e vassouras voadoras, além de ensinar o básico sobre o voo."
NPC_000092,"1. First, you'll need to buy a broom or a board and be at least level 20 in order to fly. \n 2. Next, double-click the board or broom in your inventory or simply move it to a hot key to climb aboard.","1. Primeiro, você precisa comprar uma vassoura ou uma prancha e ter no mínimo nível 20 para poder voar. \n 2. Em seguida, clique duas vezes na prancha ou na vassoura em seu inventário ou simplesmente mova-a para uma tecla de atalho para subir a bordo."
NPC_000093,3. Press the Space Bar to accelerate your flying vehicle. Press the Space Bar key again while moving to stop. Think of the accelerator like a toggle button for *Go* and *Stop*.,3. Pressione a Barra de Espaço para acelerar seu veículo voador. Pressione a tecla de Barra de Espaço novamente enquanto move para parar. Pense no acelerador como um botão de alternância entre *Ir* e *Parar*.
NPC_000094,"4. To navigate, you can simply hold the Right Mouse Button down and angle the camera in the direction that you want to go.\n Alternatively, you can also use the W, A, S and D controls to turn.","4. Para navegar, você pode simplesmente manter o botão direito do mouse pressionado e inclinar a câmera na direção que deseja ir.\n Alternativamente, você também pode usar os controles W, A, S e D para virar."
