Key,English,Portuguese
TEXTCLIENT_CONNECTING,Connecting. Please wait.,"Conectando. Por favor, aguarde."
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,"Não é possível conectar ao jogo. Por favor, verifique sua rede."
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,O jogo foi atualizado. Feche a página e abra-a novamente.
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,Identificador de servidor incorreto.
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.","Erro desconhecido, por favor tente novamente."
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,Sua conta já está conectada.
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,Deseja desconectar o outro dispositivo?
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,"O dispositivo está sendo desconectado. Por favor, faça login novamente em 10 segundos."
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.","Este canal está cheio, aguarde um momento ou selecione outro canal."
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,O nome do personagem já está sendo utilizado.
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,Monstro Chefe detectado!
TEXTCLIENT_APP_MAP,World Map,Mapa do Mundo
TEXTCLIENT_APP_OPTION,Options,Opções
TEXTCLIENT_APP_LOGOUT,Log Out,Desconectar
TEXTCLIENT_APP_QUIT,Quit,Sair
TEXTCLIENT_APP_SUPPORT,Support,Suporte
TEXTCLIENT_APP_PRIVACY,Privacy,Privacy
TEXTCLIENT_APP_NAVIGATOR,Navigator,Navegador
TEXTCLIENT_APP_DEBUG,Debug,Depurar
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,Saindo depois de %d segundo(s).
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,Mudando de personagem em %d seg(s).
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,Vinculando conta em %d segundo(s).
TEXTCLIENT_LOGOUT,Do you want to disconnect?,Deseja desconectar?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,"#cffff0000Você perderá seu personagem convidado.#nc Por favor, vincule uma conta."
TEXTCLIENT_EXIT,Do you want to exit the program?,Você deseja sair do programa?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,Desconectado do servidor.
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,A criação de personagens está desabilitada neste servidor.
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,Parece haver uma força maligna obscurecendo sua visão da área.
TEXTCLIENT_ITEM_DESC,Description:,\n❗
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,Este nome contém caracteres não autorizados.
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,Este nome contém palavras não autorizadas.
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,Seu endereço público de internet foi banido. Contate o administrador para mais informações.
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,"No momento, o jogo não está disponível em seu país."
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,Uma atividade importante foi detectada em seu endereço público de Internet. Aguarde %s antes de tentar novamente.
TEXTCLIENT_SECS,second(s),segundo(s)
TEXTCLIENT_MINS,minute(s),minuto(s)
TEXTCLIENT_HOURS,hour(s),hora(s)
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.","Sua sessão expirou, digite seu login e senha novamente."
