Key,English,Portuguese
MMI_0,Dialog,Diálogo
MMI_1,Quest,Missão
MMI_2,Trade,Negociar
MMI_3,Attack,Ataque
MMI_4,Message,Mensagem
MMI_5,Add to my list,Adicionar como amigo
MMI_6,Invite to join party,Convidar para grupo
MMI_7,Invite to join guild,Convidar para guilda
MMI_8,Place of Resurrection,Local de Ressurreição
MMI_9,Bank,Banco
MMI_10,Duel,Duelo
MMI_11,Request party duel,Solicitar duelo de Grupo
MMI_12,Follow,Seguir
MMI_13,Beauty Shop,Salão de Beleza
MMI_14,Repair,Reparar
MMI_15,Guild Bank,Armazém da Guilda
MMI_16,Guild Rankings,Ranking de Guildas
MMI_17,Guild Duel Rankings,Ranking da Batalha de Guildas
MMI_18,Guild Statistics Rankings,Ranking Geral da Batalha de Guildas
MMI_21,Register Bounty,Colocar Recompensa
MMI_22,Bounty List,Ver a Lista de Recompensas
MMI_24,View equipment,Ver equipamentos
MMI_25,Mailbox,Caixa Postal
MMI_26,Apply,Aplicar
MMI_27,Status,Status
MMI_28,Cancel,Cancelar
MMI_29,Enter,Entrar
MMI_30,Ranking,Ranking
MMI_31,Cheer,Animar
MMI_32,Remove piercing card,Remover Carta de Perfuração
MMI_33,Lineup Setup,Definir Equipe
MMI_34,Claim Guild Penya,Receber prêmio em dinheiro e dinheiro de inscrição
MMI_35,Reward Information,Informações sobre o dinheiro da premiação
MMI_36,Claim MVP Penya Reward,Receber premiação de MVP
MMI_37,Participation Information,Informação de participação
MMI_38,Basic Rules,Regra básica
MMI_39,Winning Conditions,Condições para Vencer
MMI_40,Application Fee Information,Informação de comissão
MMI_41,The refund of application fee,O reembolso da taxa de inscrição
MMI_42,Cosmetic Upgrades,Cosméticos
MMI_44,Rock-Paper-Scissors,Pedra-Papel-Tesoura
MMI_49,Pet State,Condição do Pet
MMI_50,Un-summon pet,Desconvocar Pet
MMI_51,Create Shining Power Dice,Criar Dado Mágico Brilhante
MMI_53,Create Jewels,Criar Joias
MMI_54,Create Unique Weapon,Criar Arma Única
MMI_59,Remove Element,Remover Elemento
MMI_71,Remove Level Reduction,Remover Redução de Nível
MMI_74,Get Buffed!,Receber Buffs!
MMI_75,Exchange Rare Item Pieces,Trocar Pedaços de Itens Raros
MMI_76,Exchange Card Pieces,Trocar Pedaços de Cartas
MMI_79,Remove Premium Item Blessing,Remover Bênção de Item Especial
MMI_80,Enter Arena,Ir a Arena
MMI_81,Leave Arena,Deixar Arena
MMI_82,Arena Ranking,Ranking da Arena
MMI_83,Arena Reward,Recompensa da Arena
MMI_91,Lord Ranking,Lord Ranking
MMI_134,Upgrading,Fortalecimento
MMI_136,Piercing,Piercing
MMI_167,Element Upgrading,Encantamento Elemental
