Key,English,German
NPC_WHOAREYOU,Who are you?,Vorstellung
NPC_GOODBYE,Goodbye!,Tschüss
NPC_CARGO,CARGO,CARGO
NPC_WHATSGOINGON,What's going on?,Neue Infos
NPC_EXIT,Exit,Beenden
NPC_HOWTOFLY,How to Fly,Flugkontrolle
NPC_COMBATFLYING,Combat Flying,Luftkampf
NPC_IDCARD,ID CARD,IDCARD
NPC_WHATABOUTTHEMINE,What about the mine?,Dekanes
NPC_MOVE,Move,Teleportieren
NPC_FORHONOR,For Honor!,Monster bekämpfen
NPC_FORFUN,For Fun!,Einfach überrascht
NPC_MEHJUSTBECAUSE,"Meh, just because?","Ich will tun, was ich will"
NPC_YES_ENTER,Yes_Enter,Ja_Eintritt
NPC_NO_ENTER,No_Enter,Nein_Eintritt
NPC_WHEREAMI,Where am I?,Ort
NPC_MAKEANAPPOINTMENT,Make an appointment,Erläuterung des Orts
NPC_FINALIZESTATSELECTION,Finalize Stat selection,Einstellen der Statuspunkte
NPC_DEKANEMINE,Dekane Mine,Dekanes Mine
NPC_CELL,Cell,Cell
NPC_AZRIAMINE,Azria Mine,Azria Mine
NPC_CURSEDSYMBOL,Cursed Symbol,Verfluchtes Symbol
NPC_GIVESYMBOL,Give the Symbol,Symbol geben
NPC_HAELLETTER,Hael's Letter,Haels Brief
NPC_GIVELETTER,Give Letter,Brief geben
NPC_TREASURE_BOX,Treasure,Schatz
NPC_LOSTMEMORIES,Lost Memories,Verlorene Erinnerungen
NPC_BREWINGPOTIONS,Brewing Potions,Tränke brauen
NPC_THECURE,The Cure,Die Heilung
NPC_GUIDETOFLYING,Guide to Flying,Fluganleitung
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,Luftkampf Info
NPC_SHOPS,Shops?,Kauf
NPC_DEATH,Death?,Tod
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,Zusätzliche Belohnungen erhalten
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!",Willkommen in Kaekoon! Lieber Mensch... Könntest du mir aushelfen?
NPC_000045,Fathers Package,Cargo of Drian
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?",Grrrh. Schon seltsam. Wie hat es ein Mensch wie du zu uns geschafft?
NPC_000047,"Thank you for saving my father, human. So what brings you here?","Danke das du meinen Vater gerettet hast. Ach ja, was führt dich zu uns?"
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!",Bitte rette meinen Vater. Er wird im Osten der Stadt gefangen gehalten.
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.","Grrrh. Ich weiß nicht wie du diesen Ort gefunden hast, aber du bist nicht die Person, nach der ich suche. Geh jetzt. Dieser Ort ist zu gefährlich für jemanden wie dich."
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!","Grrrh. Ich bin Drian - der Sohn von Nevil, dem Patriarchen von Keakoon. Die Menschen schauen auf uns herab.. aber in Wirklichkeit seid es ihr Menschen, die minderwertig sind."
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!",Grrrh. Dieser Ort ist zu gefährlich für deinesgleichen. Geh nach Hause.
