Key,English,Portuguese
PROPITEMETC_INC_000001,Leaf Set,Conjunto Folha
PROPITEMETC_INC_000002,Parmil Set,Conjunto Parmil
PROPITEMETC_INC_000003,Flower Set,Conjunto Florido
PROPITEMETC_INC_000004,Petal Set,Conjunto Pétala
PROPITEMETC_INC_000005,Stinger Set,Conjunto Stinger
PROPITEMETC_INC_000006,Slepint Set,Conjunto Slepint
PROPITEMETC_INC_000007,Curus Set,Conjunto Curus
PROPITEMETC_INC_000008,Sardine Set,Conjunto Sardine
PROPITEMETC_INC_000009,Niz Set,Conjunto Niz
PROPITEMETC_INC_000010,Seer Set,Conjunto Seer
PROPITEMETC_INC_000011,Cylos Set,Conjunto Cylos
PROPITEMETC_INC_000012,Comet Set,Conjunto Comet
PROPITEMETC_INC_000013,Miracle Set,Conjunto Miragle
PROPITEMETC_INC_000014,Layered Set,Conjunto Layered
PROPITEMETC_INC_000015,Sayram Set,Conjunto Sayram
PROPITEMETC_INC_000016,Talin Set,Conjunto Talin
PROPITEMETC_INC_000017,Merr Set,Conjunto Merr
PROPITEMETC_INC_000018,Sorain Set,Conjunto Sorain
PROPITEMETC_INC_000019,Stitch Set,Conjunto Stitch
PROPITEMETC_INC_000020,Panggril Set,Conjunto Panggril
PROPITEMETC_INC_000021,Hyper Set,Conjunto Hyper
PROPITEMETC_INC_000022,Cruiser Set,Conjunto Cruiser
PROPITEMETC_INC_000023,Flury Set,Conjunto Flury
PROPITEMETC_INC_000024,Wedge Set,Conjunto Wedge
PROPITEMETC_INC_000025,Misty Set,Conjunto Misty
PROPITEMETC_INC_000026,Teba Set,Conjunto Teba
PROPITEMETC_INC_000027,Recorn Set,Conjunto Recorn
PROPITEMETC_INC_000028,Rescorn Set,Conjunto Ryscon
PROPITEMETC_INC_000029,Rebron Set,Conjunto Rebron
PROPITEMETC_INC_000030,Restron Set,Conjunto Restron
PROPITEMETC_INC_000031,Shurand Set,Conjunto Shurant
PROPITEMETC_INC_000032,Shuran Set,Conjunto Shuran
PROPITEMETC_INC_000033,Ahes Set,Conjunto Ahes
PROPITEMETC_INC_000034,Anoos Set,Conjunto Anoos
PROPITEMETC_INC_000035,Warpon Set,Conjunto Warpon
PROPITEMETC_INC_000036,Warspon Set,Conjunto Warspon
PROPITEMETC_INC_000037,Wees Set,Conjunto Wees
PROPITEMETC_INC_000038,Weeshian Set,Conjunto Weeshian
PROPITEMETC_INC_000039,Ectro Set,Conjunto Extro
PROPITEMETC_INC_000040,Extro Set,Conjunto Extro
PROPITEMETC_INC_000041,Einy Set,Conjunto Iny
PROPITEMETC_INC_000042,Akan Set,Conjunto Akan
PROPITEMETC_INC_000043,Dayst Set,Conjunto Deist
PROPITEMETC_INC_000044,Dest Set,Conjunto Dest
PROPITEMETC_INC_000045,Hanes Set,Conjunto Hanes
PROPITEMETC_INC_000046,Haganes Set,Conjunto Haganes
PROPITEMETC_INC_000047,Katria Set,Conjunto Katria
PROPITEMETC_INC_000048,Kanarin Set,Conjunto Kanarin
PROPITEMETC_INC_000049,Restra Set,Conjunto Restra
PROPITEMETC_INC_000050,Rasra Set,Conjunto Rasra
PROPITEMETC_INC_000051,Neis Set,Conjunto Neis
PROPITEMETC_INC_000052,Neition Set,Conjunto Neition
PROPITEMETC_INC_000053,Oska Set,Conjunto Oska
PROPITEMETC_INC_000054,Okas Set,Conjunto Okas
PROPITEMETC_INC_000055,Asren Set,Conjunto Asren
PROPITEMETC_INC_000056,Aren Set,Conjunto Aren
PROPITEMETC_INC_000057,Tyrent Set,Conjunto Tyrent
PROPITEMETC_INC_000058,Tight Set,Conjunto Tytt
PROPITEMETC_INC_000059,Pact Set,Conjunto Pact
