Key,English,Japanese
NPC_WHOAREYOU,Who are you?,紹介
NPC_GOODBYE,Goodbye!,さようなら
NPC_CARGO,CARGO,CARGO
NPC_WHATSGOINGON,What's going on?,近況
NPC_EXIT,Exit,出る方法
NPC_HOWTOFLY,How to Fly,飛行操縦
NPC_COMBATFLYING,Combat Flying,飛行戦闘
NPC_IDCARD,ID CARD,IDCARD
NPC_WHATABOUTTHEMINE,What about the mine?,デェカネス
NPC_MOVE,Move,移動
NPC_FORHONOR,For Honor!,モンスターに挑戦！
NPC_FORFUN,For Fun!,見てるだけです
NPC_MEHJUSTBECAUSE,"Meh, just because?",やっぱり帰ります
NPC_YES_ENTER,Yes_Enter,はい_入場
NPC_NO_ENTER,No_Enter,いいえ_入場
NPC_WHEREAMI,Where am I?,場所
NPC_MAKEANAPPOINTMENT,Make an appointment,復活場所の設定？
NPC_FINALIZESTATSELECTION,Finalize Stat selection,ステータス初期化
NPC_DEKANEMINE,Dekane Mine,デェカネス鉱山
NPC_CELL,Cell,セル
NPC_AZRIAMINE,Azria Mine,アズリア鉱山
NPC_CURSEDSYMBOL,Cursed Symbol,呪われたシンボル
NPC_GIVESYMBOL,Give the Symbol,シンボルを与える
NPC_HAELLETTER,Hael's Letter,ハエルの手紙
NPC_GIVELETTER,Give Letter,手紙を贈る
NPC_TREASURE_BOX,Treasure,宝
NPC_LOSTMEMORIES,Lost Memories,失われた記憶
NPC_BREWINGPOTIONS,Brewing Potions,醸造ポーション
NPC_THECURE,The Cure,ザ・キュアー
NPC_GUIDETOFLYING,Guide to Flying,飛行操縦ガイド
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,飛行戦闘ガイド
NPC_SHOPS,Shops?,購入
NPC_DEATH,Death?,死
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,追加の報酬を受け取る
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!",クックックッ、心優しき人間の方よ、俺の頼みを聞いてくれっ！
NPC_000045,Fathers Package,お父さんの荷物
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?",クックックッ、お前たち人間がこんなところまでやって来るなんて、珍しいじゃないか！
NPC_000047,"Thank you for saving my father, human. So what brings you here?",親父を助けてくれてありがとな。ところで何の用だ？
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!",親父のいる監獄は、一番右に位置するキクン町にあるぞ。おい、早く助けてくれよ！
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.",クックックッ、お前たち人間がどうやってここまでやって来たかは知らないが、お前らの来るところではないぞ。危ないからさっさと行け！
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!",クックックッ、俺はキクン族の酋長ネビルの息子ドリアンだっ！人間どもは俺を馬鹿にしてるが、俺たちにとっては人間の方が低能に見えるぜ！
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!",クックックッ、とにかくここは危ないから、早く帰れ！
NPC_000052,Here is the package my father left me... Hrrmph!,親父に頼まれた荷物なら、ここにあるぜ、クックックッ。
NPC_000053,*Sigh* this might take a while...,あぁ～ なかなか纏まらないなぁ～
NPC_000054,"What? A human?! Here?!? Muahahahah!!! You're either brave or not all there in the head, buddy.",おっ? お前、人間だな。度胸のいいやつだな～。
NPC_000055,"Ewww!! A hew-mann... Your kind is not welcome here. Get out of my sight, vermin!",ちぇっ! 人間のくせに生意気な奴！早く消え去らないと、ドワーフ拳法お見舞いしてやるぞ！
NPC_000056,Who am I? Hah! Liked I'd consort with the likes of a human. Get lost!,残念だが、人間どもに自己紹介する気はないさ。
NPC_000057,"Beat it, human! You're not welcome here!",そうさ、帰った方がいいぞ。ここはお前ら人間がむやみに来るところじゃないからな。
NPC_000058,*Whistles*,...
NPC_000059,"Gwarrll! You just gonna stand there, or are you gonna get me out of here? You know, people don't necessarily like to be stared at...",........
NPC_000060,"Garr!! I've not seen a human in years! I am Nevil, the honorable Patriarch of Keakoon.",カッカッカッ、おっ、人間に会うなんて久しぶりだな！ 私はキクン族の酋長ネビルだっ！
