Key,English,Japanese
LANGUAGE_CODE,EN,JP
UI_HOME_TITLE,Home,ホーム
UI_HOME_GUESTCHAR,Guest Character,ゲストキャラクター
UI_HOME_NEWCHAR,New Character,新規キャラクター作成
UI_HOME_NEWCHAR_TIP,Create a new character without an account,アカウントなしで新しいキャラクターを作成する
UI_HOME_LOGIN,Sign In,サインイン
UI_HOME_REGISTER,Sign Up,新規登録
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.",IDとパスワードを入力し、OKを押すとゲームに接続します。
UI_HOME_ALREADYACCOUNT,Already have an account?,すでにアカウントをお持ちですか？
UI_HOME_WEBSITE,Website,ウェブサイト
UI_HOME_CREDITS,Credits,クレジット
UI_HOME_OR,Or,または
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,パスワード:
UI_HOME_RECOVER,Forgot password?,パスワードを忘れた場合
UI_SELECTSERVER_TITLE,Select Server,サーバーを選択
UI_SELECTSERVER_BACK,Back,戻る
UI_SELECTSERVER_NEXT,Next,次へ
UI_SELECTSERVER_FULL,full,満員
UI_SELECTSERVER_BUSY,busy,混雑
UI_SELECTSERVER_BEST,best,おすすめ
UI_SELECTSERVER_NEWNAME,Please enter another name:,別の名前を入力:
UI_SELECTSERVER_NAMETITLE,Character Name,キャラクター名
UI_CHARLIST_TITLE,Characters,キャラクター
UI_CHARLIST_PLAY,Play,プレイ
UI_CHARLIST_NEW,New,新規
UI_CHARLIST_DELETE,Delete,Delete
UI_DELETECHAR_TITLE,Delete Character,キャラクター削除
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,キャラクターを削除するためのパスワード\nパスワードを入力
UI_DELETECHAR_NOPASS,Confirm Deletion?,よろしいですか？
UI_DELETECHAR_NOTICE,"If you delete this character, its name cannot be used again for one week.",キャラクターを削除すると、一週間同じ名前を使うことはできません。
UI_NEWCHAR_NAME,Name:,名称：
UI_NEWCHAR_GIRL,Girl,女の子
UI_NEWCHAR_BOY,Boy,男の子
UI_MSGBOX_START,Start,スタート
UI_MSGBOX_OK,Ok,OK
UI_MSGBOX_RETRY,Retry,再試行
UI_MSGBOX_CANCEL,Cancel,キャンセル
UI_MSGBOX_YES,Yes,Yes
UI_MSGBOX_NO,No,No
UI_LOADINGSCREEN,"Loading, please wait...",ローディング中。お待ちください...
UI_OPTION_TITLE,Options,オプション
UI_OPTION_MUSIC,Music,BGM
UI_OPTION_SOUND,Sound,効果音
UI_OPTION_TEXQUALITY,Textures,テクスチャ
UI_OPTION_TEXTOON,Cartoon,カートゥーン（アニメ調）
