Key,English,German
EXCHANGE_ROSHAMBO_EVENT,"Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon.",Tausche 10 Mücken und 50.000 Penya gegen einen Schere-Stein-Papier-Coupon.
EXCHANGE_CHRISTMAS_EVENT,"Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon.",Tausche 10 rote Socken und 50.000 Penya gegen einen Schere-Stein-Papier-Coupon.
EXCHANGE_PIECE,"If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!","Wenn du mir 10 Stücke eines Gegenstandes bringst, kannst du sie bei mir gegen einen ganzen Gegenstand eintauschen! Wähle das Item, das du eintauschen möchtest, aus und klicke auf OK!"
EXCHANGE_DICE,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!,"Ich kann deine Würfel gegen ein paar Penya eintauschen. Klicke einfach auf den Gegenstand, den du möchtest, und klicke auf OK!"
EXCHANGE_REDCHIPS,"The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?","In meinem Shop findest du die besten Rüstungssets weit und breit! Also, wie viele Rote Chips hast du, hmmm?"
EXCHANGE_SUMMER_EVENT,"Exchange Beach Ball, Parasol and Penya for great Beach Boxes!","Tausche Beach Ball, Parasol und Penya gegen großartige Beach Boxen!"
EXCHANGE_GREENCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?","Die Items, die ich hier in meinem Shop verkaufe, werden sicherlich hilfreich sein! Also, wie viele Grüne Chips hast du, hmmm?"
EXCHANGE_BLUECHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?","Die Items, die ich hier in meinem Shop verkaufe, sind absolut die besten, die du finden kannst! Also, wie viele Blaue Chips hast du, hmmm?"
EXCHANGE_CHRISTMAS_GIFTS,Bring me back my lost gifts and I’ll think about getting you something in return..,"Bringt mir meine verlorenen Geschenke zurück, dann überlege ich mir, euch etwas im Gegenzug zu schenken."
EXCHANGE_RICE_CAKE,I noticed you had a lot of rice cake. You want me to cook them to make them better?,"Ich habe festgestellt, dass du viel Reiskuchen hast. Möchtest du, dass ich sie koche, um sie besser zu machen?"
EXCHANGE_VALENTINE,"A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc","Viele Leute sind zu mir gekommen und haben gesagt, dass sie ihre Liebesbriefe verloren haben... Kannst du sie finden und sie mir zurückbringen? Ich werde dir dafür großartige Belohnungen geben.\n\n#cffff0000Für den Austausch von fünf Briefen erhältst du zufällig einen der vier Bonusgegenstände. Es kann immer nur einer aktiv sein, also wähle mit Bedacht!#nc"
EXCHANGE_PKCHIPS,"So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you.","Du tötest also gerne Spieler und stiehlst ihre Chips... Kein Problem, die Herkunft dieser Items interessiert mich nicht. Sieh dir an, was ich dir zu bieten habe."
EXCHANGE_EASTER_EVENT,"I need your help! Some mischievous creatures have taken all of his eggs and hidden them in a special dungeon. Retrieve them all, and you'll be rewarded with some egg-ceptional loot!",Ich brauche deine Hilfe! Einige schelmische Kreaturen haben alle seine Eier gestohlen und in einem besonderen Dungeon versteckt. Holt sie alle zurück und ihr werdet mit einer außergewöhnlichen Beute belohnt!
EXCHANGE_DIAMONDINTHESKY_EVENT,Want to add some sparkle to your day? Destroy stars at night and collect Star Fragments! Then come see me for some glittering rewards that are sure to brighten your mood.,"Willst du deinen Tag ein wenig glitzern lassen? Zerstöre nachts Sterne und sammle Sternfragmente! Dann komm zu mir und hol dir glitzernde Belohnungen, die deine Stimmung aufhellen werden."
