Key,English,Italian
NPC_WHOAREYOU,Who are you?,Who are you?
NPC_GOODBYE,Goodbye!,Goodbye!
NPC_CARGO,CARGO,CARGO
NPC_WHATSGOINGON,What's going on?,What's going on?
NPC_EXIT,Exit,Exit
NPC_HOWTOFLY,How to Fly,How to Fly
NPC_COMBATFLYING,Combat Flying,Combat Flying
NPC_IDCARD,ID CARD,ID CARD
NPC_WHATABOUTTHEMINE,What about the mine?,What about the mine?
NPC_MOVE,Move,Move
NPC_FORHONOR,For Honor!,For Honor!
NPC_FORFUN,For Fun!,For Fun!
NPC_MEHJUSTBECAUSE,"Meh, just because?","Meh, just because?"
NPC_YES_ENTER,Yes_Enter,Yes_Enter
NPC_NO_ENTER,No_Enter,No_Enter
NPC_WHEREAMI,Where am I?,Where am I?
NPC_MAKEANAPPOINTMENT,Make an appointment,Make an appointment
NPC_FINALIZESTATSELECTION,Finalize Stat selection,Finalize Stat selection
NPC_DEKANEMINE,Dekane Mine,Dekane Mine
NPC_CELL,Cell,Cell
NPC_AZRIAMINE,Azria Mine,Azria Mine
NPC_CURSEDSYMBOL,Cursed Symbol,Cursed Symbol
NPC_GIVESYMBOL,Give the Symbol,Give the Symbol
NPC_HAELLETTER,Hael's Letter,Hael's Letter
NPC_GIVELETTER,Give Letter,Give Letter
NPC_TREASURE_BOX,Treasure,Treasure
NPC_LOSTMEMORIES,Lost Memories,Lost Memories
NPC_BREWINGPOTIONS,Brewing Potions,Brewing Potions
NPC_THECURE,The Cure,The Cure
NPC_GUIDETOFLYING,Guide to Flying,Guide to Flying
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,Guide to Combat Flying
NPC_SHOPS,Shops?,Shops?
NPC_DEATH,Death?,Death?
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,Receive additional rewards
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!","Welcome to Keakoon, human! I've got a favor to ask... C'mere!"
NPC_000045,Fathers Package,Fathers Package
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?","Hrrmph! How strange... How did a human like you manage to get in here, anyway?"
NPC_000047,"Thank you for saving my father, human. So what brings you here?","Thank you for saving my father, human. So what brings you here?"
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!","Please, save my father. He's imprisoned east of here! Hurry!"
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.","Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind."
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!","Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!"
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!","This place is too dangerous for the likes of you, silly human. Go home!"
NPC_000052,Here is the package my father left me... Hrrmph!,Here is the package my father left me... Hrrmph!
NPC_000053,*Sigh* this might take a while...,*Sigh* this might take a while...
NPC_000054,"What? A human?! Here?!? Muahahahah!!! You're either brave or not all there in the head, buddy.","What? A human?! Here?!? Muahahahah!!! You're either brave or not all there in the head, buddy."
NPC_000055,"Ewww!! A hew-mann... Your kind is not welcome here. Get out of my sight, vermin!","Ewww!! A hew-mann... Your kind is not welcome here. Get out of my sight, vermin!"
NPC_000056,Who am I? Hah! Liked I'd consort with the likes of a human. Get lost!,Who am I? Hah! Liked I'd consort with the likes of a human. Get lost!
NPC_000057,"Beat it, human! You're not welcome here!","Beat it, human! You're not welcome here!"
NPC_000058,*Whistles*,*Whistles*
NPC_000059,"Gwarrll! You just gonna stand there, or are you gonna get me out of here? You know, people don't necessarily like to be stared at...","Gwarrll! You just gonna stand there, or are you gonna get me out of here? You know, people don't necessarily like to be stared at..."
NPC_000060,"Garr!! I've not seen a human in years! I am Nevil, the honorable Patriarch of Keakoon.","Garr!! I've not seen a human in years! I am Nevil, the honorable Patriarch of Keakoon."
NPC_000061,"*Snort!* A human, eh? Very interesting... I haven't seen one of you weirdos in years! See ya later!","*Snort!* A human, eh? Very interesting... I haven't seen one of you weirdos in years! See ya later!"
NPC_000062,Feel free to come see me whenever you are in need of magical goods.,Feel free to come see me whenever you are in need of magical goods.
NPC_000063,Nice to meet you. Have you also come to research the magical fields surrounding the islands?,Nice to meet you. Have you also come to research the magical fields surrounding the islands?
NPC_000064,My name is Ciel and I am doing research on the various magical phenomena in the area.,My name is Ciel and I am doing research on the various magical phenomena in the area.
NPC_000065,Farewell!,Farewell!
NPC_000066,Come to me if you seek absolution.,Come to me if you seek absolution.
NPC_000067,Are you here for confession?,Are you here for confession?
NPC_000068,Your aura shines brightly. May it never again lose its brilliance.,Your aura shines brightly. May it never again lose its brilliance.
NPC_000069,I am a shepherd who helps sinners find their way back to the path of righteousness. Come to me if you wish to be cleansed.,I am a shepherd who helps sinners find their way back to the path of righteousness. Come to me if you wish to be cleansed.
NPC_000070,Get the key from one of the criminal Masquerpets. Once you get the key you can enter the Warp Zone in the mountains.,Get the key from one of the criminal Masquerpets. Once you get the key you can enter the Warp Zone in the mountains.
NPC_000071,"Good luck to you, stranger. Try not to get caught again, okay?","Good luck to you, stranger. Try not to get caught again, okay?"
NPC_000072,"You will not survive here without a shield, friend.","You will not survive here without a shield, friend."
NPC_000073,Huh? Do you want something from me? Then speak up!,Huh? Do you want something from me? Then speak up!
NPC_000074,"My name is Rocbin and I came here for a number of reasons, none of which I would like to discuss with you at this time. Now shoo!","My name is Rocbin and I came here for a number of reasons, none of which I would like to discuss with you at this time. Now shoo!"
NPC_000075,Take care! ,Take care! 
NPC_000076,Looking to work on your terrible equipment? Allow me to assist you!,Looking to work on your terrible equipment? Allow me to assist you!
NPC_000077,Hahaha! You look like the rest of those felons. What brings you here?,Hahaha! You look like the rest of those felons. What brings you here?
NPC_000078,"Greetings, adventurer! I am Shun, your friendly neighborhood arms dealer. I don't care who you are, a customer is a customer. Come right over and buy my gear!","Greetings, adventurer! I am Shun, your friendly neighborhood arms dealer. I don't care who you are, a customer is a customer. Come right over and buy my gear!"
NPC_000079,Hehehe! Alright I hope we can hang out together someday.,Hehehe! Alright I hope we can hang out together someday.
NPC_000080,I sell supplies to the weary adventurer. I've got everything you need!,I sell supplies to the weary adventurer. I've got everything you need!
NPC_000081,You look like you have something to tell me...,You look like you have something to tell me...
NPC_000082,My name is Yuna. I believe you will find my food and medicine reasonably priced.,My name is Yuna. I believe you will find my food and medicine reasonably priced.
NPC_000083,"Come one, come all! Visit Achaben's General Shop for your adventuring needs! *cough*","Come one, come all! Visit Achaben's General Shop for your adventuring needs! *cough*"
NPC_000084,May I help you?,May I help you?
NPC_000085,"*Cough* I am happy to have a *wheeez* customer! If you need it, we have it... *cough* *huck* You wouldn't happen to have some cough medicine, would you?","*Cough* I am happy to have a *wheeez* customer! If you need it, we have it... *cough* *huck* You wouldn't happen to have some cough medicine, would you?"
NPC_000086,"*Ha-CHEW!* Sorry about that, allow me to clear my throat. *AHEM* My name is Achaben, and I run the General Shop here in Darken City. *cough*","*Ha-CHEW!* Sorry about that, allow me to clear my throat. *AHEM* My name is Achaben, and I run the General Shop here in Darken City. *cough*"
NPC_000087,Thank you for your patronage! Come back and visit sometime! Bring some cough medicine!,Thank you for your patronage! Come back and visit sometime! Bring some cough medicine!
NPC_000088,#b#cff0001ffFlying Information#nc#nb is available here! I also have #b#cffff0000flying boards and brooms#nc#nb in stock!,#b#cff0001ffFlying Information#nc#nb is available here! I also have #b#cffff0000flying boards and brooms#nc#nb in stock!
NPC_000089,What do you want to do?,What do you want to do?
NPC_000090,"Flying through the clouds high above Madrigal is my favorite dream come true. I would be flying right now, but I'm having some family trouble and I need to pay the bills!","Flying through the clouds high above Madrigal is my favorite dream come true. I would be flying right now, but I'm having some family trouble and I need to pay the bills!"
NPC_000091,"My name is Almani, and I run the Station here in Darken city. I sell flying boards and brooms in addition to teaching the basics of flying.","My name is Almani, and I run the Station here in Darken city. I sell flying boards and brooms in addition to teaching the basics of flying."
NPC_000092,"1. First, you'll need to buy a broom or a board and be at least level 20 in order to fly. \n 2. Next, double-click the board or broom in your inventory or simply move it to a hot key to climb aboard.","1. First, you'll need to buy a broom or a board and be at least level 20 in order to fly. \n 2. Next, double-click the board or broom in your inventory or simply move it to a hot key to climb aboard."
NPC_000093,3. Press the Space Bar to accelerate your flying vehicle. Press the Space Bar key again while moving to stop. Think of the accelerator like a toggle button for *Go* and *Stop*.,3. Press the Space Bar to accelerate your flying vehicle. Press the Space Bar key again while moving to stop. Think of the accelerator like a toggle button for *Go* and *Stop*.
NPC_000094,"4. To navigate, you can simply hold the Right Mouse Button down and angle the camera in the direction that you want to go.\n Alternatively, you can also use the W, A, S and D controls to turn.","4. To navigate, you can simply hold the Right Mouse Button down and angle the camera in the direction that you want to go.\n Alternatively, you can also use the W, A, S and D controls to turn."
NPC_000095,"5. Additionally, you can simply tap the Right Mouse Button twice to lock the camera to the mouse pointer. This allows you to navigate without holding down the right mouse button. Clicking twice again will turn off this effect.","5. Additionally, you can simply tap the Right Mouse Button twice to lock the camera to the mouse pointer. This allows you to navigate without holding down the right mouse button. Clicking twice again will turn off this effect."
NPC_000096,6. Anyone can fly in Madrigal. You simply have to acquire a flying vehicle!\n 7. There are numerous makes and models of flying vehicles. Trying shopping around in player shops or click the Use Premium Item Shop icon next to the Start Button.,6. Anyone can fly in Madrigal. You simply have to acquire a flying vehicle!\n 7. There are numerous makes and models of flying vehicles. Trying shopping around in player shops or click the Use Premium Item Shop icon next to the Start Button.
NPC_000097,"I hope the information I gave you was helpful. You're on your own now, aviator! See you in the clouds!","I hope the information I gave you was helpful. You're on your own now, aviator! See you in the clouds!"
NPC_000098,"1. Occasionally, you will run into some pesky masquerpets while flying. You will see a red box surrounding them.","1. Occasionally, you will run into some pesky masquerpets while flying. You will see a red box surrounding them."
NPC_000099,"2. You can target these creatures with the Left Mouse Button. If you lose sight of them while flying, a green arrow appears on the edge of the screen to indicate which direction you need to turn. ","2. You can target these creatures with the Left Mouse Button. If you lose sight of them while flying, a green arrow appears on the edge of the screen to indicate which direction you need to turn. "
NPC_000100,"3. To attack the creature, simply get as close as you can and press the Left Mouse Button or the Insert Key.\n 4. If you want to follow the monster automatically, press the Z Key.","3. To attack the creature, simply get as close as you can and press the Left Mouse Button or the Insert Key.\n 4. If you want to follow the monster automatically, press the Z Key."
NPC_000101,5. Magicians and Acrobats can shoot from range while in the air. Mercenaries and Assists must rely on melee attacks. You can also use your skills!,5. Magicians and Acrobats can shoot from range while in the air. Mercenaries and Assists must rely on melee attacks. You can also use your skills!
NPC_000102,"6. When you destroy a flying masquerpet, any dropped loot will be placed into your inventory automatically. If there is no room in your inventory, the loot is lost, so be careful!","6. When you destroy a flying masquerpet, any dropped loot will be placed into your inventory automatically. If there is no room in your inventory, the loot is lost, so be careful!"
NPC_000103,"7. That about covers it for your flying combat training, cadet! Just one more thing... Don't crash and burn! Hahaha, just a little pilot humor.","7. That about covers it for your flying combat training, cadet! Just one more thing... Don't crash and burn! Hahaha, just a little pilot humor."
NPC_000104,Have fun out there and be safe! Don't forget to check your six!,Have fun out there and be safe! Don't forget to check your six!
NPC_000105,"Goodbye, adventurer! Feel free to stop by again if you have any questions about flying.","Goodbye, adventurer! Feel free to stop by again if you have any questions about flying."
NPC_000106,The Red Bang Troupe will never break through our defenses as long as I'm here!,The Red Bang Troupe will never break through our defenses as long as I'm here!
NPC_000107,"Hello, traveler. I have some missions for you!","Hello, traveler. I have some missions for you!"
NPC_000108,"Greetings, traveler! You are welcome to visit the Erons Factory as long as I, Amadolka, am here. It can get pretty dangerous out here so watch your back!","Greetings, traveler! You are welcome to visit the Erons Factory as long as I, Amadolka, am here. It can get pretty dangerous out here so watch your back!"
NPC_000109,My name is Amadolka Liviehindekinas. I am in charge of security here at the Erons Factory. Why do you ask?,My name is Amadolka Liviehindekinas. I am in charge of security here at the Erons Factory. Why do you ask?
NPC_000110,"Be careful out there, traveler! I'll stand guard here!","Be careful out there, traveler! I'll stand guard here!"
NPC_000111,I'm such a coward! *Cries*,I'm such a coward! *Cries*
NPC_000112,The curse has been removed for the 3rd time now. Please don't get cursed again or it will be the last time for sure.,The curse has been removed for the 3rd time now. Please don't get cursed again or it will be the last time for sure.
NPC_000113,I'm the Mysterious Teller of Tales! Wanna hear something spooky?,I'm the Mysterious Teller of Tales! Wanna hear something spooky?
NPC_000114,Stop by anytime you wanna hear a spooky story!,Stop by anytime you wanna hear a spooky story!
NPC_000115,ID Card,ID Card
NPC_000116,Hello there! How are you today!,Hello there! How are you today!
NPC_000117,"Uhh, yes? If you've got something to say, say it. Otherwise leave me alone. I'm very busy securing these steel panels by tapping my foot repeatedly.","Uhh, yes? If you've got something to say, say it. Otherwise leave me alone. I'm very busy securing these steel panels by tapping my foot repeatedly."
NPC_000118,That's none of your business and I'll thank you to stay out of my personal affairs.,That's none of your business and I'll thank you to stay out of my personal affairs.
NPC_000119,"Alright, hope to see you soon!","Alright, hope to see you soon!"
NPC_000120,"Oh! You're asking about the ID Card that grants access to the Trillipy room in the mines, right? You should find Andre. I heard he spends most of his time in a forest filled with many ancient trees.","Oh! You're asking about the ID Card that grants access to the Trillipy room in the mines, right? You should find Andre. I heard he spends most of his time in a forest filled with many ancient trees."
NPC_000121,"Hail and well met, adventurers! My name is Bolpor and I'm the best chef in town!","Hail and well met, adventurers! My name is Bolpor and I'm the best chef in town!"
NPC_000122,What do you want already?! I've got things to do!,What do you want already?! I've got things to do!
NPC_000123,"I'm the best chef in town, you got that? Anyone that tells you different is more than welcome to discuss it with my butcher knife. There will be more than just *chicken* on a stick on my menu...","I'm the best chef in town, you got that? Anyone that tells you different is more than welcome to discuss it with my butcher knife. There will be more than just *chicken* on a stick on my menu..."
NPC_000124,"My name is Bolpor Centaurn, the best darn chef in Darken. I'm also the best looking. I didn't get this handsome overnight, you know.","My name is Bolpor Centaurn, the best darn chef in Darken. I'm also the best looking. I didn't get this handsome overnight, you know."
NPC_000125,"See ya later, alligator! Mmm, alligator... that gives me an idea for a new dish!","See ya later, alligator! Mmm, alligator... that gives me an idea for a new dish!"
