Key,English,Filipino
PROPMOTION_TXT_000000,,
PROPMOTION_TXT_000001,Combat Stance,Handa sa Paglaban
PROPMOTION_TXT_000002,,
PROPMOTION_TXT_000003,Sit Down,Umupo
PROPMOTION_TXT_000004,,
PROPMOTION_TXT_000005,Pick Up Nearby Item,Pulutin ang malapit na Item
PROPMOTION_TXT_000006,,
PROPMOTION_TXT_000007,Shake Hands,Pakikipagkamay
PROPMOTION_TXT_000008,,
PROPMOTION_TXT_000009,Tilt Head,Itagilid ang Ulo
PROPMOTION_TXT_000010,,
PROPMOTION_TXT_000011,Nod Head,Oo
PROPMOTION_TXT_000012,,
PROPMOTION_TXT_000013,Shake Head,Hindi
PROPMOTION_TXT_000014,,
PROPMOTION_TXT_000015,Run in Place,Tumakbo sa iisang lugar
PROPMOTION_TXT_000016,,
PROPMOTION_TXT_000017,Parade Rest,Tikas Pahinga
PROPMOTION_TXT_000018,,
PROPMOTION_TXT_000019,Attention,Atensyon
PROPMOTION_TXT_000020,Scissors,Gunting
PROPMOTION_TXT_000021,Scissors,Gunting
PROPMOTION_TXT_000022,Rock,Bato
PROPMOTION_TXT_000023,Rock,Bato
PROPMOTION_TXT_000024,Paper,Papel
PROPMOTION_TXT_000025,Paper,Papel
PROPMOTION_TXT_000026,North,Hilaga
PROPMOTION_TXT_000027,Point North,Tumuro Pahilaga
PROPMOTION_TXT_000028,South,Timog
PROPMOTION_TXT_000029,Point South,Tumuro Patimog
PROPMOTION_TXT_000030,East,Silangan
PROPMOTION_TXT_000031,Point East,Tumuro Pasilangan
PROPMOTION_TXT_000032,West,Kanluran
PROPMOTION_TXT_000033,Point West,Tumuro Pakanluran
PROPMOTION_TXT_000034,,
PROPMOTION_TXT_000035,Kneel,Lumuhod
PROPMOTION_TXT_000036,,
PROPMOTION_TXT_000037,Push-Ups,Push-Ups
PROPMOTION_TXT_000038,,
PROPMOTION_TXT_000039,Shake Butt,Igiling-giling
PROPMOTION_TXT_000040,Pow!,Pow!
PROPMOTION_TXT_000041,Punch,Suntok
PROPMOTION_TXT_000042,,
PROPMOTION_TXT_000043,Put Head to the Ground,Ilagay ang ulo sa sahig
PROPMOTION_TXT_000044,,
PROPMOTION_TXT_000045,Raise Weapon,Itaas ang armas
PROPMOTION_TXT_000046,,
PROPMOTION_TXT_000047,Collect Supplement,Kolektahin ang Supplement
PROPMOTION_TXT_000048,,
PROPMOTION_TXT_000049,Nearest Town Teleport (5 min. casting time),Mag-teleport sa pinakamalapit na Town(5 min. casting time)
PROPMOTION_TXT_000050,,
PROPMOTION_TXT_000051,Cheer Up Another Player,Pasayahin ang ibang character
PROPMOTION_TXT_000052,,
PROPMOTION_TXT_000053,Attack the Selected Target,Atakihin ang napiling target
PROPMOTION_TXT_000054,,
PROPMOTION_TXT_000055,You propose to the selected player.,Mag-propose sa napiling character.
PROPMOTION_TXT_000057,Toggle Weapons,Pagpalit ng armas
PROPMOTION_TXT_000058,Activate Your Summoned Pet's Grace,I-activate ang biyaya ng iyong ipinatawag na alaga
PROPMOTION_TXT_000059,Follow the Selected Target,Sundan ang napiling target
PROPMOTION_TXT_000060,Switch Your Current Stat Page,Palitan ang iyong stat page
PROPMOTION_TXT_000061,Play Dead,Patay na Naglalaro
PROPMOTION_TXT_000062,Propose,Mag-propose
PROPMOTION_TXT_000063,High Five (Couple),High Five (Magkasintahan)
PROPMOTION_TXT_000064,Hug (Couple),Yakap (Magkasintahan)
PROPMOTION_TXT_000065,Half Heart (Couple),Half Heart (Magkasintahan)
PROPMOTION_TXT_000066,Frustrated,Nayayamot
PROPMOTION_TXT_000067,Cross Arms (Couple),Cross Arms (Magkasintahan)
PROPMOTION_TXT_000068,Eye Contact (Couple),Makipag Tinginan (Magkasintahan)
PROPMOTION_TXT_000069,Jump (Couple),Talon (Magkasintahan)
PROPMOTION_TXT_000070,Dance 1,Sayaw 1
PROPMOTION_TXT_000071,Dance 2,Sayaw 2
PROPMOTION_TXT_000072,Dance 3,Sayaw 3
PROPMOTION_TXT_000073,Dance 4,Sayaw 4
PROPMOTION_TXT_000074,Dance 5,Sayaw 5
PROPMOTION_TXT_000075,Dance 6,Sayaw 6
