Key,English,Spanish
UI_EVENT_EXPBOOST,EXP Boost!,¡Impulso de Experiencia!
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,¡Mejora de Accesorios!
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,¡Perforación de Armas!
UI_EVENT_PARTYEXPBOOST,Party EXP Boost!,¡Impulso de de Experiencia en Equipo!
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,¡Encuentra al Aibatt Dorado!
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,¡Mata al Aibatt Dorado en las mazmorras y consigue bonificaciones de botín!
UI_EVENT_NIGHTBOOST,Night Boost!,¡Impulso nocturno!
UI_EVENT_NIGHTBOOST_DESC,+30% EXP when it's night in-game!,¡+30% de experiencia cuando es de noche en el juego!
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 EXP!,¡Es de noche! ¡¡Experiencia x1.3!!
UI_EVENT_NIGHTBOOST_DAY,"The sun is up, x1.3 EXP has ended...","El sol ha salido, la Experiencia x1.3 ha terminado..."
UI_EVENT_EASTER,Easter Event,Evento de Pascua
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,¡Completa Prado Eggcelente para obtener Huevo de Pascua Rosa!
UI_EVENT_SPRING,Spring Event!,¡Evento de Primavera!
UI_EVENT_DIAMONDINTHESKY,Diamond in the Sky,Diamante en el Cielo
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,¡Destruye las estrellas del cielo nocturno para obtener fragmentos de estrellas!
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out. Find them in the sky!,¡Ha llegado la noche! Las estrellas están saliendo... ¡Encuéntralas en el cielo!
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.","Ha pasado la noche, las estrellas van desapareciendo."
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,¡Descuento en Monedas de Mazmorra!
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,¡Gasta menos Monedas de Mazmorra al realizar misiones o entrar en mazmorras!
UI_EVENT_ANNIVERSARY,1st Anniversary!,¡Primer Aniversario!
UI_EVENT_ANNIVERSARY_DESC,Flyff Universe is turning 1! A huge thank you to all of our players who made this milestone possible!,¡Flyff Universe cumple 1 año! ¡Muchísimas gracias a todos los jugadores que hicieron posible este hito!
UI_EVENT_ANNIVERSARY_ATTENDANCE,1st Anniversary Playtime Event,Evento de Tiempo de Juego de Primer Aniversario
UI_EVENT_ANNIVERSARY_ATTENDANCE_DESC,Log in each day for 40 minutes to receive rewards!,¡Inicia sesión cada día durante 40 minutos y recibe recompensas!
UI_EVENT_FWC,Flyff World Championship,Campeonato Mundial de Flyff
UI_EVENT_FWC_LEVELREACH,FWC Level Reach,Alcance de Nivel FWC
UI_EVENT_FWC_LEVELREACH_DESC,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!,¡Alcanza nuevos niveles durante el período del evento y recibe recompensas! ¡Solo en el servidor del Campeonato Mundial Flyff!
UI_EVENT_FWC_GEAREXCHANGE_DESC,Exchange FWC Gear with [FWC Manager] Ava to get more rewards!,¡Intercambia equipo FWC con Ava [Gerente FWC] para obtener más recompensas!
