Key,English,Spanish
NPC_WHOAREYOU,Who are you?,¿Quién eres tu?
NPC_GOODBYE,Goodbye!,¡Adiós!
NPC_CARGO,CARGO,CARGO
NPC_WHATSGOINGON,What's going on?,¿Qué sucede?
NPC_EXIT,Exit,Salir
NPC_HOWTOFLY,How to Fly,Cómo volar
NPC_COMBATFLYING,Combat Flying,Combate Aéreo
NPC_IDCARD,ID CARD,TARJETA ID
NPC_WHATABOUTTHEMINE,What about the mine?,¿Qué pasa con la mina?
NPC_MOVE,Move,Mover
NPC_FORHONOR,For Honor!,¡Por el honor!
NPC_FORFUN,For Fun!,¡Por Diversión!
NPC_MEHJUSTBECAUSE,"Meh, just because?","Meh, ¿porque puedo?"
NPC_YES_ENTER,Yes_Enter,Sí_Enter
NPC_NO_ENTER,No_Enter,Prohibido El Paso
NPC_WHEREAMI,Where am I?,¿Dónde estoy?
NPC_MAKEANAPPOINTMENT,Make an appointment,Pedir cita
NPC_FINALIZESTATSELECTION,Finalize Stat selection,Finalizar la selección de Estadísticas
NPC_DEKANEMINE,Dekane Mine,Mina Dekane
NPC_CELL,Cell,Celda
NPC_AZRIAMINE,Azria Mine,Mina Azria
NPC_CURSEDSYMBOL,Cursed Symbol,Símbolo Maldito
NPC_GIVESYMBOL,Give the Symbol,Dar el Símbolo
NPC_HAELLETTER,Hael's Letter,Carta de Hael
NPC_GIVELETTER,Give Letter,Dar la Carta
NPC_TREASURE_BOX,Treasure,Tesoro
NPC_LOSTMEMORIES,Lost Memories,Recuerdos Perdidos
NPC_BREWINGPOTIONS,Brewing Potions,Elaborar Pociones
NPC_THECURE,The Cure,La Cura
NPC_GUIDETOFLYING,Guide to Flying,Guía de Vuelo
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,Guía de Combate Aéreo
NPC_SHOPS,Shops?,¿Tiendas?
NPC_DEATH,Death?,¿Muerte?
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,Recibe Recompensas Adicionales
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!","¡Bienvenido a Keakoon, humano! Tengo que pedirte un favor ... ¡Ven aquí!"
NPC_000045,Fathers Package,Paquete del Padre
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?","¡Hrrmph! Que raro... ¿Cómo logró entrar aquí un humano como tú, de todos modos?"
NPC_000047,"Thank you for saving my father, human. So what brings you here?","Gracias por salvar a mi padre, humano. ¿Qué te trae por aquí?"
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!","Por favor, salva a mi padre. ¡Esta prisionero al este de aquí! ¡De prisa!"
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.","Hrrmph, escucha... No sé cómo has encontrado este lugar, ni me interesa. ¡Ahora vete! Este lugar es demasiado peligroso para los tuyos."
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!","Hrrmph! Soy Drian - Hijo de Nevil, el Patriarca Keakoon. Tu gente nos mira con desprecio, ¡pero los inferiores sois vosotros!"
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!","Este sitio es demasiado peligroso para gente como tú, tonto humano. ¡Vete a casa!"
NPC_000052,Here is the package my father left me... Hrrmph!,Aquí está el paquete que me dejo mi padre... ¡Hrrmph!
NPC_000053,*Sigh* this might take a while...,*Suspiro* esto llevará un rato...
NPC_000054,"What? A human?! Here?!? Muahahahah!!! You're either brave or not all there in the head, buddy.","¿Qué? ¡¿Un humano?! ¿¡¿Aquí?!? ¡¡¡Muajajajaja!!! O eres valiente o no tienes la cabeza bien puesta, colega."
NPC_000055,"Ewww!! A hew-mann... Your kind is not welcome here. Get out of my sight, vermin!","¡¡Ewww!! Un hum-mano... Los tuyos no son bienvenidos aquí. ¡Fuera de mi vista, alimaña!"
NPC_000056,Who am I? Hah! Liked I'd consort with the likes of a human. Get lost!,¿Quién soy? ¡Ja! Como si fuera a asociarme con cosas como un humano. ¡Piérdete!
NPC_000057,"Beat it, human! You're not welcome here!","¡Lárgate, humano! ¡No eres bienvenido aquí!"
NPC_000058,*Whistles*,*Silbido*
NPC_000059,"Gwarrll! You just gonna stand there, or are you gonna get me out of here? You know, people don't necessarily like to be stared at...","¡Gwarrll! ¿Te quedarás ahí parado, o me sacarás de aquí? Ya sabes, a la gente no necesariamente le gusta que la miren..."
NPC_000060,"Garr!! I've not seen a human in years! I am Nevil, the honorable Patriarch of Keakoon.","¡¡Garr!! ¡No he visto a un humano en años! Soy Nevil, el honorable Patriarca de Keakoon."
NPC_000061,"*Snort!* A human, eh? Very interesting... I haven't seen one of you weirdos in years! See ya later!","*¡Resopla!* Un humano, ¿eh? Interesante... ¡No he visto a un bicho raro de los tuyos en años! ¡Te veo luego!"
NPC_000062,Feel free to come see me whenever you are in need of magical goods.,No dudes en venir a verme cuando necesites bienes mágicos.
NPC_000063,Nice to meet you. Have you also come to research the magical fields surrounding the islands?,Es un placer conocerte. ¿También has venido a investigar los campos mágicos que rodean las islas?
NPC_000064,My name is Ciel and I am doing research on the various magical phenomena in the area.,Mi nombre es Ciel y estoy investigando los diversos fenómenos mágicos de la zona.
NPC_000065,Farewell!,¡Adiós!
NPC_000066,Come to me if you seek absolution.,Ven a mí si buscas la absolución.
NPC_000067,Are you here for confession?,¿Estás aquí para confesarte?
NPC_000068,Your aura shines brightly. May it never again lose its brilliance.,Tu aura brilla intensamente. Que nunca vuelva a perder su brillo.
NPC_000069,I am a shepherd who helps sinners find their way back to the path of righteousness. Come to me if you wish to be cleansed.,Soy un pastor que ayuda a los pecadores a encontrar el camino de regreso al camino de la justicia. Ven a mí si deseas ser limpiado.
NPC_000070,Get the key from one of the criminal Masquerpets. Once you get the key you can enter the Warp Zone in the mountains.,Obtén la llave de uno de los Masquerpets criminales. Una vez que obtengas la llave podrás entrar a la Zona de Teletransporte en las montañas.
NPC_000071,"Good luck to you, stranger. Try not to get caught again, okay?","Buena suerte, forastero. Intenta que no te vuelvan a atrapar, ¿de acuerdo?"
NPC_000072,"You will not survive here without a shield, friend.","Aquí no sobrevivirás sin un escudo, amigo."
NPC_000073,Huh? Do you want something from me? Then speak up!,¿Eh? ¿Quieres algo de mí? ¡Pues habla!
