Key,English,Russian
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,ПК
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,Очищение кармы с помощью охоты
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,Хочешь искупить грехи и очистить карму?
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,Твоя цель - $QUEST_END_KILL_NAME$. Требуется покарать не менее $QUEST_END_KILL_COUNT$.
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,Велики твои грехи…
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,Боги одобрили твое деяние и простили тебе грехи.
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.",Прощение само не придет. Его нужно заслужить.
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,"Твоя цель - $QUEST_END_KILL_NAME$, только так ты очистишь карму."
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,Ключ острова Кебара
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,"На большую землю ведут порталы, но их не активировать без ключа. Хочешь заработать ключ?"
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,Я дам тебе ключ в обмен на $QUEST_END_ITEM_COUNT$ бус греха. Ищи бусы на пустыре за лагерем.
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,"Тебе тут так понравилось, что уходить не хочется?.."
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,Вот ключ. Уходи - и не возвращайся!
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,Свобода в обмен на какие-то несчастные $QUEST_END_ITEM_COUNT$ бус… Кто же отказывается от такого предложения?..
PROPQUEST_DUNGEONANDPK_INC_000382,Keep gathering your beads.,Собирай бусы…
PROPQUEST_DUNGEONANDPK_INC_000390,You are welcome to stay for as long as you would like.,"Тебе тут так понравилось, что уходить не хочется?.."
PROPQUEST_DUNGEONANDPK_INC_000420,Entering the Dekane Mine,Доступ в Шахту Распада
PROPQUEST_DUNGEONANDPK_INC_000421,You are really willing to enter the Dekane Mine?,Подумай: ты и правда хочешь отправиться в Шахту Распада?
PROPQUEST_DUNGEONANDPK_INC_000422,"Then visit the Dwarpet, Rankashu, in front of the Dekane Mine.",Поговори с карликом Ранкашем у входа в Шахту.
PROPQUEST_DUNGEONANDPK_INC_000423,Ha ha ha. Of course not. It is far too frightening.,"Ха-ха-ха! Я так и думал. Боязно стало, да?"
PROPQUEST_DUNGEONANDPK_INC_000424,Here is the Mine Entrance Card. It is up to you to enter but I advise against it. You may die.,Держи карту. И все-таки... не советую я тебе туда ходить. Там бродит смерть…
PROPQUEST_DUNGEONANDPK_INC_000425,Is it so hard to tell me what I want to know? Leave quickly.,"Что, так трудно выполнить простейшее поручение? Иди уже, а."
PROPQUEST_DUNGEONANDPK_INC_000426,Visit the Dwarpet Rankashu and get the information Cell wanted.,Нужно поговорить с карликом Ранкашем и получить нужные Селлу сведения.
PROPQUEST_DUNGEONANDPK_INC_000429,You have the Mine Entrance Card. Now to find out what everyone is so afraid of.,"Карта доступа в Шахту Распада получена. Теперь можно выяснить, почему все боятся спускаться туда…"
PROPQUEST_DUNGEONANDPK_INC_000431,Keakoon in Mine (1),Шахты хряков I
PROPQUEST_DUNGEONANDPK_INC_000432,"I am Drian son of Nevil, great chief of the original Keakoon. We were once friendly with the humans.","Я Драйн, сын Невила, великого вождя благородных хряков. Наш народ жил в дружбе с вашим народом."
PROPQUEST_DUNGEONANDPK_INC_000433,We helped humans develop the mine long ago but when they left some of us were locked up by a new breed of Keakoons.,"Давным-давно мы помогли вам вырыть эту шахту. Но потом люди ушли, а вместо них пришли злокозненные свины. Они схватили отца и увели его прочь."
PROPQUEST_DUNGEONANDPK_INC_000434,My father is old and cannot last much longer in his prison. Please help me rescue him.,Отец уже стар. В плену он зачахнет. Ты поможешь мне спасти его?
PROPQUEST_DUNGEONANDPK_INC_000435,"The key to the cell where my father is being kept has three pieces. These false Keakoons are inside, keeping them hidden. Go and bring them to me.","Ключ от темницы, где держат моего отца, разломан на три части. Злокозненные свины спрятали их у себя. Иди и принеси их мне."
PROPQUEST_DUNGEONANDPK_INC_000436,How could you? To think I thought to count you as a friend.,Как же так?.. А я-то считал тебя другом.
PROPQUEST_DUNGEONANDPK_INC_000437,Oh… Thank you… so much. I could never repay you fully. Thank you so much.,"Ох… Спасибо тебе… огромное. Я никогда не смогу отплатить тебе сполна. Спасибо тебе, друг."
PROPQUEST_DUNGEONANDPK_INC_000438,You have to gather all three pieces of the Key.,Нужно собрать три части ключа.
PROPQUEST_DUNGEONANDPK_INC_000439,Hunt Keakoon and get all 3 pieces of the prison key.,Нужно отобрать три части ключа у злокозненных свинов.
PROPQUEST_DUNGEONANDPK_INC_000442,You have delivered all the pieces of the key but it looks like he still has something to say.,"Три части ключа собраны. Похоже, надо поговорить с Драйном."
PROPQUEST_DUNGEONANDPK_INC_000444,Keakoon in Mine (2),Шахты хряков II
PROPQUEST_DUNGEONANDPK_INC_000445,I still have a need for you. Would you help me yet again?,Могу ли я вновь просить тебя о помощи?..
PROPQUEST_DUNGEONANDPK_INC_000446,You are a true friend. Take this key and free my father. I am not strong enough. Please.,Ты не зря носишь гордое звание человека! Вызволи моего отца из темницы. Сам я не справлюсь.
PROPQUEST_DUNGEONANDPK_INC_000447,You show yourself to be no better than the fiends that imprisoned my father.,Ты ничем не лучше злокозненных свинов.
PROPQUEST_DUNGEONANDPK_INC_000449,My father is in a prison on the outskirts of Keakoon village. Please hurry he cannot last much longer.,"Злокозненные свины держат отца на окраине деревни. Поспеши, он слаб здоровьем…"
PROPQUEST_DUNGEONANDPK_INC_000450,"Rescue Nevil, father of Drian.","Нужно освободить Невила, отца Драйна."
PROPQUEST_DUNGEONANDPK_INC_000453,You have saved Nevil. Go and talk to him.,Невил освобожден. Стоит поговорить с ним.
PROPQUEST_DUNGEONANDPK_INC_000455,Keakoon in Mine (3),Шахты хряков III
PROPQUEST_DUNGEONANDPK_INC_000456,"Many thanks, friend. You have done so much for us but would you do something more?","Спасибо тебе, друг благородных хряков. Возьмешься исполнить небольшое поручение?"
PROPQUEST_DUNGEONANDPK_INC_000457,Please defeat the Elite Keakoon Guard Leader and bring me the Chief Sign that proves I am the one true Chief of the Keakoon. Would you also please bring me the cargo my son Drian is keeping safe for me?,"Одолей Элитного предводителя стражи хряков и принеси мне Знак вождя — он докажет, что я единственный законный вождь хряков. И еще: не передашь ли мне груз, который хранит мой сын Драйн?"
PROPQUEST_DUNGEONANDPK_INC_000458,What kind of person are you if you refuse to help those with less power than you?,"Увы мне! Что же ты за человек, если не хочешь помочь слабому, попавшему в беду?.."
PROPQUEST_DUNGEONANDPK_INC_000459,Thank you. It is my great hope that Keakoon and human can thrive together once again. Take this ring as a gift.,"Надеюсь, придет день, и наши народы вновь будут рыть землю бок о бок. Прими в подарок это кольцо."
PROPQUEST_DUNGEONANDPK_INC_000460,"If, by any chance, you want more adventure visit Bernard in Darken. Be careful. I would hate for something to happen to you.","Если приключения и опасности тебе еще не наскучили, поговори с Бернардом в Дарконе. Береги себя. Нам жаль будет потерять верного друга."
PROPQUEST_DUNGEONANDPK_INC_000461,Hrmm… It might not be that dangerous for someone as strong as you.,Хрюк!.. Тебе это должно быть по силам…
PROPQUEST_DUNGEONANDPK_INC_000462,Bring the seal of the chief and the package that Drian is holding back to Nevil.,"Принеси Невилу печать вождя и свёрток, который хранит Драйн."
PROPQUEST_DUNGEONANDPK_INC_000465,"You rescued Nevil, chief of the Keakoon. You can feel the secrets around this place. Maybe you can get some information from Bernard.","Невил, вождь хряков, спасен, но тайна Шахты Распада осталась неразгаданной. Возможно, Бернард подскажет, как ее разгадать."
PROPQUEST_DUNGEONANDPK_INC_000467,Death Mine and Roaches (1),Шахта Смерти и кукарачи I
PROPQUEST_DUNGEONANDPK_INC_000468,Hmm… Is that the ring of Nevil around your finger?,"Ну-ка, ну-ка… Да никак это кольцо Невила!"
PROPQUEST_DUNGEONANDPK_INC_000469,Your strength has been proven then. Would you prove yourself further? The Roach is somehow connected to the death of people in the mine.,"Других доказательств твоей силы мне не требуется. Хочешь разгадать тайну Шахты? Есть у меня кое-какие подозрения, но нужно бы их проверить."
PROPQUEST_DUNGEONANDPK_INC_000470,There is a mystery to be unlocked here. Would you bring me the blood of the Roach larva?,Не побоишься отправиться в Шахту и принести мне крови личинок кукарачей?
PROPQUEST_DUNGEONANDPK_INC_000471,Thank you. There are two kinds of Roach - Pink and Blue. Break open their eggs and hunt down the larva.,Спасибо. Кукарачи бывают двух видов — розовые и синие. Разбей их яйца и уничтожь личинок.
PROPQUEST_DUNGEONANDPK_INC_000472,There will be no revelation without danger.,"Не подвергая себя опасности, открытий не совершить."
PROPQUEST_DUNGEONANDPK_INC_000473,"Ahh, there is much to be learned from the blood of these Roaches.",Проверим мою догадку…
PROPQUEST_DUNGEONANDPK_INC_000474,No! No! No! Bring me more information!,Ну и где же кровь личинок?
PROPQUEST_DUNGEONANDPK_INC_000475,Bring the blood of Roaches by destroying their eggs and defeating Roach Larva.,Добыть кровь кукарачей: разбивай их яйца и убивай личинок.
PROPQUEST_DUNGEONANDPK_INC_000478,Looks like he still has a need of you.,"Похоже, стоит еще раз поговорить с Бернардом."
PROPQUEST_DUNGEONANDPK_INC_000480,Death Mine and Roaches (2),Шахта Смерти и кукарачи II
PROPQUEST_DUNGEONANDPK_INC_000481,The toxicity of Roaches has poisoned many humans in the mine.,"В крови личинок яд. Тот самый, от которого умерли шахтеры!"
PROPQUEST_DUNGEONANDPK_INC_000482,It seems that the Roach Queens are the source of the poison.,"Сдается мне, сильнее всего должен быть яд цариц розовых и синих кукарачей."
PROPQUEST_DUNGEONANDPK_INC_000483,Bring me the blood of Pink and Blue Roach Queens so that I can make a vaccine.,"Принеси мне кровь цариц розовых и синих кукарачей, чтобы я мог изготовить вакцину."
PROPQUEST_DUNGEONANDPK_INC_000484,Sprinkle this liquid on the Roach Queen egg to wake her up. Be careful.,"Чтобы царица кукарачей пробудилась, окропи яйцо этой жидкостью. Будь осторожнее."
PROPQUEST_DUNGEONANDPK_INC_000485,You really will not see this through to the end?,Неужели ты откажешься спасти людей?
PROPQUEST_DUNGEONANDPK_INC_000486,This vaccine will save many lives. Thank you.,Эта вакцина спасет многих.
PROPQUEST_DUNGEONANDPK_INC_000487,Take this weapon as a token of gratitude and this card to venture deeper into the mine.,"Прими это оружие в знак благодарности, а также эту карту — она откроет тебе путь вглубь шахты."
PROPQUEST_DUNGEONANDPK_INC_000488,The Roaches appeared very suddenly in the mine. Maybe you can find out the reason by going deeper into the mine.,"Вот тебе новая загадка: кукарачи появились в Шахтах внезапно, словно из ниоткуда. Ищи ответ на нее в глубине Шахт."
PROPQUEST_DUNGEONANDPK_INC_000489,I am sure that you can handle the upcoming danger.,"Уверен, опасности Шахты тебе вполне по плечу."
PROPQUEST_DUNGEONANDPK_INC_000490,Gather the blood of Pinky and Blue Roach Queen.,Нужно добыть кровь цариц розовых и синих кукарачей.
PROPQUEST_DUNGEONANDPK_INC_000493,Something about the way Bernard talks suggessts that the Roaches were placed in the mines intentionally. Maybe you can find out.,"Бернард намекнул на то, что кукарачи завелись в Шахтах не сами собой. Надо бы проверить эту догадку."
PROPQUEST_DUNGEONANDPK_INC_000495,Dwarpet Kazen,Карлик Кайзен
PROPQUEST_DUNGEONANDPK_INC_000496,What brings you here? I am sure you know of the many deaths surrounding this place.,"Чего тебе нужно? Тут смерть, смерть и ничего, кроме смерти!"
PROPQUEST_DUNGEONANDPK_INC_000497,You will not be able to find out what happened here without my help. I will tell you what you want to know if you do me a favor. What do you think?,"Хочешь знать, что произошло? Узнаешь. Если я тебе помогу. А если не помогу - ни за что не узнаешь. Хочешь, чтобы я тебе помог? Тогда помоги мне!"
PROPQUEST_DUNGEONANDPK_INC_000498,Bring me 30 Cillin and I will tell you everything you need to know.,Принеси мне тридцать осколков силлиния. Тогда и поговорим.
PROPQUEST_DUNGEONANDPK_INC_000499,"Pssh, some great hero, you cannot even bring me some simple stones.","Фи! Тоже мне еще, герой! Камни собрать, и то боится!"
PROPQUEST_DUNGEONANDPK_INC_000500,Hmm… I did not think you would be back so soon. Take this money as a gift.,"Хм… Не думал, что ты вернёшься так скоро. Возьми эти деньги в подарок."
PROPQUEST_DUNGEONANDPK_INC_000501,I said 30. Not 29 or 28. Bring me 30 Cillin.,Тридцать! Неужели так трудно запомнить?! Не двадцать восемь! Не двадцать девять! Тридцать!!!
PROPQUEST_DUNGEONANDPK_INC_000502,Gather 30 Cillin.,Нужно собрать для Кайзена тридцать осколков силлиния.
PROPQUEST_DUNGEONANDPK_INC_000507,Bring Ribenuum,Поиски рибения
PROPQUEST_DUNGEONANDPK_INC_000508,I am here in Dekane mining for Ribenuum. In all of Madrigal Ribenuum can only be found in the Darkon area.,"Силлиний добыть просто, ты попробуй добыть рибений! Кроме Даркона, он не встречается нигде."
PROPQUEST_DUNGEONANDPK_INC_000509,Ribenuum is made when a Green Trillipy eats a stone and metabolizes it.,"А знаешь, почему? Ты вообще знаешь, что такое рибений? Пф-ф! Это же булыжник, как следует переваренный зеленым хватоглотом!"
PROPQUEST_DUNGEONANDPK_INC_000510,Would you bring me some Ribenuum? A Green Tillipy is dangerous but you look equally as dangerous.,"Принесешь мне три десятка… гм… самородков? Хватоглоты опасны, но ты же любишь опасность - я в тебе не ошибся?"
PROPQUEST_DUNGEONANDPK_INC_000511,Green Trillipy are down the hall to the right. The room to the left is blocked.,Зелёные хватоглоты — вниз по коридору направо. Комната слева завалена.
PROPQUEST_DUNGEONANDPK_INC_000512,"Are you kidding me? Go on and get out of here, I may not look it but I am an old Dwarpet and I do not have time for games.","Ты что, шутишь? Ну и проваливай отсюда! Может, с виду по мне не скажешь, но я карлик пожилой и уважаемый! Я твои игры терпеть не намерен!"
